投開票所編號,設置地點,詳細地址,所轄村里鄰名稱
第1投開票所,光復國小,宜蘭市泰山路60號,民族里1-4鄰、8、14-15鄰
第2投開票所,光復國小,宜蘭市泰山路60號,民族里5-7鄰、9、10、11-13鄰
第3投開票所,宜蘭高中學生活動中心,宜蘭市復興路3段8號,建軍里1-4鄰
第4投開票所,宜蘭高中學生宿舍,宜蘭市復興路3段8號,建軍里5-8鄰
第5投開票所,南屏國小,宜蘭市泰山路98號,泰山里1-6鄰
第6投開票所,南屏國小,宜蘭市泰山路98號,泰山里7-11鄰
第7投開票所,光復國小,宜蘭市泰山路60號,負郭里6-8鄰、14-16鄰
第8投開票所,南屏國小,宜蘭市泰山路98號,負郭里1、3、4、9、11-12鄰
第9投開票所,光復國小,宜蘭市泰山路60號,負郭里2、5、10、13鄰
第10投開票所,宜蘭大學,宜蘭市神農路1段1號,思源里1-4、11-12鄰
第11投開票所,培爾傑特幼兒園,宜蘭市民族路582號,思源里5-10鄰
第12投開票所,宜蘭大學,宜蘭市神農路1段1號,思源里13-16鄰
第13投開票所,諾貝爾幼兒園,宜蘭市農權路3段89號,七結里1-4鄰、10鄰
第14投開票所,思源里民眾活動中心,宜蘭市泰山路七結巷9之10號,七結里5-9鄰
第15投開票所,復興國中,宜蘭市復興路2段77號,文化里1-7鄰
第16投開票所,復興國中,宜蘭市復興路2段77號,文化里8-13鄰
第17投開票所,金六結福德廟,宜蘭市民權新路259巷42號,文化里14-16鄰
第18投開票所,篤行國宅社區互助管理委員會,宜蘭市民權新路47巷25號,復興里1-2鄰、6-9鄰
第19投開票所,蘭陽女中,宜蘭市女中路2段355號,復興里3-5鄰、10鄰
第20投開票所,宜蘭大學,宜蘭市神農路1段1號,復興里11-16鄰
第21投開票所,私立芝麻村國際幼兒園,宜蘭市中華路233號,民權里1-6鄰
第22投開票所,宜蘭市衛生所,宜蘭市復興路1段3號,民權里7-11鄰
第23投開票所,宜蘭市社會福利大樓1樓,宜蘭市民權路1段65號,神農里13-17鄰
第24投開票所,宜蘭國小,宜蘭市崇聖街2號,神農里1-5鄰
第25投開票所,宜蘭國小,宜蘭市崇聖街2號,神農里6-12鄰
第26投開票所,中山國小,宜蘭市崇聖街4號,大新里
第27投開票所,新民堂,宜蘭市新民路153號,新民里1-2、12-17鄰
第28投開票所,中山國小,宜蘭市崇聖街4號,新民里3-11鄰
第29投開票所,進士社區活動中心,宜蘭市進士路53號,進士里1-7鄰、10鄰
第30投開票所,宜蘭大學,宜蘭市神農路1段1號,進士里8-9、11-12鄰
第31投開票所,南橋社區活動中心,宜蘭市南橋路240號,南橋里
第32投開票所,凱旋社區活動中心,宜蘭市旋流路3之5號,凱旋里
第33投開票所,凱旋國小,宜蘭市凱旋路130號,南津里1-8鄰
第34投開票所,凱旋國小,宜蘭市凱旋路130號,南津里9-13鄰
第35投開票所,建業社區活動中心,宜蘭市建業路86巷57號,建業里1-5鄰
第36投開票所,凱旋國中,宜蘭市縣政七街50巷1號,建業里6-11鄰
第37投開票所,蘭陽女中,宜蘭市女中路2段355號,擺厘里1-3鄰、12鄰
第38投開票所,蘭陽女中,宜蘭市女中路2段355號,擺厘里4-6鄰、11鄰
