"投開票所編號",場所名稱,投開票所地址,所屬里別,所屬鄰別
88,新興國小,新興街１２３號,新民里,9-12
89,新市國小,中山北路二段２００號,北投里,1-5
90,北投里福德宮,北新路２２３號旁,北投里,"6-8,11,21,22"
91,新市國小,中山北路二段２００號,北投里,"9,10,12-17"
92,新市國小,中山北路二段２００號,北投里,18-20
93,鄧公國小,學府路９９號,鄧公里,1-5
94,鄧公國小,學府路９９號,鄧公里,6-11
95,鄧公國小,學府路９９號,鄧公里,12-17
96,鄧公國小,學府路９９號,幸福里,1-6
97,鄧公國小,學府路９９號,幸福里,7-12
98,鄧公國小,學府路９９號,幸福里,13-19
99,鄧公國小,學府路９９號,學府里,1-8
100,鄧公國小,學府路９９號,學府里,9-18
101,中興市民活動中心,水源街一段２９號１樓,中興里,1-7
102,中興市民活動中心,水源街一段２９號２樓,中興里,8-10
103,中興市民活動中心,水源街一段２９號３樓,中興里,11-18
104,長庚市民活動中心,中山路７２巷１弄１０號,長庚里,全里
105,淡水清水巖活動中心,清水街１６０號,清文里,全里
106,觀宗寺,中正路１５號,草東里,全里
107,淡水國小,中山路１６０號,協元里,全里
108,永吉里集會所,清水街２１２號,永吉里,全里
109,福佑宮,中正路２００號,民安里,全里
110,"新北市淡水地政事務
所",中正路２３３號,新生里,全里
111,文化國小,真理街６號,文化里,全里
112,忠義宮蘇府王爺廟,中正路一段３２號,油車里,"1-9,15-17"
113,天生國小,淡海路７２巷２６號,油車里,10-13
114,天生國小,淡海路７２巷２６號,油車里,"14,18-20"
115,保安廟,淡海路１８９巷１０號,沙崙里,1-4
116,保安廟（聚福廳）,淡海路１８９巷２５號,沙崙里,5-8
117,淡海市民活動中心,淡海路１１１號,大庄里,1-6
118,淡海基督教會,沙崙路１８１巷３０號,大庄里,7-9
119,行忠宮,新民街一段８０號,大庄里,10-12
120,空屋,頂寮２街８５號,龍源里,1-9
121,龍米市民活動中心,龍米路一段２２３號,龍源里,"10-15,23-27"
122,聖心小學活動中心,龍米路一段２６１號,龍源里,"16-22,28-30"
123,米倉國小（101）教室,龍米路二段１２９巷１號,米倉里,"1-9,11-13"
124,渡船頭市民活動中心,渡船頭街１１巷８號,米倉里,"10,14-24"
125,"大崁老人文康活動中
心",中山路一段２１號,大崁里,全里
126,大埤頂市民活動中心,中山路一段９５號,埤頭里,1-12
