"投開票所編號",設置地點,詳細地址,"所轄選舉人里鄰別","所轄原住民 選舉人里鄰別",電話號碼,備註
"317","內湖高工c105教室","內湖路1段520號","港墘里5-11","港墘里全里","2657-4874轉122",
"318","內湖高工c112教室","內湖路1段520號","港墘里12、15-18、20-21","2657-4874轉122",
"319","麗山國中8年1班教室","內湖路1段629巷42號","港都里1-4、14","2799-2681轉405",
"320","麗山國中8年3班教室","內湖路1段629巷42號","港都里5-9","2799-2681轉405",
"321","麗山國中8年5班教室","內湖路1段629巷42號","港都里10-13","港都里全里","2799-2681轉405",
"322","內湖國小1年2班教室","內湖路2段41號","港富里1-6","2799-4249轉313",
"323","內湖國小1年3班教室","內湖路2段41號","港富里7-12","2799-4249轉313",
"324","內湖國小1年5班教室","內湖路2段41號","港富里13-17","2799-4249轉313",
"325","內湖國小1年8班教室","內湖路2段41號","港富里18-23","港富里全里","2799-4249轉313",
"326","內湖國小3年1班教室","內湖路2段41號","港富里24-30","2799-4249轉313",
"327","港華區民活動中心","環山路2段68巷14號1樓","港華里9、17、19-22","0988-179936",
"328","麗山國中9年21班教室","內湖路1段629巷42號","港華里1-5","2799-1867轉405",
"329","麗山國中7年21班教室","內湖路1段629巷42號","港華里6、8、10、23","2799-1867轉405",
"330","麗山國小交通安全教室","港華街100號","港華里11-14、24","港華里全里","2657-4158轉511",
"331","麗山國小課後照顧班","港華街100號","港華里7、15-16、18、25","2657-4158轉511",
"332","碧湖國小411教室","金龍路100號","內湖里1-6、14","2790-7161",
"333","碧湖國小412教室","金龍路100號","內湖里7-13、23-24","2790-7161",
"334","碧湖國小教師研究室","金龍路100號","內湖里15-22","內湖里全里","2790-7161",
"335","濱湖皇家大廈管理委員會交誼廳","內湖路2段103巷70號","湖濱里1-6","2799-7207轉叫",
"336","湖濱區民活動中心","內湖路2段344號","湖濱里9、21-26","湖濱里全里","2790-6289轉叫",
"337","內湖區公民會館","內湖路2段342號","湖濱里27-34","2790-6289轉叫",
"338","貿七國民住宅管理委員會辦公室","內湖路2段179巷46弄29號","湖濱里10-14","2793-1737轉叫",
"339","碧湖區民活動中心","內湖路2段179巷81弄16號","湖濱里7-8、15-20","2790-0293轉叫",
"340","康寧國小1年2班教室","星雲街121號","紫星里9、13-17、36-39","2790-1237轉140",
"341","康寧國小1年3班教室","星雲街121號","紫星里1-3、6-7、18-22","2790-1237轉140",
"342","紫星區民活動中心","康寧路1段20號","紫星里4-5、8、10-11、23-27","8791-1313轉叫",
"343","方濟中學9年崇班","成功路3段61號","紫星里12、28-35","紫星里全里","2791-0278轉5",
"344","大湖國小課輔一","大湖山莊街170號","大湖里1-6、24-25","大湖里全里","2791-5870",
"345","大湖國小課輔二","大湖山莊街170號","大湖里15-23","2791-5870",
"346","大湖國小親職教室","大湖山莊街170號","大湖里7-14","2791-5870",
"347","金龍區民活動中心","金龍路136-1號2樓","金龍里1-7","0972-295501",
"348","台北市金龍發展中心1樓","金龍路136-1號1樓","金龍里8-13、22-23","2793-3059",
"349","基督教浸信會榮恩堂","內湖路3段139號","金龍里14-21","金龍里全里","2790-1197",
"350","民宅地下室","內湖路3段187巷17號地下室","金瑞里1-6","2790-9128",
"351","金瑞里辦公處","金龍路234號1樓","金瑞里7-9、23-24","2791-0152",
"352","民宅地下室","內湖路3段294號地下室","金瑞里10-15、21","2790-3815",
"353","民宅地下室","內湖路3段294號地下室","金瑞里16-20、22","金瑞里全里","2790-3815",
"354","碧興宮遮雨棚下方","碧山路28號對面","碧山里1-3","2791-9636",
"355","金龍福德廟旁里民休息室","內湖路3段60巷15號對面","碧山里7、20-22","2790-9391",
"356","碧山區民活動中心室內（一）","內湖路3段60巷8號地下1樓","碧山里4-6、8-9、18","0988-179-939",
"357","碧山區民活動中心室內（二）","內湖路3段60巷8號地下1樓","碧山里14-17、19","0988-179-939",
"358","碧山市場內辦公室","內湖路3段60巷8弄12-1號","碧山里10-13","碧山里全里","0936-035222",
"359","康寧國小1年1班教室","星雲街121號","紫雲里1-7","紫雲里全里","2790-1237轉140",
"360","金城春曉社區健身房","康寧路1段267號","紫雲里8-14","2794-6526",
"361","金城春曉社區文康中心","康寧路1段267號","紫雲里15-23","2794-6526",
"362","康寧國小綜合教室","星雲街121號","清白里1-4、7-8","2790-1237轉140",
"363","康寧國小潛能開發中心","星雲街121號","清白里5-6、9-10、13、24-25、30","2790-1237轉140",
"364",""清白區民活動中心 大教室"","星雲街161巷3號","清白里11-12、14-18、20","清白里全里","2792-5828轉227",
"365","清白區民活動中心小教室","星雲街161巷3號","清白里19、21-23、26-29","2792-5828轉227",
"366","明湖國中7年20班教室","康寧路3段60號","葫洲里1-5","26320616",
"367","明湖國中8年20班教室","康寧路3段60號","葫洲里6-11","葫洲里全里","26320616",
"368","明湖國中9年20班教室","康寧路3段60號","葫洲里12-15","26320616",
"369","明湖國中8年6班教室","康寧路3段60號","葫洲里16-20","26320616",
"370","內湖國中916教室","陽光街1號","紫陽里1、11-14","紫陽里全里","2790-0843",
"371","內湖國中901教室","陽光街1號","紫陽里2、15-18","2790-0843",
"372","內湖高中221教室","文德路218號","紫陽里3-7、19","2797-7035",
"373","內湖高中121教室","文德路218號","紫陽里8-10、20-22","2797-7035",
"374","陽光區民活動中心","文德路66巷38弄14號","瑞陽里4、7-8、12、15-17、22","0972-295525",
"375","基督教貴格會內湖教會","文德路66巷49弄5號","瑞陽里13-14、18-19、24、26-28","27976651",
"376","瑞陽里民活動場所","文德路66巷69弄10號","瑞陽里2-3、6、9-10","瑞陽里全里","27991392",
"377","海軍湖光新城自治委員會","文德路66巷14弄2號","瑞陽里1、5、11、20-21、23、25","27974709",
"378","臺北市立內湖幼兒園茉莉班教室","陽光街265巷9號","瑞光里1-7","2797-3504",
"379","臺北市立內湖幼兒園中庭","陽光街265巷9號","瑞光里8-13","瑞光里全里","2797-3504",
"380","瑞光社區管理委員會","文德路22巷71號","瑞光里14-20","2658-6181",
"381","東湖國小1年8班教室","東湖路115號","五分里4-8、30","五分里全里","2633-9984",
"382","東湖國小1年9班教室","東湖路115號","五分里3、9-10、22","2633-9984",
"383","東湖國小4年9班教室","東湖路115號","五分里11-13、33-34","2633-9984",
"384","南湖國小1年1班教室","康寧路3段200號","五分里1-2、18、26-29","2632-1296",
"385","南湖國小1年2班教室","康寧路3段200號","五分里20-21、","23-25、32","2632-1296",
"386","南湖國小1年3班教室","康寧路3段200號","五分里14-17、19、31","2632-1296",
"387","東湖國小4年10班教室(115號教室)","東湖路115號","東湖里1-5","2633-9984",
"388","東湖國小4年12班教室(117號教室)","東湖路115號","東湖里6-9、11","東湖里全里","2633-9984",
"389","東湖國小原住民教室(118號教室)","東湖路115號","東湖里10、13-16","2633-9984",
"390","東湖國小1年1班教室(102號教室)","東湖路115號","東湖里12、17-20","2633-9984",
"391","東湖國中7年1班教室","康樂街131號","樂康里1-5","樂康里全里","2633-0373轉655",
"392","東湖國中7年2班教室","康樂街131號","樂康里6-10","2633-0373轉655",
"393","東湖國中7年3班教室","康樂街131號","樂康里11-15","2633-0373轉655",
"394","東湖國中7年4班教室","康樂街131號","樂康里16-21","2633-0373轉655",
"395","東湖國中7年5班教室","康樂街131號","樂康里22-26","2633-0373轉655",
"396","七星生態花園專業教室二","康樂街191巷臨16號","內溝里1、6、8、17","2631-4601",
"397","七星生態花園專業教室一","康樂街191巷臨16號","內溝里11-16","內溝里全里","2631-4601",
"398","內溝溪生態展示館","康樂街236-3號","內溝里2-5、7、9-10","2634-7851",
"399","週美里里民活動廣場","潭美街100號","週美里1-4","2792-7531",
"400","週美里里民活動廣場","潭美街100號","週美里5-10","週美里全里","2792-7531",
"401","週美里里民活動廣場","潭美街100號","週美里11-16","2792-7531",
"402","美善公園","行善路59巷20弄2號","週美里17-30","2792-7531",
"403","福音貴格教會","新明路452號","行善里1-6","8792-7633",
"404","新明公園","新明路428巷19號對面","行善里7-13","0988-955208",
"405","妙善托兒所","行善路25巷13號1樓","行善里14-17","0928-125710",
"406","行善區民活動中心大廳(一)","行善路25巷13號2樓","行善里18-22","行善里全里","0935-178239",
"407","潭美國小1年1班教室","新明路22號","石潭里","1-12","石潭里全里","2791-7334",
"408","潭美國小1年2班教室","新明路22號","石潭里13-20","2791-7334",
"409","新湖國小1樓大會議室右側","民權東路6段138號","湖興里1-7","2796-3721",
"410","新湖國小1樓大會議室左側","民權東路6段138號","湖興里8-13","2796-3721",
"411","新湖國小1年1教室","民權東路6段138號","湖興里14-18","2796-3721",
"412","新湖國小1年2教室","民權東路6段138號","湖興里19-25","湖興里全里","2796-3721",
"413","三民國中8年1班教室","民權東路6段45號","湖元里1-7","湖元里全里","2792-4772",
"414","三民國中8年2班教室","民權東路6段45號","湖元里8-15","2792-4772",
"415","三民國中8年3班教室","民權東路6段45號","湖元里16-20","2792-4772",
"416","東湖國小1年3班教室","東湖路115號","安湖里1-4、6","2633-9984",
"417","東湖國小1年4班教室","東湖路115號","安湖里5、7-10","安湖里全里","2633-9984",
"418","東湖國小1年5班教室","東湖路115號","安湖里11-15","2633-9984",
"419","東湖國小1年6班教室","東湖路115號","安湖里16-20","2633-9984",
"420","大湖國小自然教室","大湖山莊街170號","秀湖里1-10","秀湖里全里","2791-5870",
"421","大湖國小活動教室(四)","大湖山莊街170號","秀湖里11-16、18-19","2791-5870",
"422","大湖國小機具室(二)","大湖山莊街170號","秀湖里17、20-25","2791-5870",
"423","安泰里土地公廟","安泰街54巷6號","安泰里1-4","0926-029279",
"424","綠之湖社區管理委員會","安泰街87-93號等","安泰里5-9","安泰里全里","2631-9765",
"425","雙壐名宅大廈1樓中庭","安泰街125巷6-8號等","安泰里10-15","2634-1827",
"426","麗湖國小地下室視聽中心","金湖路363巷8號","金湖里4-8","2634-3888",
"427","麗湖國小社區成長教室","金湖路363巷8號","金湖里14-17","2634-3888",
"428","麗湖國小資源班教室(一)","金湖路363巷8號","金湖里12-13、18-20、25","金湖里全里","2634-3888",
"429","麗湖國小資源班教室(二)","金湖路363巷8號","金湖里9-11、22、26","2634-3888",
"430","麗湖國小資源班辦公室","金湖路363巷8號","金湖里1-3、21、23-24","2634-3888",
"431","康寧醫護暨管理專科學校(1樓藝文中心)","康寧路3段75巷137號","康寧里1-5","2632-1181轉422",
"432","明湖國小1年1班教室","康寧路3段105號","康寧里6-10","2632-3477",
"433","明湖國小1年2班教室","康寧路3段105號","康寧里11-13、15","2632-3477",
"434","明湖國小1年3班教室","康寧路3段105號","康寧里16-19","2632-3477",
"435","明湖國小潛能教室(三)","康寧路3段105號","康寧里14、20-23","康寧里全里","2632-3477",
"436","明湖國小英語教室","康寧路3段105號","明湖里1-7","2632-3477",
"437","明湖國小志工團教室(家長會)","康寧路3段105號","明湖里8-15","明湖里全里","2632-3477",
"438","明湖國小潛能中心(一)","康寧路3段105號","明湖里16-20","2632-3477",
"439","內湖垃圾焚化廠能源利用中心1樓大廳","安康路290號(葫蘆洲運動公園內旁建物)","蘆洲里1-5","蘆洲里全里","2796-1833轉352",
"440","麗山國小1年1班教室","港華街100號","麗山里1-6","2657-4158轉511",
"441","麗山國小1年2班教室","港華街100號","麗山里7-12","麗山里全里","2657-4158轉511",
"442","麗山國小1年3班教室","港華街100號","麗山里13-16","2657-4158轉511",
"443","新湖國小1年3班教室","民權東路6段138號","寶湖里1-6","2796-3721",
"444","新湖國小125健體教室","民權東路6段138號","寶湖里7-12","寶湖里全里","2796-3721",
"445","新湖國小配膳室旁風雨操場","民權東路6段138號","寶湖里13-19","2796-3721",
"446","新湖國小健康中心旁風雨操場","民權東路6段138號","寶湖里20-26","2796-3721",
"447","明湖國中8年7班教室","康寧路3段60號","南湖里1-3","2632-0616",
"448","明湖國中8年8班教室","康寧路3段60號","南湖里4-7","南湖里全里","2632-0616",
"449","南湖國小1年4班教室","康寧路3段200號","南湖里8-11","2632-1296轉51",
"450","南港高工實汽一教室","興中路29號","南港里2-7","南港里全里","2782-5432",
"451","南港高工綜合三教室","興中路29號","南港里8-13鄰","2782-5432",
"452","南港高工綜合二教室","興中路29號","南港里1、21-23","2782-5432",
"453","南港高工綜合一教室","興中路29號","南港里14-20","2782-5432",
"454","國家文官學院（菁英講堂）","忠孝東路7段576號","中南里3-7、10-14、16、19","2653-1500",
"455","國家文官學院（文康室）","忠孝東路7段576號","中南里1-2、8-9、15、17-18、20-24","中南里全里","2653-1500",
"456",""南港國小 樂團練習室"","惠民街67號","三重里1-7","三重里全里","2783-4678",
"457",""南港國小 童軍室"","惠民街67號","三重里9、23-25","2783-4678",
"458",""南港國小 自然教室(一)"","惠民街67號","三重里10-17","2783-4678",
"459",""南港國小 自然教室(五)"","惠民街67號","三重里8、18-22","2783-4678",
"460","誠正國中107教室","富康街1巷24號","新富里1-5","27828094分機1500",
"461","誠正國中109教室","富康街1巷24號","新富里6-11","27828094分機1500",
"462","誠正國中122教室","富康街1巷24號","新富里12-17","新富里全里","27828094分機1500",
"463","胡適國小美勞教室(一)","舊莊街1段1號","中研里1-7、35","2782-4949*930",
"464","胡適國小社會科教室(一)","舊莊街1段1號","中研里8-12、33-34","2782-4949","*930",
"465","胡適國小教師辦公室","舊莊街1段1號","中研里26-32","2782-4949","*930",
"466","奇奇家族文理短期補習班","研究院路2段12巷58弄15號","中研里13、16、21-25","2788-7881",
"467","欣苗幼兒園","研究院路2段12巷58弄11號","中研里14-15、17-20","中研里全里","2782-3322",
"468","九如區民活動中心(一)","研究院路3段68巷9號2樓","九如里1-5、23","九如里全里","0972246119",
"469","九如區民活動中心(二)","研究院路3段68巷9號2樓","九如里6-7、12-16","0972246119",
"470","胡適庭園社區管理中心","研究院路2段182巷29弄2號對面","九如里17-22","2782-4578",
"471","慈龍堂","研究院路3段92號","九如里8-11、24-28","2783-2128",
"472","舊莊國小成人教育班(1F)","舊莊街1段100號","舊莊里1-4、8、24","02-27821418轉100李莉莉校長",
"473","舊莊國小多功能教室(1F)","舊莊街1段100號","舊莊里5、9-12、14","02-27821418轉100李莉莉校長",
"474","舊莊國小幼兒園教具室(1F)","舊莊街1段100號","舊莊里6-7、13、28-34","02-27821418轉100李莉莉校長",
"475","舊莊國小同心園(1F)","舊莊街1段100號","舊莊里15-21","舊莊里全里","02-27821418轉100李莉莉校長",
"476","舊莊區民活動中心","舊莊街1段91巷11號1樓","舊莊里22-23、25~27","0972246129",
"477","東新國小視聽中心","興南街62號","東新里1-6","2783-7577",
"478","東新國小家長會辦公室","興南街62號","東新里7-12","2783-7577",
"479","東新國小桌球室","興南街62號","東新里17-23","東新里全里","2783-7577",
"480","東新國小川堂","興南街62號","東新里13-16","2783-7577",
"481","群興紙業公司","重陽路235巷16號1樓","重陽里1-5","重陽里全里","2783-9238",
"482","南港老人服務中心","重陽路187巷5號(2樓教室)","重陽里6-10","2653-5311",
"483","西新區民活動中心","成功路1段99號","重陽里11-14","0988179598",
"484","東新國小感覺統合教室","興南街62號","東明里1-5","2783-7577",
"485","東新國小潛能班","興南街62號","東明里6-11","2783-7577",
"486","東方大地住戶管理委員會會議室","興華路30巷1號","東明里12-16","東明里全里","2788-5940",
"487","玉成國小2年1班教室","向陽路31號","西新里1-5、12","西新里全里","02-2783-6049",
"488","玉成國小2年3班教室","向陽路31號","西新里7-11","02-2783-6049",
"489","玉成國小3年3班教室","向陽路31號","西新里6、13-17","02-2783-6049",
"490","基督教南港聖教會","南港路3段208巷6號","玉成里1-3、6-8、11-13","2782-4626",
"491","松山國小活動中心","松山區八德路4段746號","玉成里4-5、9、14-16","2767-2907",
"492","新移民會館(研習教室)","八德路4段768之1號地下一樓","玉成里10、17-21","玉成里全里","2788-4911",
"493","春昇汽車有限公司","永吉路536號","合成里1-2、10-14","2786-1192",
"494","南港運動中心2樓幼兒遊戲區","玉成街69號","合成里3-4、25-26","2653-2279",
"495","南港運動中心1樓閱覽室","玉成街69號","合成里5-9","2653-2279",
"496","輝奇氣體有限公司之倉庫","忠孝東路6段267號","合成里15-20","2785-6463",
"497","春來汽車","忠孝東路6段317號","合成里21-24","合成里全里","2786-8488",
"498","警政署保七總隊第三大隊餐廳","昆陽街161-1號旁","新光里9-18","26539235","26511471",
"499","新光里民活動場所","昆陽街140巷21號","新光里1-8","新光里全里","2788-6626",
"500","成德國小愛心志工室","東新街65號","聯成里1-5","聯成里全里","27851376分機151",
"501","成德國小多功能辦公室(一)","東新街65號","聯成里6、7、9、10","27851376分機151",
"502","成德國小多功能辦公室(二)","東新街65號","聯成里8、11-14","27851376分機151",
"503","成德國小多功能辦公室(三)","東新街65號","聯成里15-19","27851376分機151",
"504","萬福里里民活動場所","忠孝東路6段70巷21弄8號","萬福里3-4、9-11、17","萬福里全里","2785-5945",
"505","黃貴勇先生車庫","玉成街140巷6號","萬福里5-8、18-19","2788-1987",
"506","南港龍華社區管理委員會","同德路85巷4號","萬福里-2、12-16","2782-8212",
"507","成德國中8年6班","東新街108巷23號","鴻福里第1-3、5-7","26515638",
"508","成德國中8年7班","東新街108巷23號","鴻福里第8、13-15、17","26515638",
"509","鴻福里里民活動場所","成福路82號","鴻福里第4、9~12、16","鴻福里全里","2786-3893",
"510","福德國小多功能教室2(2F)","福德街253號","百福里1-5、21~22","百福里全里","27267991#22","27277992#22",
"511","福德國小家長會辦公室","福德街253號","百福里6-12","27267991#22","27277992#22",
"512","福德國小多功能教室3","福德街253號","百福里13-20","27267991#22","27277992#22",
"513","成德國中成德藝廊","東新街108巷23號","成福里3-6、15","2651-5638",
"514","成德國中公民培力中心","東新街108巷23號","成福里16-17、19-20、28-29","2651-5638",
"515","吉的堡小騎士托兒所","成福路183號2樓","成福里18、21-27、30","成福里全里","2651-6526",
"516","修德國小午餐準備室","東新街118巷86號","成福里7-11、31","27880500-151",
"517","修德國小幼兒學習室","東新街118巷86號","成福里1、2、12-14","27880500-151",
"518","忠孝幼兒園彩虹班","福德街373巷43號","仁福里1-4","2654-3767",
"519","忠孝幼兒園托育中心","福德街373巷43號","仁福里5-8","2654-3767",
"520","仁福區民活動中心(一)","福德街443號","仁福里9-12","2654-2254",
"521","仁福區民活動中心(二)","福德街443號","仁福里13-15","仁福里全里","2654-2254",
"522","民權區民活動中心禮堂北側","民權東路5段臨43號(民權大橋下)","莊敬里1~8","87878787轉829",
"523","三民國小附設幼兒園-企鵝班","民權東路5段1號","莊敬里9~15","27646080轉231",
"524","三民國小附設幼兒園-天鵝班","民權東路5段1號","莊敬里16~28","莊敬里全里","27646080轉231",
"525","基督教新生教團台北民生教會","新中街10巷2號","東榮里1~6","東榮里全里","27682905",
"526","民權國小多元學習教室(1)118","民權東路4段200號","東榮里7~13","27652327轉33",
"527","民權國小多元學習教室(3)120","民權東路4段200號","東榮里14~19","27652327轉33",
"528","二村基石中心","民生東路5段69巷2弄10號","東榮里20~25",""276383040912578940"",
"529","聯合二村教會","民生東路5段69巷2弄12號","東榮里26~33",""276383040912578940"",
"530","健康國小終身學習中心","延壽街168號","三民里1~10","25282814轉136",
"531","臺北市立圖書館三民分館視廳室","民生東路5段163之1號6樓","三民里11~17","三民里全里","27600408轉16",
"532","民權國小辦公室(112)","民權東路4段200號","三民里18~25","27652327轉33",
"533","民權國小多元學習中心(117)","民權東路4段200號","三民里26~32","27652327轉33",
"534","民權區民活動中心禮堂南側","民權東路5段臨43號(民權大橋下)","新益里1~7","87878787轉829",
"535","民生國中活動中心西側","新東街30巷1號","新益里8~12","27653433轉300",
"536","民生國中活動中心東側","新東街30巷1號","新益里13~18","新益里全里","27653433轉300",
"537","海華大廈休閒中心","民生東路5段171號地下1樓","富錦里1~3、5~8","27661804",
"538","民權國小多元教室(111)","民權東路4段200號","富錦里4、15、18~23","富錦里全里","27652327轉33",
"539","民權國小潛能開發班(1)","民權東路4段200號","富錦里9~14、16~17","27652327轉33",
"540","民生國中會議室2","新東街30巷1號","新東里13~19",""092204293827653433轉303"",
"541","民生國中童軍教室","新東街30巷1號","新東里2~7",""092204293827653433轉303"",
"542","民生國中教師會教室","新東街30巷1號","新東里1,8~12","新東里全里",""092204293827653433轉303"",
"543","健康國小終身學習中心前川堂1","延壽街168號","富泰里1~5、9","25282814轉136",
"544","民生社區中心8樓三民區民活動中心","民生東路5段163之1號8樓","富泰里6~8、16~20","富泰里全里","87878787轉829",
"545","民生社區中心4樓集會堂川堂","民生東路5段163之1號4樓","富泰里10~15","27666959",
"546","介壽國中711教室","延壽街401號","介壽里1~8","27674496轉510",
"547","介壽國中713教室","延壽街401號","介壽里9~15","27674496轉510",
"548","介壽國中715教室","延壽街401號","介壽里16~21","介壽里全里","27674496轉510",
"549","民族國小輔導室","民生東路4段97巷7號","精忠里1~5","精忠里全里","27124872",
"550","民族國小資源1教室","民生東路4段97巷7號","精忠里6~10","27124872",
"551","民族國小資源2教室","民生東路4段97巷7號","精忠里11~16","27124872",
"552","西松國小鄉土教室(補校朷一甲)","三民路5號(由南京東路5段147巷側門進入)","東光里1~8","27609221",
"553","西松國小社會教室2(補校朷一乙)","三民路5號(由南京東路5段147巷側門進入)","東光里9~17","27609221",
"554","西松國小社會教室1(補校高一乙)","三民路5號(由南京東路5段147巷側門進入)","東光里18~25","東光里全里","27609221",
"555","西松國小社會教室(補校高二甲)","三民路5號(由南京東路5段147巷側門進入)","東光里26~33","27609221",
"556","平安新村甲區管理委員會","延壽街348號1樓","龍田里1~4、37~39","27655730",
"557","介壽國中702教室","延壽街401號1樓","龍田里5~11","27674496轉500",
"558","介壽國中704教室","延壽街401號1樓","龍田里12~14、32~35","27674496轉500",
"559","民生國小1年1班教室","敦化北路199巷18號1樓","龍田里15~19","27122452轉830",
"560","民生國小1年2班教室","敦化北路199巷18號1樓","龍田里20~26","龍田里全里","27122452轉830",
"561","民生國小1年3班教室","敦化北路199巷18號1樓","龍田里27~31、36","27122452轉830",
"562","東昌里民活動場所","民生東路4段112巷7弄24號","東昌里7~12","東昌里全里","0919395565",
"563","車庫","民生東路4段112巷3弄3號","東昌里1~6","0919395565",
"564","漢家幼兒園","南京東路4段133巷6弄2號1樓","東勢里1~6","27131091",
"565","歐先生宅","南京東路4段133巷7弄11號1樓","東勢里7~13","東勢里全里","27172185",
"566","金陵教會","南京東路4段133巷6弄20號1樓","東勢里14~18","0926068727",
"567","臺北浸信會頌恩堂","敦化北路145巷30號1樓","中華里8~10、20、25","87122215",
"568","賀瑞幼兒園","南京東路4段53巷11弄1號","中華里11~16","中華里全里","27127575",
"569","臺北市立圖書館啟明分館1樓","敦化北路155巷76號1樓","中華里5~7、17~19、24","2514-8443",
"570","民生國小1年4班教室","敦化北路199巷18號1樓","中華里1~4、21~23","27122452轉831",
"571","思高幼兒園思高中心","民生東路3段125號","民有里1~4、12","27133897",
"572","中山國中哺(集)乳室","復興北路361巷7號","民有里5~10","27126701轉501",
"573","中山國中健康與體育領域教室","復興北路361巷7號","民有里11、13~17","27126701轉501",
"574","中山國中補校辦公室","復興北路361巷7號","民有里18~25","27126701轉501",
"575","中山國中第1教室","復興北路361巷7號","民有里26~32","民有里全里","27126701轉501",
"576","民福里民活動場所","民權東路3段103巷5弄5號1樓","民福里4~5、8、10、11~13","民福里全里","0934332936",
"577","民福社區服務中心","民權東路3段191巷34之1號1樓","民福里3、6、7、9、14、18、20、26","0934332936",
"578","上達汽車有限公司","民族東路687號1樓","民福里21~25、27","87123456",
"579","恩光教會","民權東路3段191巷74號1樓","民福里1~2、15~17、19","0963266909",
"580","松基區民活動中心禮堂","長春路339巷2號地下1樓","松基里1~9","87878787轉854",
"581","松基區民活動中心第3教室","長春路339巷2號地下1樓","松基里10~16","松基里全里","87878787轉854",
"582","松山國小游泳池入口","八德路4段746號","慈祐里1~5、19~21","27672907轉601",
"583","更新大樓中庭","八德路4段606號","慈祐里12~16、22","0928283701",
"584","松山長老教會1樓","饒河街105號","慈祐里6~11、17、18","慈祐里全里","27684081",
"585","西松國小6年1班","三民路5號","安平里3~7、11、33","27609221",
"586","沐恩堂","南京東路5段251巷45號","安平里1~2、9~10、12~13","27686926",
"587","安平區民活動中心2樓","南京東路5段291巷44弄23之1號2樓","安平里16~21","0935865368",
"588","恩友堂第1交誼廳","寶清街123號","安平里14~15、22~27","27670760",
"589","恩友堂第2交誼廳","寶清街123號","安平里8、28~32","安平里全里","27670760",
"590","西松高中(多功能教室1)","健康路325巷7號","鵬程里1、14~18","25282295",
"591","鵬程區民活動中心","健康路399號3樓","鵬程里2~7、9","87878787轉829",
"592","西松高中(多功能教室2)","健康路325巷7號","鵬程里8、10~13","鵬程里全里","25282295",
"593","西松高中702教室","健康路325巷7號","自強里4~6、10","25282295",
"594","健康國小終身學習中心前川堂2","延壽街168號","自強里13~15、24~25","25282814轉136",
"595","健康國小103教室前川堂","延壽街168號","自強里1~3、20~21","自強里全里","25282814轉136",
"596","自強區民活動中心","三民路35巷9號","自強里7、16~19、23","87878787轉829",
"597","健安新城G區管委會辦公室","三民路80巷1號","自強里8~9、11~12、22、26","25287735",
"598","中崙高中2樓7年8班教室","八德路4段101號2樓","吉祥里1~5","27535316轉400",
"599","中崙高中2樓8年5班教室","八德路4段101號2樓","吉祥里6~10、12","27535316轉400",
"600","中崙高中2樓8年2班教室","八德路4段101號2樓","吉祥里11、13~16","27535316轉400",
"601","中崙高中2樓7年5班教室","八德路4段101號2樓","吉祥里17~20、24","吉祥里全里","27535316轉400",
"602","中崙高中2樓7年2班教室","八德路4段101號2樓","吉祥里21~23、25~27","27535316轉400",
"603","新聚區民活動中心(1)","南京東路5段374號1樓","新聚里3~8、10、12","新聚里全里","87878787轉829",
"604","新聚區民活動中心(2)","南京東路5段374號1樓","新聚里9、18、20、24、25、29~30","87878787轉829",
"605","9號車庫","南京東路5段250巷9之3號(揚登牙醫)旁停車場","新聚里11、17、19、21~22、26~28","0910273876",
"606","財團法人萬國道德總會(立德長青活動中心)","南京東路5段250巷18弄46號1樓","新聚里1~2、13~16、23","0970126384",
"607","復盛區民活動中心第1教室","市民大道5段99之1號(八德路4段106巷內)","復盛里15~21","87878787轉829",
"608","復盛區民活動中心第2教室","市民大道5段99之1號(八德路4段106巷內)","復盛里7~14","復盛里全里","87878787轉829",
"609","復盛區民活動中心第3教室","市民大道5段99之1號(八德路4段106巷內)","復盛里1~6","87878787轉829",
"610","張先生宅","臺北市松山區八德路4段182號","復盛里22~26","87878787轉846",
"611","敦化國中701教室","南京東路3段300號1樓","中正里1~5","87717890轉51",
"612","敦化國中702教室","南京東路3段300號1樓","中正里6~13","87717890轉51",
"613","敦化國中703教室","南京東路3段300號1樓","中正里14~21","87717890轉51",
"614","敦化國中704教室","南京東路3段300號1樓","中正里22~28","87717890轉51",
"615","敦化國中705教室","南京東路3段300號1樓","中正里29~34","中正里全里","87717890轉51",
"616","張先生宅","八德路2段366巷17號","中崙里1~9","中崙里全里","27719791",
"617","周先生宅","八德路2段366巷22號","中崙里10~18","0933092641",
"618","育達商職105教室","寧安街12號","美仁里1~6","美仁里全里","25706767轉402",
"619","育達商職106教室","寧安街12號","美仁里7~11","25706767轉402",
"620","華南社區中庭(1)","延吉街46巷8號旁","吉仁里1~7",""25787714.25792333"",
"621","華南社區中庭(2)","延吉街46巷3號旁","吉仁里8~16","吉仁里全里",""25787714.25792333"",
"622","陳先生車庫","市民大道4段臨119號(八德路3段8巷底)","敦化里1~7、12~13","25778430",
"623","馨兒園幼兒園","八德路3段12巷60號","敦化里8~11、20~24","敦化里全里","25775928",
"624","卡兒堡幼兒園","八德路12巷57弄39號","敦化里16、25~28、30","25784555",
"625","慈賢宮","八德路3段74巷14弄18號","敦化里14~15、17~19、29",""25784076 0910215841"",
"626","聖若瑟天主堂","八德路3段158巷22號1樓","復源里1~2、5、11~14","復源里全里","25775286.","0932318680",
"627","美仁浸信會","八德路3段106巷106號1樓","復源里3~4、6~10","25792065",
