"投開票所編號",設置地點,詳細地址,"所轄選舉人里鄰別","所轄原住民 選舉人里鄰別",電話號碼,備註
"29","基督教振恩堂","榮華三路47號","振華里12,14,20-23,25","振華里全里","28220386",
"30","道爾敦教育機構","石牌路2段361號","永和里1-5","","28771577",
"31","櫻花崗華廈地下室〈車庫旁〉","行義路128-1號地下樓","永和里6-9","","28752042",
"32","私人住宅〈車庫〉","行義路148號","永和里10,11,14,17-19,24","永和里全里","28747126",
"33","日光綠野華廈停車場","行義路154巷7號〈地下室〉","永和里12,13,15,16","","28724160",
"34","甲桂林山莊聯誼社","中山北路7段219巷3弄125之1號旁","永和里20-23","","28713954",
"35","榮民總醫院介壽堂","石牌路2段201號","永欣里1-7","","28757433",
"36","優格幼兒園","石牌路2段315巷10弄10號","永欣里13-17","永欣里全里","28710871",
"37","華民幼兒園","石牌路2段358號","永欣里8-12,18","","28732423",
"38","丹佛幼兒園","石牌路2段358-1號","永欣里19-23","","28721955",
"39","陽明天母大廈交誼廳","立農街2段202巷6號後側","永明里8,10-12","","28208700",
"40","永福祠","石牌路2段97巷1號","永明里3-6,9","","0939119326",
"41","正大幼兒園","義理街49巷2號","永明里1,2,7","永明里全里","28229788",
"42","新工處五分隊停車場〈右側〉","致遠三路158號","東華里1-6","","28226177",
"43","新工處五分隊停車場〈左側〉","致遠三路158號","東華里7-12","","28226177",
"44","陽明大學平衡運動訓練中心","立農街2段143號","東華里13-18","東華里全里","28267000轉2219",
"45","石牌國小二年一班教室","致遠二路80號","吉利里1-5","","28227484",
"46","石牌國小二年二班教室","致遠二路80號","吉利里6-11,17","","28227484",
"47","石牌國小一年七班教室","致遠二路80號","吉利里12-16,19","吉利里全里","28227484",
"48","石牌國小一年八班教室","致遠二路80號","吉利里18,20-23","","28227484",
"49","石牌國小三年一班教室","致遠二路80號","吉慶里1-6","","28227484",
"50","石牌國小一年二班教室","致遠二路80號","吉慶里7-11,13","","28227484",
"51","石牌國小一年三班教室","致遠二路80號","吉慶里12,14-18","吉慶里全里","28227484",
"52","石牌國小一年四班教室","致遠二路80號","尊賢里1-6","28227484",
"53","石牌國小一年五班教室","致遠二路80號","尊賢里7-12","28227484",
"54","石牌國小一年六班教室","致遠二路80號","尊賢里13-20","尊賢里全里","28227484",
"55","台北慈惠堂","吉利街27號","立賢里1-3,6,7","28218524",
"56","立農國小一年3教室","立農街1段250號","立賢里8-12","立賢里全里","28212604",
