編號,設置地點,詳細地址,所轄里鄰別,電話,原住民
第 1 選舉區,"",""
0001,"梅山里瑪舒霍爾文化
聚會所","梅山里 2 鄰梅山巷
35-8 號",梅山里全里,6866004
0002,拉芙蘭里活動中心,"拉芙蘭里 3 鄰南橫公
路五段 108 號",拉芙蘭里全里,6866159
0003,復興里活動中心,"復興里 1 鄰愛玉路 20
號",復興里全里,6866014
0004,勤和里活動中心,"勤和里南橫公路三段
平台巷 36 號",勤和里全里,6861330
0005,"高雄市桃源區桃源國
民小學二年忠班教室",桃源里北進巷 50 號,桃源里全里,6861045
0006,高中社區活動中心,"高中里 2 鄰興中巷 48
號",高中里全里,6881322
0007,建山文化聚會所,"建山里 5 鄰建山巷 86
號",建山里全里,6881940
0008,二集團活動中心,寶山里 6 鄰 59 號,寶山里全里,6861379
第 1 選舉區,"",""
0009,"達卡努瓦老人日間關
懷站","達卡努瓦里秀嶺巷 27
號",達卡努瓦里 1-3 鄰,6701786
0010,達卡努瓦里辦公處,"達卡努瓦里大光巷
123 號",達卡努瓦里 4-8 鄰,6701442
0011,"那瑪夏國中(九年一班
教室)",瑪雅里平和巷 171 號,瑪雅里全里,6701813
0012,"民族教會（教會側邊廣
場及康樂台）","南沙魯里鞍山巷 101
號",南沙魯里全里,6701131
0013,甲仙國小幼兒活動室,西安里文化路 45 號,東安里,6751025,"(2) 
原住民"
0014,"甲仙和安社區活動中
心",和安里中山路 56 號,西安里,6751002,"(2) 
原住民"
0015,甲仙區老人活動中心,"和安里中正路 99 巷
12 號",和安里,6751002,"(1) 
原住民"
0016,大田老人活動中心,"大田里新興路 49 號
之 1",大田里,6752640,"(2) 
原住民"
0017,寶隆社區活動中心,寶隆里嶺頂巷 1 號,寶隆里,6751002,"(2) 
原住民"
0018,關山社區活動中心,關山里中興路 17 號,關山里,6752387,"(2) 
原住民"
0019,小林社區活動中心,"小林里西拉雅路 2 巷
1 號",小林里,6761453,"(2) 
原住民"
第 1 選舉區,"",六龜區,"","",""
0020,新威社區活動中心,新威里 9 鄰 128 號,新威里全里,6891024,"(2) 
原住民"
0021,新興社區活動中心,新興里新威 299 號,新興里全里,6871084,"(2) 
原住民"
0022,新寮社區活動中心,"新寮里 2 鄰三民路 14
號",新寮里全里,6871034,"(1) 
原住民"
0023,新發社區活動中心,"新發里 11 鄰和平路
115-1 號",新發里全里,6791102,"(2) 
原住民"
0024,"荖濃防災暨社區教育
中心","荖濃里 17 鄰裕濃路
27 號",荖濃里全里,6881114,"(2) 
原住民"
0025,六龜社區活動中心,六龜里民治路 16 號,六龜里全里,6891113,"(2) 
原住民"
0026,義寶社區活動中心,"義寶里 21 鄰維新街 1
巷 2 號",義寶里全里,3891294,"(1) 
原住民"
0027,興龍社區活動中心,興龍里 4鄰土壠 74號,興龍里全里,6891114,"(1) 
原住民"
0028,中興社區活動中心,"中興里 14 鄰中庄 195
號",中興里全里,6891194,"(2) 
原住民"
0030,文武社區活動中心,"文武里 16 鄰光明巷
40 號",文武里全里,6892574,"(2) 
原住民"
0031,大津社區活動中心,"大津里 3 鄰大津路 49
號",大津里全里,6801175,"(1) 
原住民"
第 1 選舉區,"",杉林區,"","",""
0032,杉林社區活動中心,"杉林里合森巷 63~1
號",杉林里全里,"","(1) 
原住民"
0033,木梓社區活動中心,木梓里茄苳巷 147 號,木梓里全里,"","(1) 
原住民"
0034,集來社區活動中心,"集來里通仙巷 221~1
號",集來里 10~21 鄰,"","(1) 
原住民"
0035,金興社區活動中心,集來里通仙巷 2 號,集來里 1~9 鄰,"",(1)
0036,新庄社區活動中心,"新庄里司馬路 92 巷
6~1 號",新庄里 1~16 及 18 鄰,"","(1) 
原住民"
0037,新和社區活動中心,"新庄里司馬路 384 巷
54 號",新庄里 17 鄰、19~23 鄰,"",(1)
0038,上平社區活動中心,"上平里山仙路 152 巷
1 號",上平里全里,"","(1) 
原住民"
0039,月眉社區活動中心,"月眉里清水路朝雲
巷 10 號",月眉里全里,6773012,"(1) 
原住民"
0040,大愛園區活動中心,大愛里大愛路 47 號,大愛里全里,6775884,"(1) 
原住民"
