編號,設置地點,詳細地址,所轄里鄰別,電話,原住民
0041,"月美社區活動中心 
(樂善堂)",月美里桐竹路 241 號,月美里全里,6771315,"(1) 
原住民"
第 1 選舉區,"",內門區,"","",""
0042,溝坪里社區活動中心,"溝坪里廣福 39 之 1
號",溝坪里全里,07-6601125,"(1) 
原住民"
0043,金竹里社區活動中心,金竹里吉民 53 號,金竹里全里,07-6601529,"(1) 
原住民"
0044,永富里社區活動中心,永富里萊坑 8 之 2 號,永富里全里,07-6601150,"(1) 
原住民"
0045,永吉里社區活動中心,永吉里新生 47 號,永吉里全里,07-7911097,"(1) 
原住民"
0046,永興里社區活動中心,永興里頂庄 9 號,永興里全里,07-6601336,"(1) 
原住民"
0047,石坑里社區活動中心,石坑里 5 鄰 9 之 7 號,石坑里全里,07-6673402,"(1) 
原住民"
0048,內門里社區活動中心,"內門里三崁店 10 之 1
號",內門里全里,07-6674134,"(1) 
原住民"
0049,內豊里社區活動中心,"內豊里內埔 140 之 1
號",內豊里全里,07-6671821,"(1) 
原住民"
0050,內門紫竹寺香客大樓,"觀亭里中正路 115 巷
18 號",觀亭里全里,07-6671889,"(1) 
原住民"
0051,"內門國中紫竹大樓 9
年 4 班敎室","觀亭里中正路 160 巷
30 號",中埔里全里,07-6671002,"(2) 
原住民"
0052,內東里社區活動中心,內東里虎頭山 20 號,內東里全里,07-6674218,"(1) 
原住民"
0053,內南里社區活動中心,"內南里腳帛寮 6 之 1
號",內南里全里,07-6673008,"(1) 
原住民"
0054,東埔里社區活動中心,"東埔里東勢埔 38 之
10 號",東埔里全里,07-6671839,"(1) 
原住民"
0055,三平里社區活動中心,"三平里橫山 9 之 31
號",三平里全里,07-6674171,"(1) 
原住民"
0056,木柵里社區活動中心,木柵里木柵 31 號,木柵里全里,07-6681820,"(1) 
原住民"
0057,內興里社區活動中心,"內興里石內 18 之 1
號",內興里全里,07-6681510,"(1) 
原住民"
0058,瑞山里社區活動中心,"瑞山里大崎頭 6 之 1
號",瑞山里全里,07-6672883,"(1) 
原住民"
0059,光興里社區活動中心,光興里石車 22 號,光興里全里,07-6671286,"(1) 
原住民"
第 1 選舉區,"",旗山區,"","",""
0060,開封府,"太平里旗南一路 33
號","太平里 1-10 鄰、18-20、
26-27 鄰",6615188,(1)
0061,清雲寺,"太平里樂和街 42 之 1
號",太平里 11-17、22-25 鄰,6618200,"(2) 
原住民"
0062,"旗山國中(教學大樓一
樓 2 年 6 班教室)",大德里中學路 42 號,大德里 1-10 鄰,6612650,(2)
0063,大德社區活動中心,"大德里復新東街 16
巷 7 之 1 號",大德里 11-21 鄰,6621134,"(2) 
原住民"
0064,"旗山國小(第二會議
室)",湄洲里華中街 44 號,湄洲里 1-4、7-14 鄰,"","(2) 
原住民"
0065,湄洲里活動中心,湄洲里文中路 4 號,湄洲里 5、6、15-22 鄰,6621737,(2)
0066,圓富社區活動中心,"圓富里旗甲路二段
256 巷 4-1 號",圓富里 1-8 鄰,6692360,"(2) 
原住民"
0067,圓富國中資源教室,"圓富里旗甲路二段
609 號",圓富里 9-15 鄰,6691004,(2)
0068,"中正新社區活動中心
(保安宮)","中正旗甲三段 177 巷
1 號",中正里 1-5、12-16 鄰,6691302,(2)
0069,"中正舊社區活動中心
(宣化堂)",中正里廟前巷 28 號,中正里 6-11 鄰,"","(2) 
原住民"
0070,大林社區活動中心,大林里自強巷 17 號,大林里 1-8 鄰,6691060,"(1) 
原住民"
0071,北極宮,大林里合和街 16 號,大林里 9-16 鄰,6691249,(1)
0072,上洲社區活動中心,上洲里後角街 2-4 號,上洲里全里,"","(2) 
原住民"
0073,新光社區活動中心,"新光里旗南三路 35-2
號",新光里全里,6661342,"(2) 
原住民"
0074,南勝社區活動中心,南勝里龍文巷 30-3 號,"南勝里 1-6、16-27、29-30
鄰",6651069,"(2) 
原住民"
0075,勝湖社區活動中心,"南勝里旗南三路 163
之 2 號","南勝里 7-15、28、31-32
鄰",6662003,(2)
0076,中寮社區活動中心,"中寮里中寮二路 47-1
號",中寮里全里,6661590,"(1) 
原住民"
0077,"旗尾國小(多功能教
室)","東平里延平二路 19
號",東平里 1-9 鄰,6612454,(2)
0078,"旗尾國小(幼稚園餐
廳)","東平里延平二路 19
號",東平里 10-15 鄰,6612454,"(1) 
原住民"
0079,"東平東昌社區活動中
心","東平里興中路 137 巷
5 號",東昌里全里,6612140,"(1) 
原住民"
0080,竹峰寺,"竹峰里文中路 54 巷
40 號","竹峰里 1-4、7-10、16-19
鄰","",(2)
0081,竹峰里活動中心,"竹峰里義德街 31 巷
1-1 號",竹峰里 5-6、11-15、20 鄰,6611432,"(2) 
原住民"
0082,文武廟,"瑞吉里延平一路 468
巷 24 號",瑞吉里 1-3、15 鄰,6612983,(2)
0083,瑞竹社區活動中心,"瑞吉里中正路 525 巷
55 弄 10 號",瑞吉里 5-6、8-14 鄰,6611099,"(1) 
原住民"
0084,鼓山國小教師餐廳,"永和里延平一路 111
號",永和里 1-4、6-9 鄰,6612051,(2)
0085,"國立旗山農工(教學大
樓勤學樓一樓農業科
教室)","永和里旗甲路一段
195 號","永和里 5、15-16、19-20
21、23 鄰",6612501,(2)
0086,永和社區活動中心,"永和里旗文路 125 之
5 號","永和里 10-14、17-18、22
24-25 鄰","","(1) 
原住民"
0087,聖義宮,三協里旗亭巷 23 號,三協里 1-4 鄰,"",(3)
0088,三農宮,"三協里旗南一路 224
號",三協里 5-8 鄰,6615707,(1)
0089,北勢社區活動中心,三協里三和巷 40 號,三協里 9-19 鄰,6613992,"(1) 
原住民"
0090,溪洲朝天宮,鯤洲里福壽街 25 號,鯤洲里全里,"","(1) 
原住民"
0091,大山社區活動中心,大山里大山街 12-2 號,大山里全里,6662487,"(1) 
原住民"
0092,中洲社區活動中心,"中洲里中洲路 151-1
號",中洲里全里,6661341,"(2) 
原住民"
0093,南洲社區活動中心,"南洲里中洲路 398 之
1 號",南洲里全里,6662483,"(2) 
原住民"
0094,廣福社區活動中心,"廣福里旗屏二路 16
號",廣福里全里,6623324,"(2) 
原住民"
第 1 選舉區,"",美濃區,"","",""
0095,"舊福安社區活動中心
（媽祖廟）",福安街 25 號,福安里 1-10、21 鄰,"","(2) 
原住民"
0096,"新福安社區活動中心
（福安國小旁）",中山路 2 段 358 號,福安里 11-20、22-24 鄰,6815442,（2）
0097,中山堂,"中正路 1 段 167 巷 1
號",合和里 1-10 鄰,"",（2）
0098,美濃體育館,中正路 1 段 191 號,合和里 11-19 鄰,6816166,"(2) 
原住民"
0099,"社區聯合活動中心（中
壇國小旁）",忠孝路 1 段 19 號,祿興里 1-7、17-21 鄰,6812534,"(1) 
原住民"
0100,新祿興社區活動中心,新興街 92 之 1 號,祿興里 8-16、22-24 鄰,6817377,（1）
0101,美濃區老人活動中心,中正路 2 段 351 號,中壇里 1-14 鄰,6818452,（2）
0102,南興社區活動中心,五穀街 32 號,中壇里 15-27 鄰,"","(1) 
原住民"
0103,"德興里辦公室（社區活
動中心）",光明路 78 號,德興里全里,6815443,"(1) 
原住民"
0104,龍山社區活動中心,龍山街 40 號,龍山里 1-10、17-20 鄰,6852580,（1）
0105,龍山國小英語教室,龍山街 62 號,龍山里 11-16、21-22 鄰,6833654,"(2)原住
民"
0106,"獅山社區活動中心（獅
山里辦公處）",獅山街 57 之 1 號,獅山里 10-19 鄰,6852902,（1）
0107,龍肚國中 301 教室,龍山里中華路 68 號,獅山里 1-9、20、21 鄰,6851314,"(1) 
原住民"
0108,"社區活動中心（廣化
廟）",龍蘭街 6 號,龍肚里 10-20 鄰,"",（1）
0109,"龍肚社區活動中心（清
水宮旁）",文化街 6 巷 20 號,龍肚里 1-9 鄰,"","(1) 
原住民"
0110,廣德社區活動中心,民族路 111 巷 3 號,廣德里全里,6810486,"(3) 
原住民"
0111,廣興社區活動中心,興隆三街 6 號,興隆里全里,6814334,"(2) 
原住民"
0112,中圳社區活動中心,福美路 73 巷 8 號,中圳里 7-16 鄰,6815441,（1）
0113,東門國小活動中心,"民族路 36 巷 2 之 1
號",中圳里 1-6、17-18 鄰,6812811,"(1) 
原住民"
0114,劉公聖君宮,永安路 19 巷 37 號,東門里全里,6816602,"(2) 
原住民"
0115,美濃國小禮堂,永安路 190 號,泰安里全里,6811941,"(2) 
原住民"
0116,天后宮,永安路 269 巷 1 號,瀰濃里 1-21 鄰,6812324,（2）
0117,"美濃國小四年忠班教
室",永安路 190 號,瀰濃里 22-32 鄰,6811941,"(1) 
原住民"
0118,清水社區活動中心,忠孝路 2 段 3 之 5 號,清水里 1-10、15 鄰,6830915,"(3) 
原住民"
0119,"南隆國中二年 1 班教
室",南中街 3 號,清水里 11-14 鄰,6831153,（1）
0120,吉洋里辦公處,吉安 50 號,吉洋里 10-19 鄰,6831424,"(1) 
原住民"
0121,"社區活動中心（南清宮
旁）",外六寮 62 號,吉洋里 1-9 鄰,6831424,（1）
0122,下九寮社區活動中心,下九寮 63 號,吉和里全里,6831854,"(2)原住
民"
0123,吉東社區活動中心,吉頂 15 號,吉東里 11-19 鄰,6831144,（2）
0124,吉東國小特別教室,吉頂 19 號,吉東里 1-10、20 鄰,6831144,"(1) 
原住民"
0125,廣林社區活動中心,廣福街 130 號,廣林里 1-9 鄰,6814134,"(1) 
原住民"
0126,聖化宮,廣福街 130 號,廣林里 10-16 鄰,6813646,（1）
第 1 選舉區,"",茂林區,"","",""
0127,多納國小六年忠班,多納里 1-2 號,多納里 1~6 鄰（全里）,07-6801178,"(1)原住
民 7 鄰
空鄰"
0128,"萬山社區發展協會辦
公室（原萬山分校）","萬山里萬山巷 27 之 1
號前面左側",萬山里 1~6 鄰（全里）,07-6801568,"(3) 
原住民"
0129,茂林國小一年忠班,茂林里 4-3 號,茂林里 1~7 鄰（全里）,07-6801043,"(1) 
原住民"
第 2 選舉區,"",茄萣區,"","",""
0130,"福德社區老人活動中
心",福德路 63 號,福德里全里,0933368211,"（2） 
原住民"
0131,"砂崙國小（一年忠班教
室）",文化路 81 號,萬福里全里,6900037,"（1） 
原住民"
0132,"白雲社區老人活動中
心",公園路 81 號,白雲里全里,6908330,"（1） 
原住民"
0133,"茄萣國小（北側樂齡教
室）",茄萣路 2 段 307 號,嘉賜里 1-21 鄰,6900057,（1）
0134,"茄萣國小（北側四年忠
班教室）",茄萣路 2 段 307 號,嘉賜里 22-37 鄰,6900057,"（1） 
原住民"
0135,"茄萣國小（南側六年義
班教室）",茄萣路 2 段 307 號,嘉安里全里,6900057,"（1） 
原住民"
0136,賜福宮倉庫,頂漁路 51 號,嘉樂里 1-17 鄰,6900001,（1）
0137,賜福宮舊辦公室,頂漁路 49 號,嘉樂里 18-26 鄰,6900001,（1）
0138,中山堂,頂漁路 57 號,嘉泰里全里,6904475,"（2） 
原住民"
0139,嘉福社區活動中心,濱海路 3 段 23 號,嘉福里全里,0912184642,"（3） 
原住民"
0140,"基督教長老教會茄萣
教會",港埔路 101 號,和協里全里,6902362,"（2） 
原住民"
0141,金鑾宮禮堂,港東街 111 號,嘉定里全里,6902948,"（3） 
原住民"
0142,金鑾宮媽祖文物館,港東街 119 號,"保定里 1-15、17-21、23-24
鄰",6902948,"（3） 
原住民"
0143,保定社區活動中心,金鑾路 143 巷 22-1 號,保定里 16、22、25-34 鄰,6900001,（3）
0144,太陽殿,"茄萣路 1 段 228 巷 28
號",大定里全里,6900001,"（1） 
原住民"
0145,茄萣老人活動中心,忠孝街 29 號,光定里全里,6900001,"（2） 
原住民"
0146,成功國小活動中心,成功路 1 號,吉定里全里,6902053,"（1） 
原住民"
0147,"崎漏社區活動中心（北
側）",崎漏路 68 號,"崎漏里 1-4、6-17 鄰，無
第 5 鄰",0932974147,（3）
0148,"崎漏社區活動中心（南
側）",崎漏路 68 號,"崎漏里 18-22、24-25、27
30-31 鄰",0932974147,（3）
0149,興達國小英語教室,民治路 2 號,"崎漏里 23、26、28-29、
32-37 鄰",6988099,"（2） 
原住民"
第 2 選舉區,"",湖內區,"","",""
0150,"海山、海埔社區活動中
心",湖內區和平路 150 號,海山里全里,07-6991302,"（2） 
原住民"
0151,劉家社區活動中心,湖內區仁愛街 89 號,劉家里全里,07-6993544,"（2）原
住民
8、13 鄰
空鄰,"
0152,太爺社區活動中心,"湖內區中正路一段
53 巷 1 號",太爺里全里,07-6991548,"（2） 
原住民"
0153,"明宗國小(一) 
一年甲班(107)",湖內區保生路 103 號,"公舘里 1-3 鄰,17 鄰",07-6994682,"（2） 
原住民"
0154,"明宗國小(二) 
二年乙班（112）",湖內區保生路 103 號,公舘里 4-16 鄰,07-6994682,（2）
0155,"葉厝社區活動中心
（一）",湖內區清水街 41 號,葉厝里 1-11 鄰,07-6991303,"（2） 
原住民 
4 鄰空
鄰,"
0156,"葉厝社區活動中心
（二）",湖內區清水街 41 號,葉厝里 12-18 鄰,07-6991303,（2）
0157,"大湖國小(一) 
湖心樓一樓自然科教
室",湖內區民權路 2 號,大湖里 1-9 鄰,07-6933808,（2）
0158,"大湖國小(二) 
湖心樓一樓二年仁班
教室",湖內區民權路 2 號,大湖里 10-20 鄰,07-6933808,（2）
0159,"大湖國小(三) 
知新樓一樓綜合教室",湖內區民權路 2 號,大湖里 21-28 鄰,07-6933808,"（2） 
原住民"
0160,田尾社區活動中心,"湖內區民權路 244 巷
10-1 號",田尾里全里,07-6930785,"（2） 
原住民"
0161,湖內普濟宮,湖內區民族街 157 號,"湖內里 1-6 鄰,13 鄰",07-6931009,（2）
0162,湖內社區活動中心,"湖內區民族街 380-1
號","湖內里 7-12 鄰,14-16 鄰",07-6931038,"","（2） 
原住民"
0163,正義社區,"湖內區正義一路 98
號",湖內里 17-33 鄰,"07-6934507 
0972503297","",（3）
0164,"海埔國小(一)南棟 
社區學習中心",湖內區忠孝街 256 號,"海埔里 1-5 鄰,15-16 鄰",07-6992346,"","（2） 
原住民"
0165,"海埔國小(二)北棟 
B102 教室",湖內區忠孝街 256 號,"海埔里 6-14 鄰,17 鄰",07-6992346,"",（2）
0166,文賢社區活動中心,"湖內區中正路二段
242 號",文賢里全里,07-6991305,"","（2） 
原住民"
0167,文賢國小文興館,"湖內區中正路二段
39 號",中賢里 1-9 鄰,07-6993061,"",（2）
0168,"湖內區民眾活動中心 
（中正堂）","湖內區中正路二段
79 號",中賢里 10-19 鄰,07-6991221,"","（2） 
原住民"
0169,逸賢社區活動中心,湖內區自強街 20 號,逸賢里全里,07-6991545,"","（1） 
原住民"
0170,忠興社區活動中心,"湖內區中正路二段
620 號",忠興里全里,07-6902245,"","（2） 
原住民"
0171,湖東社區活動中心,湖內區民生街 252 號,湖東里 1-11 鄰,0910738655,"",（2）
0172,"東方設計學院 
藝術中心一樓",湖內區東方路 110 號,湖東里 12-22 鄰,07-6939535,"","（2） 
原住民"
第 2 選舉區,"",路竹區,"","","",""
0173,竹滬社區活動中心,竹滬里成功路 12 號,竹滬里 1-8 鄰,6982360,"（2） 
原住民",""
0174,"竹滬國小南棟東邊第
一間（2 年忠班）",竹滬里成功路 2 號,竹滬里 9-20 鄰,6981516,（1）,""
0175,"竹滬國小北棟東邊第
一間（6 年忠班）",竹滬里成功路 2 號,竹滬里 21-26 鄰,6981516,（1）,""
0176,頂寮社區活動中心,頂寮里三公路 54 號,頂寮里全里,6982365,"（2） 
原住民",""
0177,新達社區活動中心,新達里下甲路 161 號,新達里全里,6982841,"（1） 
原住民",""
0178,後鄉社區活動中心,"後鄉里順安路 189 巷
13 號",後鄉里全里,6969435,"（2） 
原住民"
0179,北嶺社區活動中心,"北嶺里民治路 16 巷
22 號",北嶺里全里,6978401,"（2） 
原住民"
0180,"大社國小南棟第一間
（2 年忠班）",社西里大社路 243 號,社西里 1-12 鄰,6962254,（1）
0181,"大社國小南棟第四間
（樂器室）",社西里大社路 243 號,社西里 13-23 鄰,6962254,"（1） 
原住民"
0182,立德堂,甲北里平和路 2 號,甲北里 1-14 鄰,6974321,"（2） 
原住民"
0183,"一甲國小北棟（4 年孝
班）",甲南里大智路 43 號,甲北里 15-21 鄰,6962454,（1）
0184,一甲國中活動中心,甲南里一甲路 111 號,甲南里 1-9 鄰,6977479,（2）
0185,一甲觀音亭,甲南里大智路 39 號,甲南里 10-17 鄰,6965481,（2）
0186,"一甲國小南棟（6 年仁
班）",甲南里大智路 43 號,甲南里 18-25 鄰,6962254,"（1） 
原住民"
0187,"下坑國小補救教學教
室",下坑里太平路 384 號,下坑里 1-9 鄰,6951015,"（2） 
原住民"
0188,福善宮,"下坑里太平路 276-2
號",下坑里 11-19 鄰,6952104,（2）
0189,下坑國小社教教室,下坑里太平路 384 號,下坑里 10、20-24 鄰,6951015,（1）
0190,"下坑國小北棟第一間
（自然科教室）",下坑里太平路 384 號,竹園里 1-10 鄰,6951015,"（2） 
原住民"
0191,竹園社區活動中心,"竹園里新生路 156 巷
40 號",竹園里 11-20 鄰,6951405,（1）
0192,竹東社區活動中心,竹南里中正路 63 號,竹東里 1-10 鄰,6961019,"前門（1）
後門（2） 
原住民"
0193,舊鄉公所,竹南里中正路 51 號,竹東里 11-22 鄰,"",（2）
0194,東嶽宮,"竹西里文化路 10 巷 1
號",竹西里 1-16、20 鄰,6973360,"（2） 
原住民"
0195,竹西社區活動中心,竹西里聖母街 70 號,竹西里 17-19、21-25 鄰,6969420,（2）
0196,"蔡文國小第 2 棟第 1
間(1 年 4 班)",竹西里國昌路 548 號,文北里 1-11、19 鄰,6076268,（1）
0197,"蔡文國小第 1 棟第 1
間(1 年 1 班)",竹西里國昌路 548 號,文北里 13-16、20 鄰,6076268,"（1） 
原住民"
0198,通善堂,文北里國昌路 133 號,"文北里 12、17-18、21-24
鄰",6965853,（1）
0199,路竹區老人文康中心,文南里國昌路 117 號,文南里 1-11 鄰,6979239,（2）
0200,文南社區活動中心,文南里中華路 293 號,文南里 12-22 鄰,6971652,"（1）原
住民"
0201,嶽府殿,"三爺里民族路 180 之
1 號",三爺里全里,6961266,"（2） 
原住民"
0202,鴨寮社區活動中心,鴨寮里保安路 86 號,鴨寮里 1-13 鄰,6969519,（2）
0203,高雄市立路竹幼兒園,"鴨寮里復興路 327 巷
99 號",鴨寮里 14-17 鄰,6979241,"（2） 
原住民"
0204,社東社區活動中心,"社東里東安路 38 巷 2
號",社東里 1-10 鄰,6072402,"（1） 
原住民"
0205,大社東安宮,"社東里東安路 36 巷 1
號",社東里 11-19 鄰,6964169,（1）
0206,社中社區活動中心,社中里潭墘路 290 號,社中里全里,6978817,"（1） 
原住民"
0207,竹南里辦公處（公有,竹南里中正路 67 號,"竹南里 1-4、7、9-10、26-28
鄰",6967914,（1）
0208,路竹國小會議室,"竹南里中山路 712 巷
16 號",竹南里 13、15-22 鄰,6962128,"（1） 
原住民"
0209,路竹國小體育館,"竹南里中山路 712 巷
16 號","竹南里 5-6、8、11-12、14
23-25 鄰",6962128,（2）
0210,社南里辦公處（公有,社南里智仁街 123 號,社南里 1、3-8 鄰,6960782,（2）
0211,"基督長老教會路竹教
會",社南里莊敬街 10 號,社南里 2、9-14 鄰,6971717,（1）
0212,"大社國小北棟第四間
（1 年孝班）",社西里大社路 243 號,社南里 17-19 鄰,6962254,（1）,""
0213,"大社國小北棟第二間
（綜合教室）",社西里大社路 243 號,社南里 15-16、20-22 鄰,6962254,"（1） 
原住民",""
第 2 選舉區,"",阿蓮區,"","","",""
0214,石安社區活動中心,石安里石安 72 號,石安里全里,6319327,"","（1） 
原住民"
0215,中路社區活動中心,中路里中路 3 號,中路里 1-12、27 鄰,6314906,"","（1） 
原住民"
0216,萬福宮,中路里中路 3 號,中路里中路 13-26 鄰,6317402,"",（2）
0217,峰山社區活動中心,"峯山里峰北 27 之 1
號",峯山里全里,6312146,"","（1） 
原住民"
0218,崙港社區活動中心,"港後里港後 118 之 6
號","港後里港後 1-11、18-19
鄰",6312145,"","（1） 
原住民"
0219,崙頂武當山,港後里崙頂 28 號,港後里 12-17 鄰,6311450,"",（2）
0220,崗山社區活動中心,崗山里崗山 70 號,崗山里全里,6332147,"","（1） 
原住民"
0221,薦善堂,"阿蓮里民族路 206 巷
26 號",阿蓮里 1-12 鄰,6312058,"",（2）
0222,阿蓮國小 3年 5班教室,阿蓮里民族路 163 號,阿蓮里 13-26 鄰,6312049,"","（1） 
24 空鄰"
0223,"阿蓮國小攀岩體操運
動教室",阿蓮里民族路 163 號,阿蓮里 27-36 鄰,6312049,"",（1）
0224,"阿蓮國小藝術人文教
室",阿蓮里民族路 163 號,阿蓮里 37-51 鄰,6312049,"","（1） 
原住民"
0225,清和宮,阿蓮里中正路 596 號,清蓮里 1-12、24-28 鄰,6311514,"","（1） 
原住民"
0226,阿蓮國中 1年 4班教室,阿蓮里民生路 178 號,清蓮里 13-23 鄰,6312045,"",（1）
0227,宗聖堂,"和蓮里中正路 701 巷
63 號","和蓮里 1-6、8-12、24-25
鄰",6311752,"","（2） 
原住民"
0228,胤科祠堂,"和蓮里中正路 701 巷
17 號",和蓮里 7、13-23 鄰,6312574,（2）
0229,青旗社區活動中心,青旗里青旗 194 號,青旗里全里,6312141,"（1） 
原住民"
0230,復安社區活動中心,"復安里復安 156 之 17
號","復安里 1-4、6-10、14-15
鄰",6332148,（2）
0231,南安宮,復安里復安 127 號,"復安里 5、11-13、16-20
鄰",6331078,"（2） 
原住民"
0232,玉庫社區活動中心,玉庫里玉庫 59 號,玉庫里全里,6332149,"（1） 
原住民"
0233,南蓮社區活動中心,"南蓮里中正路 381 巷
35 號",南蓮里 1-13、27 鄰,6321375,"（2） 
原住民"
0234,"前高雄區信鴿協會阿
蓮中正支會","南蓮里中山路 171 巷
62 號",南蓮里 14-26 鄰,6310493,（1）
第 2 選舉區,"",田寮區,"","",""
0235,鹿埔社區活動中心,鹿埔路鹿南巷 30 號,鹿埔里全里,6367123,"（2） 
原住民"
0236,"高雄市立圖書館 
田寮分館",崗安路 71 之 1 號,南安里 14-22 鄰,6361738,（1）
0237,南安社區活動中心,南安路 42 之 1 號,南安里 1-13 鄰,6361877,"（2） 
原住民"
0238,聖母宮,平安路 47 之 1 號,大同里全里,6361648,"（1） 
原住民"
0239,田寮社區活動中心,田寮路 70 之 1 號,田寮里全里,6361013,"（2） 
原住民"
0240,七星社區活動中心,七星路 12 號,七星里全里,6361586,"（2） 
原住民"
0241,田寮區老人活動中心,崇德路 9 之 1 號,崇德里全里,6361493,"（1） 
原住民"
0242,西德社區活動中心,西德路 42 之 1 號,西德里全里,6366955,"（2） 
原住民"
0243,三和社區活動中心,崁頂 24 號,三和里全里,6366282,"（2） 
原住民"
0244,古亭社區活動中心,廟後巷 2 號,古亭里全里,6369797,"（2） 
原住民"
0245,新興社區活動中心,新興路 70 號,新興里 4-8 鄰,6381437,"（2） 
原住民"
0246,龍鳳寺,新興路 16 號,新興里 1-3、9-15 鄰,6381496,（2）
第 3 選舉區,"",永安區,"","",""
0247,永安區中正堂,永安里永安路 43 號,永安里 1-6 鄰,"","(2) 
原住民"
0248,永安區老人活動中心,永安里永安路28-1號,永安里 7-14 鄰,"",(2)
0249,永安國小（會議室）,永華里永華路 49 號,永華里 1-6 鄰,07-6912011,"(1) 
原住民"
0250,永安國小（美勞教室,永華里永華路 49 號,永華里 7-12 鄰,07-6912011,(1)
0251,新港國小（桌球室）,新港里新興路 25 號,新港里 1-6 鄰,07-6912040,"(1) 
原住民"
0252,"新港國小（二年級教
室）",新港里新興路 25 號,新港里 7-12 鄰,07-6912040,(1)
0253,烏林投社區活動中心,新港里興達巷65-7號,新港里 13-15 鄰,"",(2)
0254,鹽田社區活動中心,鹽田里新興路 99 號,鹽田里全里,07-6912036,"(2) 
原住民"
0255,保寧社區活動中心,保寧里保安路 240 號,保寧里 1-10 鄰,07-6912037,(2)
