區別,投開票所編號,投開票所住址,投開票所名稱,所轄里、鄰範圍,備註
東區,1,新竹市民族路33號,東門國小A111共同教室,育賢里全里,
東區,2,新竹市民族路33號,東門國小一年2班教室,親仁里1至6鄰,
東區,3,新竹市民族路33號,東門國小一年3班教室,親仁里7至18鄰,
東區,4,新竹市東門街150號,東寧宮一樓,東門里全里,
東區,5,新竹市武昌街110號,國立新竹生活美學館展場,成功里全里,
東區,6,新竹市中華路2段399號,臺灣電力公司新竹營業處玄關,榮光里全里,
東區,7,新竹市中正路65號,市立影像博物館,中正里全里,
東區,8,新竹市東大路一段137之1號,錦華、親仁里活動中心(東大路橋下),錦華里1至4鄰、8至15鄰,
東區,9,新竹市北大路61號,曙光女中高一祥班,錦華里5至7鄰、16、17、18、19、20鄰,
東區,10,新竹市東大路二段16號,黑蝙蝠中隊文物陳列館地下室(文華里集會所),文華里1至7鄰,
東區,11,新竹市光華街42之8號,新竹市文華福德宮活動中心,文華里8鄰、10鄰、15至17鄰,
東區,12,新竹市田美三街2號,勞工育樂中心一樓綜合教室,文華里9鄰、11至14鄰、18鄰、19鄰,
東區,13,新竹市北大路61號,曙光女中高二祥班,復中里1至6鄰11、12鄰,
東區,14,新竹市自由路95巷15號,三民國中822教室,復中里9、10、13、15、16、20、21鄰,
東區,15,新竹市自由路95巷15號,三民國中821教室,復中里7、8、14鄰、17至19鄰,
東區,16,新竹市自由路95巷15號,三民國中819教室,復興里1至6鄰、8鄰,
東區,17,新竹市自由路66號,三民國小612教室,復興里7鄰、11至14鄰,
東區,18,新竹市自由路66號,三民國小106教室,復興里9、10鄰、15至18鄰,
東區,19,新竹市民族路33號,東門國小一年1班教室,三民里1至5鄰、17、18、26鄰,
東區,20,新竹市民生路58巷8號,來來幼兒園,三民里6鄰、8至10鄰、20、21鄰,
東區,21,新竹市民族路111號,農委會農糧署北區分署新竹辦事處,三民里7鄰、14至16鄰、25鄰,
東區,22,新竹市中華路2段2-1號,三民里社區活動中心,三民里11至13鄰、19鄰、22至24鄰,
東區,23,新竹市自由路66號,三民國小108教室,東園里11、12、14、15、19鄰,
東區,24,新竹市自由路66號,三民國小110教室,東園里16、17、18、20鄰,
東區,25,新竹市忠孝路414號,東園社區活動中心一樓,東園里1至6鄰,
東區,26,新竹市公園路96號旁,東和宮(東園里土地公廟),東園里7至10鄰、13鄰,
東區,27,新竹市東大路一段1號,風城願景館(會議室),公園里7至14鄰、16鄰,
東區,28,新竹市體育街58號,公園里里民活動中心,公園里1至6鄰、15、17、18鄰,
東區,29,新竹市學府路2號,建華國中709教室,建華里2鄰、4至7鄰、10、12、15鄰,
東區,30,新竹市學府路4號,培英國中809教室,建華里1、3、8、9、11、13、14鄰,
東區,31,新竹市學府路4號,培英國中702教室,東山里1至3鄰、6、7、12、13鄰,
東區,32,新竹市東山街62號,基督教東山街浸信會兒童主日學教室,東山里4、5、8、9、10、20、21鄰,
東區,33,新竹市食品路155巷29號,東山里集會所,東山里11鄰、14至19鄰、22鄰,
東區,34,新竹市學府路128號,新竹高商仁愛樓商資三教室,綠水里1、2鄰、9至12鄰,
東區,35,新竹市園後街25號,東園國小B104教室,綠水里7、14、16、17、18鄰,
東區,36,新竹市園後街25號,東園國小B102教室,綠水里8、13、15、19、20鄰,
東區,37,新竹市園後街25號,東園國小G109教室,綠水里5至6鄰,
東區,38,新竹市園後街25號,東園國小G105教室,綠水里3、4、21、22鄰,
東區,39,新竹市東明街138巷1號1樓,光復里集會所,東勢里1至12鄰,
東區,40,新竹市東明街135號,潭後老人會館,東勢里13至17鄰,
東區,41,新竹市東明街133號,龍台宮(面對廟左側廂房),光復里1至9鄰,
東區,42,新竹市東明街133號,龍台宮(面對廟右側廂房),光復里10至18鄰,
東區,43,新竹市經國路1段210號,前溪里集會所,前溪里7至10鄰、13至16鄰,
東區,44,新竹市經國路1段156巷226號,永豐宮（後面的長壽俱樂部）,前溪里1至6鄰、11、12鄰,
東區,45,新竹市原興路198號,水源社區活動中心1樓,水源里1至9鄰,
東區,46,新竹市原興路366號,聖母廟,水源里10至12鄰、17至20鄰、23鄰,
東區,47,新竹市溪州路59巷15號,水源里集會所,水源里13至16鄰、21鄰、22鄰,
東區,48,新竹市千甲路387號,千甲里社區活動中心,千甲里3至9鄰,
東區,49,新竹市水利路46巷84之1號旁邊（經國橋下）,千甲里集會所,千甲里1、2鄰、10至12鄰,
東區,50,新竹市建中一路37、39號,鴻儒天下(韻律教室),豐功里14、15鄰、21至25鄰、27鄰,
東區,51,新竹市建功一路104巷22號,建功國小1年1班C101教室,豐功里5、6、11鄰、16至20鄰、26鄰、30至34鄰,
東區,52,新竹市公道五路二段415號,昌益事業群大樓大廳,豐功里1至4鄰、7至10鄰、12、13、28、29鄰,
東區,53,新竹市建中一路58號1樓,公學新城甲區活動中心,武功里1至7鄰,
