區別,投開票所編號,投開票所住址,投開票所名稱,所轄里、鄰範圍,備註
東區,54,新竹市新源街112號後面,公學新城甲區中庭兒童遊樂區,武功里8至14鄰,
東區,55,新竹市建功一路63號1樓,公學新城乙區活動中心,武功里15至23鄰,
東區,56,新竹市建功一路104巷22號,建功國小3年5班B101教室,軍功里1至22鄰,
東區,57,新竹市建功一路104巷22號,建功國小2年10班B102教室,軍功里23至24鄰、34至40鄰,
東區,58,新竹市建功一路49巷14號1樓,孟竹國宅活動中心1樓辦公室,軍功里25至33鄰,
東區,59,新竹市金城一路65-1號,建功社區活動中心,立功里全里,
東區,60,新竹市金城一路87號L棟後面,華夏金城活動中心,建功里1至4鄰、6至9鄰、12鄰,
東區,61,新竹市建功二路17號,新竹市立建功高中選修教室一,建功里5鄰、13至18鄰、21鄰,
東區,62,新竹市光復路二段298巷7弄14號地下室,文教新城管理委員會辦公室,建功里10、11、19、20鄰,
東區,63,新竹市光復路2段153號,光復中學慈樓1樓11號教室,光明里6鄰、8至13鄰、16、17、18鄰,
東區,64,新竹市光復路二段光明新村140號,光明新村活動中心一樓,光明里2、3、4、5、7、15鄰,
東區,65,新竹市大學路8號,臺灣中油公司餐廳,光明里1、14鄰、19至28鄰,
東區,66,新竹市光復路1段574號,龍山國小1年1班教室,龍山里1至4鄰、18鄰,
東區,67,新竹市光復路1段512號,光武國中201教室,龍山里5、6、7、12鄰,
東區,68,新竹市長春街118巷36之1號,長春福德宮活動中心,龍山里8至11鄰,
東區,69,新竹市光復路1段512號,光武國中205教室,龍山里13至17鄰,
東區,70,新竹市民享一街110-1號,三福宮,科園里16至18鄰、20至21鄰,
東區,71,新竹市科學園路171號,科園國小101教室,科園里2至6鄰,
東區,72,新竹市科學園路171號,科園國小103教室,科園里1鄰、7至10鄰,
東區,73,新竹市科學園路171號,科園國小104教室,科園里11至15鄰、19鄰,
東區,74,新竹市科學園路171號,科園國小204教室,科園里22至26鄰,
東區,75,新竹市埔頂路132號,慈雲庵活動中心,埔頂里1至7鄰,
東區,76,新竹市埔頂路133號,埔頂里集會所,埔頂里8至21鄰,
東區,77,新竹市新莊街263號,新莊里集會所,新莊里1至6鄰、22、23、25鄰,
東區,78,新竹市新莊街252號,新莊幼稚園教室,新莊里14至21鄰,
東區,79,新竹市新莊街336號,正德寺廣場,新莊里7至10鄰、12、24、26鄰,
東區,80,新竹市新莊街252號,新莊幼稚園(車庫),新莊里11、13鄰、27至29鄰,
東區,81,新竹市關東路53號,關東國小禮堂,關新里1、7鄰,
東區,82,新竹市關東路53號,關東國小一年愛班,關新里2、5、9鄰,
東區,83,新竹市關東路53號,關東國小一年信班,關新里3、4、6、8鄰,
東區,84,新竹市關東路53號,關東國小一年忠班,關東里1至5鄰、17鄰、20至21鄰,
東區,85,新竹市關東路53號,關東國小一年孝班,關東里6至11鄰、18至19鄰,
東區,86,新竹市關東路53號,關東國小一年仁班,關東里12至16鄰、22鄰,
東區,87,新竹市光復路1段89巷88號,新科國中905班,金山里1至6鄰,
東區,88,新竹市光復路1段163巷53弄1之4號,金山里集會所,金山里7至12鄰,
東區,89,新竹市光復路1段89巷88號,新科國中906班,金山里13至19鄰,
東區,90,新竹市光復路1段89巷88號,新科國中908班,金山里20至27鄰,
東區,91,新竹市安康街5巷1號,新竹市東區老人文康中心,仙水里1、7、12鄰、16至19鄰,
東區,92,新竹市光復路1段525巷27號,鎮安宮活動中心,仙水里2、3、4、8、9、10、13鄰,
東區,93,新竹市光復路1段257號,世界高中素描教室,仙水里5、6、11、14、15、20鄰,
東區,94,新竹市寶山路452巷7弄對面,仙宮土地公活動中心,仙宮里1至9鄰,
東區,95,新竹市南門街109之1號,新竹關帝廟忠義圖書館,關帝里全里,
東區,96,新竹市南門街15號,南門里集會所,南門里全里,
東區,97,新竹市南外街2號,南門聯里活動中心,南市里全里,
東區,98,新竹市福德街2號,福德社區活動中心,福德里全里,
東區,99,新竹市興學街106號,新竹國小四年五班教室,振興里1至8鄰,
東區,100,新竹市興學街106號,新竹國小一年八班教室,振興里9至15鄰,
東區,101,新竹市興學街106號,新竹國小一年六班教室,振興里16至24鄰,
東區,102,新竹市興學街106號,新竹國小一年五班教室,振興里25至32鄰,
東區,103,新竹市興學街106號,新竹國小一年三班教室,新興里1至8鄰,
東區,104,新竹市興學街106號,新竹國小一年一班教室,新興里9至16鄰,
東區,105,新竹市興學街106號,新竹國小四年一班教室,新興里17至26鄰,
東區,106,新竹市竹蓮街101巷10號,竹蓮寺前活動中心,寺前里全里,
東區,107,新竹市竹蓮街6號,身心障礙福利服務中心一樓,竹蓮里全里,
東區,108,新竹市食品路226號,竹蓮國小一年仁班,下竹里全里,
東區,109,新竹市竹蓮街10號,頂竹里集會所,頂竹里1至11鄰,
東區,110,新竹市食品路226號,竹蓮國小一年忠班,頂竹里12至20鄰,
東區,111,新竹市食品路226號,竹蓮國小一年孝班,頂竹里21至28鄰,
東區,112,新竹市西大路72巷55號,南大里集會所,南大里1至4鄰、7至10鄰、14鄰,
東區,113,新竹市食品路226號,竹蓮國小二年忠班,南大里5至6鄰、11至13鄰、15至16鄰,
東區,114,新竹市高峰路56號,聖經書院教育大樓一樓大廳,新光里2至5鄰、20至21鄰,
東區,115,新竹市明湖路281號,活動中心（大眾廟一樓）,新光里6至10鄰、16至18鄰,
東區,116,新竹市明湖路200號,陽光國小活動中心一樓停車場,新光里1鄰、11至15鄰、19鄰,
東區,117,新竹市南大路569號,育賢國中7年8班,光鎮里1至4鄰、13鄰、17至18鄰,
東區,118,新竹市南大路569號,育賢國中7年10班,光鎮里8至11鄰、22至24鄰,
東區,119,新竹市南大路569號,育賢國中9年9班,光鎮里5至7鄰、12鄰、14至16鄰、19至21鄰,
東區,120,新竹市高峰路110巷7號,開天宮(磐古廟),高峰里8至12鄰、18鄰、26至29鄰,
東區,121,新竹市高峰路235號,社區活動中心,高峰里7鄰、14至17鄰、24、25鄰,
東區,122,新竹市高翠路332巷2號,高峰國小一年仁班,高峰里2至6鄰、13鄰、21至23鄰,
東區,123,新竹市高翠路332巷2號,高峰國小一年忠班,高峰里1、19、20鄰、30至32鄰,
東區,124,新竹市明湖路400巷2之1號,藍灣潛水訓練中心,湖濱里1鄰、6至9鄰,
東區,125,新竹市明湖路488號,王爺宮,湖濱里10至17鄰,
東區,126,新竹市明湖路400巷49弄16號,明湖宮(舞台下空地),湖濱里2至5鄰、18至19鄰,
東區,127,新竹市明湖路608巷7弄18號,正輝宮,柴橋里1至5鄰、14至15鄰,
東區,128,新竹市明湖路650巷14號1樓地下室,竹一山莊活動中心地下室,柴橋里6至12鄰,
東區,129,新竹市明湖路775巷51號對面,柴橋里活動中心(明湖公園老人會館),柴橋里13鄰、16至21鄰,
東區,130,新竹市明湖路1135號,靈隱寺感化堂,明湖里1至8鄰,
東區,131,新竹市花園新城街17巷2之1號,明湖里花園新城活動中心,明湖里12至16鄰、21、22鄰,
東區,132,新竹市明湖路1050巷160號,春福江山活動中心,明湖里9至11鄰、17至20鄰,
北區,133,新竹市西大路508號,市立幼兒園大禮堂後半部,西門里全里,
北區,134,新竹市西大路508號,市立幼兒園家長中心,潛園里全里,
北區,135,新竹市勝利路247號,台灣基督長老教會新竹教會101教室,石坊里全里,
北區,136,新竹市西大路508號,市立幼兒園大禮堂前半部,仁德里全里,
北區,137,新竹市中山路75號,新竹城隍廟法蓮寺,中央里全里,
北區,138,新竹市北大路373號,天主教社服中心一樓大廳,崇禮里全里,
北區,139,新竹市西門街185號,興南里集會所,興南里全里,
北區,140,新竹市育英路69號,育英里集會所,育英里3至14鄰、27鄰,
北區,141,新竹市西門街295號,基督教蒙恩堂青年館一樓,育英里18至21鄰、23至26鄰,
北區,142,新竹市四維路47號,新竹教育大學附設小學（1年1班）教室,育英里1、2鄰、15至17鄰、22鄰,
北區,143,新竹市警光路29號,台溪里集會所,台溪里全里,
北區,144,新竹市崧嶺路171號,秦光孝宅,曲溪里1、9、10鄰、16至18鄰共同事業戶榮譽之家除外,
北區,145,新竹市成德路18號,曲溪里集會所,曲溪里5、7、21、22鄰,
北區,146,新竹市成德路138號,成德樓,曲溪里6、8、14、15鄰、19至20鄰,
北區,147,新竹市崧嶺路57巷41號,新竹榮家才藝教室,共同事業戶榮譽之家,
北區,148,新竹市南大路706巷33號邊,永安福德宮,曲溪里2至4鄰、11至13鄰,
北區,149,新竹市北大路450號,西門國小禮堂前段,西雅里1至7鄰、10、11、18、19鄰,
北區,150,新竹市經國路2段663巷38號,西雅里集會所,西雅里8至9鄰、12至17鄰、20鄰,
北區,151,新竹市延平路1段261巷7弄79之3號旁,新竹市福緣長青會,客雅里3至7鄰,
北區,152,新竹市北大路450號,西門國小課後照顧一班,客雅里1至2鄰,
北區,153,新竹市凌雲街30號1樓之3之5,大鵬新城會議室,中雅里1至8鄰,
北區,154,新竹市經國路2段537號,布達佩斯社區大廳,中雅里9至16鄰,
北區,155,新竹市延平路1段406巷15號,成功幼兒園,南勢里1至6鄰,
北區,156,新竹市延平路1段357巷29號,南勢里集會所,南勢里7至12鄰,
北區,157,新竹市延平路1段357巷128號,青南宮,南勢里13至20鄰,
北區,158,延平路1段491號,伯大尼養護中心,大鵬里全里,
北區,159,新竹市中正路122號,新竹市議會一樓大廳,大同里全里,
北區,160,新竹市大同路130號,新竹市第一信用合作社,中山里全里,
北區,161,新竹市北門街110號,新竹都城隍廟北門謙成會館,中興里全里,
北區,162,新竹市仁德街63號,北門市場辦公室,新民里全里,
北區,163,新竹市長和街60號,長和里集會所,長和里全里,
北區,164,新竹市北門街236號,北壇水田福德宮,北門里全里,
北區,165,新竹市西大路561號,民富國小101教室,民富里1鄰、4、5、18、20、22鄰,
北區,166,新竹市西大路561號,民富國小無障礙教室,民富里14、15、17、19、21鄰,
北區,167,新竹市西大路561號,民富國小104教室,民富里2、3、9、13鄰,
北區,168,新竹市西大路561號,民富國小107教室,民富里6至8鄰、10至12鄰、16鄰,
北區,169,新竹市西大路800號,磐石里集會所一樓,磐石里1至8鄰,
北區,170,新竹市西大路800號,磐石里集會所二樓,磐石里9至13鄰、26至27鄰,
北區,171,新竹市西大路800號,磐石里集會所三樓,磐石里21至25鄰、28鄰,
北區,172,新竹市文雅街76號,文雅福德宮,磐石里14至20鄰,
北區,173,新竹市和平路192號,黃帝神宮,新雅里3至8鄰,
北區,174,新竹市和平路1號,竹光國中1樓901教室,新雅里1、2、25、26鄰,
北區,175,新竹市成功路278號,威靈宮,新雅里13至20鄰,
北區,176,新竹市成功路186號,成雅宮,新雅里9至12鄰、21至24鄰、27鄰,
北區,177,新竹市城北街137巷11弄4-1號,北星福德宮車庫,文雅里8至15鄰,
北區,178,新竹市城北街137巷15號,北星福德宮右側,文雅里16至22鄰、24鄰,
北區,179,新竹市城北街137巷15號,北星福德宮左側,文雅里1至7鄰、23鄰,
北區,180,新竹市水田街33號,北門國小勤學樓2-1教室,水田里1至15鄰、25鄰,
北區,181,新竹市水田街33號,北門國小勤學樓2-4教室,水田里16至24鄰,
北區,182,新竹市水田街150巷6號1樓,光田里集會所,光田里1至9鄰、14鄰,
北區,183,新竹市水田街158號,室內停車場,光田里10至13鄰、15至18鄰,
北區,184,新竹市光華北街10號,光華國中仁愛樓822教室,光華里1至5鄰,
北區,185,新竹市光華北街10號,光華國中仁愛樓824教室,光華里6至13鄰,
北區,186,新竹市光華北街10號,光華國中仁愛樓826教室,光華里14至21鄰,
北區,187,新竹市光華北街10號,光華國中和平樓818教室,金華里1至8鄰,
北區,188,新竹市光華北街10號,光華國中和平樓820教室,金華里9至13鄰,
北區,189,新竹市光華北街10號,光華國中和平樓綜合教室一,金華里14至21鄰,
北區,190,新竹市光華北街10號,光華國中信義樓綜合教室二,金華里22至30鄰,
北區,191,新竹市湳雅街147巷32號,湳雅里集會所,湳雅里7至12鄰,
北區,192,新竹市武陵路222巷16號,漢聲幼兒園餐廳,湳雅里1至6鄰,
北區,193,新竹市東大路2段446巷149號,童欣幼兒園,金雅里1至6鄰,
北區,194,新竹市武陵路288之1號,福柏長壽會館一樓,金雅里7至13鄰,
北區,195,新竹市湳中街40巷40之7號,南中宮聯誼中心,湳中里2至8鄰,
北區,196,新竹市武陵路111之1號,湳中里集會所,湳中里1鄰、9至12鄰,
北區,197,新竹市武陵路175巷6號1樓,荷蘭村VIP活動中心,湳中里13至17鄰,
北區,198,新竹市武陵路175巷2號之1,湳中里文康中心（荷蘭村）,湳中里18至21鄰,
北區,199,新竹市金竹路99號,舊社國小禮儀教室,舊社里1至4鄰、21鄰,
北區,200,新竹市金竹路99號,舊社國小藝文教室1,舊社里8、9、17、18、22、23鄰,
北區,201,新竹市湳雅街313巷5號,舊社里集會所,舊社里5至7鄰、10、11、19、20鄰,
北區,202,新竹市光華二街150巷79號,舊社里土地公廟,舊社里12至16鄰,
北區,203,新竹市金竹路99號,舊社國小藝文教室2,金竹里1鄰、23至27鄰,
北區,204,新竹市金竹路99號,舊社國小藝文教室3,金竹里2至9鄰,
北區,205,新竹市金竹路99號,舊社國小藝文教室4,金竹里10至15鄰,
北區,206,新竹市金竹路99號,舊社國小炫風館,金竹里16至22鄰,
北區,207,新竹市東大路2段386號,載熙國小信義樓6-1教室,武陵里1至8鄰,
北區,208,新竹市東大路2段386號,載熙國小信義樓6-3教室,武陵里9至14鄰,
北區,209,新竹市東大路2段386號,載熙國小信義樓6-5教室,武陵里15至21鄰,
北區,210,新竹市東大路2段386號,載熙國小信義樓6-6教室,武陵里22至32鄰,
北區,211,新竹市東大路2段375巷9號,法蓮廟,福林里1至8鄰、19鄰,
北區,212,新竹市東大路2段217巷56弄3號,東大福德宮,福林里9至11鄰、13、20鄰,
北區,213,新竹市東大路2段165號,諾貝兒幼兒園,福林里12鄰、14至18鄰,
北區,214,新竹市中正路497號,正群花園廣場大廳,境福里11至14鄰、22至23鄰,
北區,215,新竹市成功路65巷18號,微風廣場正廳,境福里15至18鄰,
北區,216,新竹市境福街199號,境福宮,境福里1、2、6、8、9、21鄰,
北區,217,新竹市境福街141巷10號,永修精舍,境福里3至5鄰、7、10鄰、19至20鄰,
北區,218,新竹市東大路2段511號,天主教聖保祿教堂,士林里3至7鄰、10至24鄰,
北區,219,新竹市吉羊路96號,士林里集會所,士林里1、2、8、9鄰、25至27鄰,
北區,220,新竹市東大路3段110巷15號,古賢里集會所,古賢里全里,
北區,221,新竹市東大路3段465號,南寮國小禮堂,南寮里1至6鄰,
北區,222,新竹市東大路4段117巷19號,信義新村禮堂,南寮里15至21鄰、23鄰,
北區,223,新竹市海濱路55號,南華國中一年1班教室,南寮里7、22鄰,
北區,224,新竹市南寮街185號,慈聖宮,南寮里8至14鄰,
北區,225,新竹市東大路3段357巷16號,康福宮一樓,康樂里1至4鄰,
北區,226,新竹市東大路3段357巷6號,康樂里集會所,康樂里5至9鄰,
北區,227,新竹市中光路17號,南寮圖書館自修室,中寮里10鄰、13至15鄰、17鄰,
北區,228,新竹市延平路3段392巷58弄2號,中寮里集會所,中寮里1至9鄰、11、12、16鄰,
北區,229,新竹市西濱路一段355號,代天府太歲殿,海濱里1至10鄰,
北區,230,新竹市海濱路55號,南華國中一年5班教室,海濱里11、17、18鄰,
北區,231,新竹市聖軍路26號,海濱里民眾活動中心,海濱里12至16鄰,
北區,232,新竹市港北三街1號,港北里集會所,港北里全里,
北區,233,新竹市舊港52號,舊港里集會所,舊港里全里,
香山區,234,新竹市中山路600巷8弄2號,頂埔宮會館,頂埔里1至3鄰、5、7、8、17、20、22鄰,
香山區,235,新竹市頂埔路23號,頂埔國小106教室,頂埔里4、6鄰、9至12鄰,
香山區,236,新竹市頂埔路23號,頂埔國小108教室,頂埔里13、14、16、18、19、21、23鄰,
香山區,237,新竹市頂埔路23號,頂埔國小活動中心,頂埔里15鄰、24至29鄰,
香山區,238,新竹市頂埔路23號,頂埔國小104教室,頂福里1、2、10鄰,
香山區,239,新竹市中華路四段271巷景觀大道下,頂福活動中心,頂福里3、4鄰、11至14鄰、16、17鄰,
香山區,240,新竹市中華路四段271巷景觀大道下,頂福活動中心,頂福里5至9鄰、15鄰,
香山區,241,新竹市牛埔東路260號,香山國小專科教室(3103室),中埔里1至3鄰、10至12鄰,
香山區,242,新竹市牛埔東路260號,香山國小四年愛班(3101室),中埔里4至9鄰,
香山區,243,新竹市牛埔東路260號,香山國小一年忠班(1103室),牛埔里1至7鄰,
香山區,244,新竹市牛埔東路260號,香山國小一年孝班(1104室),牛埔里8至13鄰、17鄰,
香山區,245,新竹市牛埔東路260號,香山國小一年愛班(1106室),牛埔里14至16鄰,
香山區,246,新竹市牛埔北路37巷70號,勝安宮（王母娘娘廟）,埔前里2、5、15、16鄰,
香山區,247,新竹市牛埔北路66號,喬治叔叔幼兒園,埔前里1、3鄰、11至13鄰、18鄰,
香山區,248,新竹市長福街23號,長青協會會館（土地廟戲台下）,埔前里4鄰、6至10鄰、14、17鄰,
香山區,249,新竹市樹下街97號,樹下社區活動中心（原樹下托兒所一樓）,樹下里1鄰、7至10鄰,
香山區,250,新竹市樹下街95號,靈安宮活動中心,樹下里2至6鄰,
香山區,251,新竹市浸水南街53號對面,南靈宮禮堂,浸水里1至3鄰、9鄰,
香山區,252,新竹市浸水南街84巷1號,浸水里集會所一樓,浸水里4至8鄰,
香山區,253,新竹市延平路二段78號,虎林國小五年愛班教室,虎林里7、8、10鄰、12至15鄰18、19鄰,
香山區,254,新竹市虎林街123巷12弄1號,富山社區活動中心,虎林里1至6鄰、9、11、16、17鄰,
香山區,255,新竹市延平路二段336號,舊虎林國小（虎林虎山生活館）,虎山里1至6鄰,
香山區,256,新竹市延平路二段336號,舊虎林國小（圖書室）,虎山里9至13鄰,
香山區,257,新竹市延平路二段336號,舊虎林國小（虎仔山長青會）,虎山里14至16鄰、27、28鄰,
香山區,258,新竹市延平路二段681號,指澤宮西廂房,虎山里8鄰、21至23鄰、25、26鄰,
香山區,259,新竹市華江街69巷50號,虎山里集會所,虎山里7鄰、17至20鄰、24鄰,
香山區,260,新竹市海埔路74巷15號,順天宮右側廂房,港南里4至10鄰、14鄰,
香山區,261,新竹市海埔路171巷91號,港南國小三年忠班教室,港南里1至3鄰、11至13鄰,
香山區,262,新竹市東香路二段2之1號,東香里集會所,東香里1、2、9、11、15鄰,
香山區,263,新竹市柴橋路256巷1號,東窯太子宮,東香里5至8鄰、10、12、13、16鄰,
香山區,264,新竹市新香街188巷16弄2號,陽明清境社區視聽室（原陽光美墅社區）,東香里3、4、14鄰,
香山區,265,新竹市元培街124號,香山中學七年二班教室,香村里1至8鄰、15鄰,
香山區,266,新竹市元培街124號,香山中學七年四班教室,香村里9至14鄰、16、17鄰,
香山區,267,新竹市大庄路48號,大庄國小音樂教室,香山里1鄰、10至12鄰、18至21鄰,
香山區,268,新竹市大庄路48號,大庄國小健康中心,香山里4至9鄰、13鄰,
香山區,269,新竹市瑞光街19號,香山里集會所,香山里2、3鄰、14至17鄰,
香山區,270,新竹市宮口街10號,明烈宮左廂房,大庄里1鄰至8鄰,
香山區,271,新竹市宮口街10號,明烈宮右廂房,大庄里9鄰至17鄰,
香山區,272,新竹市中華路五段323巷45弄85號,美山里集會所,美山里全里,
香山區,273,新竹市中華路五段648巷126號,朝山國小二年忠班教室,朝山里1至7鄰,
香山區,274,新竹市中華路五段648巷126號,朝山國小一年忠班教室,朝山里8至14鄰,
香山區,275,新竹市長興街1之1號（海山陸橋下）,海山里集會所,海山里1至10鄰,
香山區,276,新竹市大湖路61號,海山社區活動中心,海山里11至20鄰,
香山區,277,新竹市長興街262巷38號,鹽水社區活動中心,鹽水里全里,
香山區,278,新竹市五福路一段12號,內湖國中一樓專科教室,內湖里1、2、10、13、16鄰、25至28鄰,
香山區,279,新竹市內湖路109號,內湖國小一年甲班教室,內湖里11、12、14鄰、18至24鄰,
香山區,280,新竹市內湖路109號,內湖國小一年丙班教室,內湖里3至9鄰、15、17鄰66=.’18,
香山區,281,新竹市南港街48之1號,南港社區活動中心,南港里全里,
香山區,282,新竹市中華路六段703巷23弄7之1號,中隘社區活動中心,中隘里全里,
香山區,283,新竹市南隘路二段128-1號,南隘社區活動中心,南隘里全里,
香山區,284,新竹市五福路一段530號,大湖國小三年甲班教室,大湖里全里,
香山區,285,新竹市茄苳路70號,茄苳國小一年甲班教室,茄苳里全里,
