編號,場所名稱,投(開)票所地址,所屬里別,所屬鄰別
0028,福安下寮社區活動中心,後壁區福安里７鄰７２號之２,福安里,全里
0029,烏樹社區活動中心,後壁區烏樹里３鄰２８號,烏樹里,全里
0030,白河里活動中心,白河區白河里康樂路２－１８號,白河里,1-10
0031,白河里福安宮,白河區白河里中山路１２４號,白河里,11-19
0032,永安里永安宮,白河區永安里國泰路１４５號,永安里,"4-6,8,17,21-22"
0033,白河區公所育樂中心,白河區永安里三民路３８１號,永安里,"1-3,7,9-14,19"
0034,白河國小活動中心,白河區永安里三民路４４８號,永安里,"15-16,18,20"
0035,外角里臨水宮,白河區外角里庄內２６號,外角里,全里
0036,庄內里福呂府,白河區庄內里客庄內１４２號,庄內里,"1-4,8-10,13"
0037,庄內里張婆太祖厝,白河區庄內里４７－５號,庄內里,"5-7,11-12"
0038,秀祐里中山堂,白河區秀祐里頂秀祐３０－１號,秀祐里,全里
0039,河東社區活動中心,白河區河東里８０－１９號,河東里,1-6
0040,河東里顯濟宮,白河區河東里８０號,河東里,7-12
0041,虎山社區活動中心,白河區虎山里２８－５號,虎山里,全里
0042,大林社區活動中心,白河區大林里檨子林２０－１６號,大林里,全里
0043,崁頭里中山堂河東國小六溪分校,白河區崁頭里崁子頭１９號,崁頭里,全里
0044,教室,白河區六溪里２６號,六溪里,全里
0045,以草國小關嶺分校教室,白河區關嶺里９４－３號,關嶺里,"1-6,14-15"
0046,關嶺國小舊南寮分校,白河區關嶺里南寮３５號,關嶺里,"7-13,161-4,8-10"
0047,以草國小教室,白河區以草里２２號,以草里,",12-165-7,11,"
0048,以草國小活動中心,白河區以草里２２號,以草里,17-21
0049,玉豐里中山堂,白河區玉豐里８６號,玉豐里,全里
0050,大竹社區活動中心,白河區大竹里３號,大竹里,1-7
0051,大竹國小教室,白河區大竹里３號,大竹里,8-14
0052,詔安里中山堂,白河區詔安里７７號,詔安里,全里
0053,廣安里中山堂,白河區廣安里４３－１號,廣安里,全里
0054,蓮潭里大山宮,白河區蓮潭里山子腳５３號,蓮潭里,全里
0055,竹門社區活動中心,白河區竹門里１１３－５號,竹門里,全里
0056,崎內社區活動中心,白河區崎內里內崎內１９－１號,崎內里,全里
0057,昇安里社區活動中心,白河區昇安里４鄰三間厝５１－６號,昇安里,全里
