編號,場所名稱,投(開)票所地址,所屬里別,所屬鄰別
0333,護安宮,官田區二鎮里８鄰二鎮６７號,二鎮里,"1-2,9-16"
0334,湖山長壽俱樂部,官田區湖山里１鄰烏山頭３號,湖山里,全里
0335,嘉南里活動中心,官田區嘉南里３鄰嘉南２２之１６號,嘉南里,全里
0336,大崎社區活動中心,官田區大崎里４鄰大崎３０之６號,大崎里,全里
0337,隆田國小,官田區隆田里６鄰中山路１段１２７號,隆田里,"7-11,22-30"
0338,隆田國小,官田區隆田里６鄰中山路１段１２７號,隆田里,"1-6,12-21"
0339,復興宮,官田區隆本里１０鄰中華路２段１５巷１６號,隆本里,1-10
0340,隆本里活動中心,官田區隆本里１８鄰興隆街３３號,隆本里,11-20
0341,隆田基督教會,官田區隆本里２３鄰勝利路５８號,隆本里,21-30
0342,南廍里活動中心,官田區南廍里５鄰南廍６５－２號,南廍里,全里
0343,東西庄社區活動中心,官田區東庄里３鄰西庄１２５之１號,東庄里,全里
0344,惠安宮(管理委員會),官田區東庄里４鄰西庄１３０號,西庄里,全里
0345,拔林里活動中心,官田區拔林里６鄰拔子林４３之１號,拔林里,全里
0346,渡頭社區活動中心,官田區渡頭里2鄰渡子頭18號,渡頭里,1-14
0347,渡頭北極殿,官田區渡頭里２鄰渡子頭２０號,渡頭里,15-25
0348,府天宮,官田區渡頭里２７鄰三塊厝２６號,渡頭里,26-33
0349,社子社區活動中心,官田區社子里２鄰社子１１號,社子里,全里
0350,後港社區活動中心,七股區後港里１０鄰港西１１－５號,後港里,全里
0351,大潭里里漁民活動中心,七股區大潭里２鄰台潭２８－６號,大潭里,全里
0352,城內里活動中心,七股區城內里３鄰城內１６－３號,城內里,全里
0353,篤加社區活動中心,七股區篤加里５鄰篤加４７－７號,篤加里,全里
0354,頂山里漁民活動中心,七股區頂山里１５鄰頂山１４４－３號,頂山里,全里
0355,西寮社區活動中心,七股區西寮里１鄰西寮１－３號,西寮里,全里
0356,塩埕社區活動中心,七股區塩埕里１０鄰塩埕１６５－１號,塩埕里,全里
0357,中寮社區活動中心,七股區中寮里８鄰中寮６３－２號,中寮里,全里
0358,龍山里漁民活動中心,七股區龍山里１０鄰龍山２１１－３３號,龍山里,11-22
0359,龍山社區長壽俱樂部,七股區龍山里１０鄰龍山２１１－３９號,龍山里,1-10
0360,溪南里漁民活動中心,七股區溪南里３鄰溪南２８號,溪南里,全里
0361,七股社區活動中心,七股區七股里１１鄰七股１０３－１號,七股里,全里
0362,玉成社區活動中心,七股區玉成里３鄰玉成１７號,玉成里,全里
0363,大埕里漁民活動中心,七股區大埕里９鄰大埕２７１－１號,大埕里,全里
0364,大寮社區活動中心,七股區大寮里５鄰大寮３６－１２號,大寮里,全里
0365,看坪社區活動中心,七股區看坪里６鄰看坪４５－１號,看坪里,全里
0366,樹林社區活動中心,七股區樹林里１鄰樹林５－８號,樹林里,全里
0367,竹港社區活動中心,七股區竹港里６鄰竹港５２－１９號,竹港里,全里
0368,竹橋里多功能活動中心,七股區竹橋里３鄰竹橋３３－１號,竹橋里,全里
0369,義合里多功能活動中心,七股區義合里９鄰義合７２－２號,義合里,全里
0370,槺榔里多功能活動中心,七股區槺榔里５鄰槺榔４２－１號,槺榔里,全里
0371,永吉里多功能活動中心,七股區永吉里１鄰永吉１６－８號,永吉里,全里
0372,三股國小,七股區三股里７鄰三股１００號,三股里,全里
0373,十份里漁民活動中心,七股區十份里２鄰十份２４－９號,十份里,全里
0374,佳里區衛生所,佳里區東寧里進學路１５９號,東寧里,"1-11,13"
0375,亯義國小,佳里區東寧里亯義一街３３６號,東寧里,"12,14-20"
0376,雷明宮,佳里區忠仁里忠仁街９６號,忠仁里,"1-4,9-13,18"
0377,佳池宮,佳里區忠仁里平等街１８號,忠仁里,"5-8,14-17,19"
0378,仁愛國小,佳里區鎮山里仁愛路３０７號,鎮山里,1-5
0379,仁愛國小,佳里區鎮山里仁愛路３０７號,鎮山里,6-11
0380,仁愛國小,佳里區鎮山里仁愛路３０７號,鎮山里,12-17
0381,仁愛國小,佳里區鎮山里仁愛路３０７號,鎮山里,18-23
0382,佳里國中,佳里區建南里安南路５２３號,建南里,"1-5,9-14,35"
0383,幽冥殿,佳里區建南里仁愛路４３６號,建南里,"6-8,15-17,25-26,36"
0384,仁愛國小,佳里區鎮山里仁愛路３０７號,建南里,"18-22,24,27"
0385,仁愛國小,佳里區鎮山里仁愛路３０７號,建南里,"23,28-34,37-38"
0386,佳里國小,佳里區安西里公園路４４５號,安西里,"1-11,34-35"
0387,佳里國小,佳里區安西里公園路４４５號,安西里,"12-17,36-37"
0388,佳里國小,佳里區安西里公園路４４５號,安西里,"18-22,31-33"
0389,護國宮,佳里區安西里佳北路４８０號,安西里,23-30
0390,佛天宮右側建物1樓,佳里區安西里文化路６７２號,安西里,"38-40,44-46,52"
0391,昭清宮,佳里區安西里安西路１１８－３號,安西里,"41-43,47-49"
0392,佳里多摩市社區電亯室,佳里區安西里佳東路１０號,安西里,"50-51,53-57"
0393,六安宮,佳里區六安里六安街７０號,六安里,"1-7,9"
0394,北門高中教室,佳里區六安里２６９號,六安里,"8,10-18"
0395,北門高中中正堂,佳里區六安里２６９號,六安里,19-30
0396,佳興國小,佳里區佳化里２１４號,佳化里,1-9
0397,佳興國小,佳里區佳化里２１４號,佳化里,10-22
0398,禮化社區活動中心,佳里區禮化里１５鄰３７５號之５,禮化里,全里
0399,興化社區活動中心,佳里區興化里１４鄰５４５－１１號,興化里,全里
0400,營頂社區活動中心,佳里區營頂里３鄰２７號,營頂里,全里
0401,溪州社區活動中心,佳里區溪州里１鄰２－１號,溪州里,全里
0402,漳洲、海澄社區活動中心,佳里區漳洲里４鄰２０４號,海澄里,全里
0403,漳洲里辦公處,佳里區漳洲里４鄰２０４號,漳洲里,全里
0404,頂廍社區活動中心,佳里區頂廍里１１７號,頂廍里,全里
0405,嘉福社區活動中心,佳里區嘉福里１２鄰１１５號之２２,嘉福里,全里
0406,通興社區活動中心,佳里區通興里８鄰埔頂２５號,通興里,全里
0407,蚶寮社區活動中心,佳里區蚶寮里４鄰５１－１號,蚶寮里,全里
0408,龍安社區活動中心,佳里區龍安里４鄰子內４０號,龍安里,全里
0409,民安社區活動中心永昌宮後側,佳里區民安里３鄰３４－２號,民安里,全里
0410,老人會館,佳里區子龍里４０號,子龍里,1-11
0411,子龍里辦公處,佳里區子龍里９６號,子龍里,12-21
0412,三協社區活動中心,佳里區三協里潭墘３１號,三協里,全里
0413,西港國民中學,西港區西港里４鄰文化路４１號,西港里,1-10
0414,士連祖紀念館(吳姓祖厝),西港區西港里１８鄰西港５７－１號,西港里,11-21
0415,西港國民中學,西港區西港里４鄰文化路４１號,西港里,22-32
0416,西港國小,西港區慶安里１２鄰進學街６０號,慶安里,1-12
0417,西港國小,西港區慶安里１２鄰進學街６０號,慶安里,13-24
0418,慶安社區活動中心,西港區慶安里８鄰新興街１０７巷３２號,慶安里,25-36
0419,南海活動中心,西港區南海里４鄰南海埔２４號,南海里,1-14
0420,中港廣興宮,西港區南海里２０鄰中港２４號,南海里,15-22
0421,港東里活動中心,西港區港東里１１鄰烏竹林５８－５號,港東里,1-11
0422,八份姑媽宮(右室),西港區港東里１２鄰八份１－２號,港東里,12-22
0423,松林國小,西港區檨林里５鄰檨子林３９－１號,檨林里,1-10
0424,松林國小,西港區檨林里５鄰檨子林３９－１號,檨林里,11-22
0425,後營老人文康活動中心,西港區營西里１鄰後營１－２號,後營里,全里
0426,慈鳳宮,西港區營西里１５鄰後營１１９號,營西里,全里
0427,後營國小金砂分校,西港區金砂里５鄰砂凹子１０－１號,金砂里,全里
0428,劉厝里活動中心,西港區劉厝里８鄰劉厝５８號,劉厝里,全里
0429,竹林中山堂,西港區竹林里１１鄰大竹林８８號,竹林里,全里
0430,永樂里活動中心,西港區永樂里７鄰大寮５９－３５號,永樂里,全里
0431,新復〈新港〉關懷中心,西港區新復里５鄰新港４２號旁,新復里,1-7
0432,安溪宮,西港區新復里８鄰溪埔寮８號,新復里,8-10
0433,東關里社區活動中心,善化區東關里１７鄰新興街３４號之２,東關里,全里
0434,大成國小,善化區坐駕里８鄰大成路３８５號,坐駕里,1-14
0435,大成國小,善化區坐駕里８鄰大成路３８５號,坐駕里,15-24
0436,站前倉庫(舊光文里社區活動中心),善化區光文里９鄰光文路８號之１,光文里,"1-10,12,30"
0437,文欣帅兒園,善化區光文里２０鄰民權路２６７號,光文里,"11,13-20"
0438,嘉南農田水利會善化工作站,善化區光文里２８鄰公園路１０２號,光文里,21-29
0439,文昌社區活動中心,善化區文昌里１９鄰光復路１７５號之１,文昌里,1-12
0440,大成國小,善化區坐駕里８鄰大成路３８５號,文昌里,13-21
0441,舊圖書館,善化區南關里５鄰三民路６號之６,南關里,全里
0442,善化國小,善化區文正里１鄰進學路６３號,西關里,全里
0443,善化國小,善化區文正里１鄰進學路６３號,北關里,全里
0444,文正里社區活動中心,善化區文正里１０鄰文正路２５巷１８號,文正里,全里
0445,胡厝寮代天府(中山堂),善化區胡家里１６鄰胡厝寮１５１號,胡家里,全里
0446,普安宮(社區發展協會),善化區胡厝里１３鄰胡厝寮２２０號之４,胡厝里,全里
0447,代天宮(什乃社區育樂中心),善化區什乃里９鄰什乃８１號,什乃里,全里
0448,溪美社區活動中心,善化區溪美里８鄰溪尾７１號,溪美里,1-12
0449,善糖國小,善化區溪美里１９鄰溪尾２４５號,溪美里,13-22
0450,六分社區活動中心(六分社區發展協會),善化區六分里２鄰六分寮４７１號,六分里,全里
0451,六德社區活動中心,善化區六德里４鄰六分寮２２７號之１,六德里,全里
0452,田寮里天后宮,善化區田寮里５鄰六分寮６３號之１,田寮里,1-7
0453,田寮里活動中心(東嶽殿旁),善化區田寮里１５鄰六分寮１６８號之９,田寮里,8-16
0454,東勢寮社區活動中心,善化區東隆里６鄰東勢寮１８６號之５,東隆里,全里
0455,東勢寮慶濟宮,善化區東隆里６鄰東勢寮１８３號,東昌里,全里
0456,牛庄活動中心,善化區牛庄里１３鄰牛庄１號之１,牛庄里,全里
0457,善化區老人文康活動中心,善化區嘉北里１２鄰茄拔２７１號,嘉北里,全里
0458,茄拔天后宮(交誼廳),善化區嘉南里３鄰茄拔８０號,嘉南里,全里
0459,小新國小,善化區小新里１１鄰小新營９７號之３,小新里,1-8
0460,小新國小,善化區小新里１１鄰小新營９７號之３,小新里,9-14
0461,小新社區活動中心,善化區小新里１３鄰小新營１１３號之２４,小新里,15-22
0462,湄婆宮(右室),安定區蘇林里１鄰蘇厝９－１號,蘇林里,1-10
0463,長興宮(右室),安定區蘇厝里１８鄰４５６號,蘇林里,11-24
0464,真護宮(右室),安定區蘇厝里２鄰２９３－２號,蘇厝里,1-10
0465,蘇厝社區活動中心,安定區蘇厝里１８鄰４５６－１號,蘇厝里,11-22
0466,老人文康活動中心,安定區安定里１４鄰安定１３１－１號,安定里,全里
0467,保安宮(右室),安定區安定里１５鄰安定１３１號,安加里,全里
0468,王姓大宗祠,安定區保西里１２鄰４４５號,保西里,全里
0469,港尾社區活動中心,安定區港尾里１２鄰７４－１號,港尾里,1-8
0470,福安宮(左室),安定區港尾里１２鄰７４號,港尾里,9-18
0471,順天宮中山堂,安定區中榮里３鄰２７號,中榮里,全里
0472,慈暉帅稚園舊址,安定區港口里１１鄰３１２號,港口里,"1-2,4-13"
0473,港口觀渡宮,安定區港口里２１鄰港口４００－１號,港口里,"3,14-22"
0474,港口水利工作站,安定區港南里１鄰４號,港南里,1-12
0475,港口慈安宮(左室),安定區港南里１９鄰１６１號,港南里,13-22
0476,大同社區活動中心,安定區大同里７鄰８１號,大同里,全里
0477,六嘉里集會所,安定區六嘉里５鄰３３號,六嘉里,全里
0478,中沙社區活動中心,安定區中沙里中崙４鄰１１５號,中沙里,全里
0479,新吉保安宮(左室),安定區新吉里１１鄰９５號,新吉里,1-7
0480,新吉社區活動中心,安定區新吉里１４鄰１２３－１３號,新吉里,8-19
0481,海寮社區活動中心,安定區海寮里１鄰１５－３號,海寮里,1-10
0482,海寮普陀寺(右室),安定區海寮里１１鄰１１０號,海寮里,11-21
0483,管寮社區活動中心,安定區管寮里３鄰３５號,管寮里,全里
0484,南安社區活動中心,安定區南安里１鄰１號,南安里,全里
0485,竹坑北極殿,大內區石湖里３０５之７號,石湖里,1-12
0486,新厝子社區活動中心,大內區石湖里１５鄰新厝子２６之５號,石湖里,13-17
0487,石子瀨天后宮(臨時宮),大內區石湖里７鄰２９１號,石林里,全里
0488,石子瀨社區活動中心,大內區石城里１３鄰１１４之６６號,石城里,全里
0489,大內社區長壽俱樂部,大內區內江里７鄰２８５號,內江里,全里
0490,大內社區活動中心,大內區大內里５鄰６３號,大內里,全里
0491,後堀福安宮,大內區內郭里８鄰２４號,內郭里,全里
0492,頭社社區活動中心,大內區頭社里１鄰１０之１號,頭社里,全里
0493,環湖社區活動中心,大內區環湖里４鄰５６號,環湖里,全里
0494,二溪社區活動中心,大內區二溪里６鄰１９８之１號,二溪里,全里
0495,曲溪社區活動中心,大內區曲溪里５鄰５１之２號,曲溪里,全里
0496,山上鄉明和社區活動中心（舊）,山上區明和里１１鄰明和１５７號(朝天宮東側),明和里,1-14
0497,山上區明和里活動中心（新）,山上區明和里３鄰明和９８號,明和里,15-23
0498,臺南市山上區圖書館,山上區南洲里３鄰南洲５３號,南洲里,1-9
0499,南洲社區農民教育活動中心,山上區南洲里８鄰南洲１９７號,南洲里,10-20
0500,中山堂,山上區山上里７鄰山上１２１號（天后宮北側）,山上里,全里
0501,新莊里大庄民眾活動中心,山上區新莊里９鄰大庄３２號,新莊里,全里
0502,山上區玉峰里活動中心,山上區玉峯里３鄰蚵潭３５號,玉峯里,全里
0503,平陽里民眾活動中心,山上區平陽里４鄰石子崎４８號,平陽里,全里
0504,山上區豐德里中山堂,山上區豐德里４鄰隙子口４９之２號,豐德里,全里
0505,武安宮,新化區武安里２鄰中正路２７３號,武安里,1-7
0506,新化區衛生所,新化區豐榮里１３鄰健康路１４３號,武安里,8-14
0507,新化國中,新化區東榮里１６鄰中興路７２２號,東榮里,4-10
0508,上帝廟(右室),新化區東榮里２０鄰民生路４３號,東榮里,13-20
0509,天壇護安宮,新化區東榮里３０鄰護安街４２號,東榮里,26-34
0510,新化區老人文康活動中心,新化區東榮里２３鄰和平街３１巷１０號,東榮里,"1-3,11-12,21-25"
0511,新化國小,新化區護國里９鄰中山路１７３號,護國里,1-7
0512,新化國小,新化區護國里９鄰中山路１７３號,護國里,8-11
0513,朝天宮,新化區太平里４鄰中正路５３４號,太平里,1-4
0514,嘉南農田水利會新化區管理處,新化區太平里４鄰中正路５８２號,太平里,5-8
0515,太子宮,新化區太平里１３鄰中正路６１１號,太平里,9-12
0516,太子宮(太平里長壽會館),新化區太平里１３鄰中正路６１１號,太平里,13-17
0517,中央里長壽會館,新化區中央里４鄰大同街１２４號,中央里,全里
0518,觀音亭(右室),新化區觀音里２鄰中山路２９２號,觀音里,全里
0519,竹林里長壽會館里民活動中心,新化區竹林里５鄰竹林路４０號,竹林里,全里
0520,清水里長壽會館,新化區清水里６鄰民權街２３號,清水里,全里
0521,協興里活動中心,新化區協興里６鄰太平街１２５號,協興里,"1-4,6,8"
0522,大新國小,新化區協興里１４鄰太平街１７６號,協興里,"5,7,9-11"
0523,大新國小,新化區協興里１４鄰太平街１７６號,協興里,12-16
0524,唪口里長壽俱樂部,新化區唪口里５鄰唪口３４號,唪口里,1-6
0525,唪口里活動中心,新化區唪口里７鄰唪口１０６號之３,唪口里,7-11
0526,北勢里活動中心,新化區北勢里２鄰北勢３９號,北勢里,全里
0527,豐榮里活動中心,新化區豐榮里３鄰洋子１６４號,豐榮里,"1-3,8-9"
0528,保生大帝廟(右室),新化區豐榮里６鄰洋子１２７號,豐榮里,4-7
0529,正新國小,新化區豐榮里１２鄰正新路９７號,豐榮里,10-13
0530,全興里活動中心,新化區全興里６鄰竹子腳７３號,全興里,1-10
0531,四王廟崙頂里活動中心,新化區全興里１０鄰竹子腳２２５號,全興里,11-21
0532,(崙頂社區守望相助隊),新化區崙頂里１１鄰崙子頂４２２號,崙頂里,1-5
0533,崙頂里(新)活動中心,新化區崙頂里１１鄰崙子頂４２２號,崙頂里,6-11
0534,知義里活動中心,新化區知義里１鄰知母義１７１號,知義里,"1-5,14"
0535,佛顓寺(左室),新化區知義里６鄰新和庄１２號,知義里,"6-13,15-16"
0536,山腳朝天宮(右室),新化區山腳里２鄰頂山腳２５號,山脚里,全里
0537,大坑里活動中心,新化區大坑里４鄰大坑尾１８２號,大坑里,全里
0538,拔國小,新化區拔里１鄰拔林５４號,,"3-7,12"
0539,拔國小,新化區拔里１鄰拔林５４號,,"1-2,8-11"
0540,拔里活動中心,新化區拔里９鄰拔林３２９號,羊林里,全里
0541,礁坑里活動中心,新化區礁坑里６鄰三十六崙１５３號,礁坑里,全里
0542,楠西國中學生活動中心,楠西區楠西里5鄰中興路１０７號,楠西里,"1-12,24"
0543,楠西區老人文康活動中心,楠西區楠西里4鄰民族路１２８號,楠西里,"13-23,25-27"
0544,灣丘里民眾活動中心,楠西區灣丘里1鄰灣丘１１－３號,灣丘里,全里
0545,密枝里中山堂,楠西區密枝里２鄰密枝２２－１號旁,密枝里,全里
0546,照興里社區活動中心,楠西區照興里１８鄰興南１４－２號,照興里,全里
0547,鹿田里中山堂,楠西區鹿田里３鄰鹿陶洋３０號旁,鹿田里,全里
0548,龜丹里社區活動中心,楠西區龜丹里1鄰龜丹５號,龜丹里,全里
0549,東勢關懷中心,楠西區東勢里４鄰東勢路１６０巷３０號,東勢里,"1-9,18,20-22"
0550,東勢社區活動中心,楠西區東勢里１７鄰亯義路５７巷１０號,東勢里,"10-17,19"
0551,南化國小,南化區南化里１７號,南化里,1-7
0552,南化區老人文康中心,南化區南化里１７２號之１,南化里,8-16
0553,小崙里中山堂,南化區小崙里６０號之１,小崙里,全里
0554,東和社區活動中心,南化區東和里１９號之１,東和里,全里
0555,西埔里中山堂,南化區西埔里６０號之２,西埔里,全里
0556,中坑里活動中心,南化區中坑里３８號之６,中坑里,全里
0557,北平里活動中心,南化區北平里５３號之５,北平里,全里
0558,北寮社區活動中心,南化區北寮里３號,北寮里,全里
0559,玉山里活動中心,南化區玉山里６５號,玉山里,全里
0560,關山里活動中心,南化區關山里８４號,關山里,全里
0561,青果市場民俗研究協會,玉井區玉井里中正路２７號旁青果市場內,玉井里,全里
0562,玉井國小(3年1班),玉井區玉田里中正路１號,玉田里,1-14
0563,玉井國小(補校教室),玉井區玉田里中正路１號,玉田里,15-27
0564,體育館,玉井區玉田里民族路２１６號,玉田里,28-35
0565,圖書館,玉井區玉田里民族路２１８號,玉田里,36-43
0566,福德爺廟旁活動中心,玉井區中正里大成路４７１巷３之１號,中正里,1-9
0567,清芳社區活動中心,玉井區中正里健康街１０號,中正里,10-16
0568,盤古殿,玉井區竹圍里竹圍４０號,竹圍里,"1-7,15-16"
0569,竹圍里活動中心,玉井區竹圍里武成街１５５巷７號,竹圍里,8-14
0570,沙田里活動中心,玉井區沙田里沙田３３之３號,沙田里,全里
0571,三埔里多功能活動中心,玉井區三埔里三埔１５號之１,三埔里,全里
0572,三和里社區活動中心,玉井區三和里三和９５號之３,三和里,全里
0573,望明里活動中心,玉井區望明里望明７６號,望明里,1-8
0574,劉陳朝龍宮旁會議室,玉井區望明里劉陳９６之２號,望明里,9-17
0575,層林國小(1年甲班),玉井區層林里層林１１５號,層林里,全里
0576,豐里里活動中心,玉井區豐里里豐里５９－１０號,豐里里,全里
0577,光和里活動中心,左鎮區光和里４鄰光和５１－１０號,光和里,全里
0578,榮和里活動中心,左鎮區榮和里１３鄰菜寮６０－７號,榮和里,全里
0579,左鎮社區活動中心,左鎮區左鎮里５鄰左鎮３９號,左鎮里,全里
0580,北極殿(右室),左鎮區中正里１２鄰中正１７１－３號,中正里,全里
0581,三官大帝廟(右室),左鎮區睦光里６鄰睦光５８－２號,睦光里,全里
0582,內庄社區活動中心,左鎮區內庄里４鄰內庄３７號,內庄里,全里
0583,岡林里活動中心,左鎮區岡林里３鄰岡林３１號,岡林里,全里
0584,原草山分班,左鎮區草山里６鄰草山７４號,草山里,全里
0585,二寮里中山堂,左鎮區二寮里３鄰二寮２７號,二寮里,全里
0586,澄山里活動中心,左鎮區澄山里８鄰澄山７７－２號,澄山里,全里
0587,新市國小學生活動中心,新市區新市里中興街１號,新市里,1-10
0588,新市圖書館,新市區新市里民族路１９２號,新市里,23-34
0589,新市國小(1年8班教室),新市區新市里中興街１號,新市里,11-22
0590,新市國小(1年1班教室),新市區新市里中興街１號,新和里,"1-7,21-23,51"
0591,新市區文康育樂中心,新市區新和里忠孝街１８９號,新和里,8-20
0592,新市國小(5年1班教室),新市區新市里中興街１號,新和里,26-33
0593,清保宮(管理委員會),新市區新和里華興街６７號,新和里,"24-25,34-41"
0594,福壽巷北極殿(右室),新市區新和里和平街２０８巷１８號,新和里,42-50
0595,中安宮,新市區社內里社內２８號,社內里,1-7
0596,新市區老人文康活動中心,新市區社內里社內９１－２２號,社內里,8-21
0597,保安宮(大洲里辦公處),新市區大洲里大洲５２號,大洲里,全里
0598,豐華社區活動中心,新市區豐華里豐華４２－２號,豐華里,全里
0599,三舍社區活動中心,新市區三舍里三舍６７號,三舍里,全里
0600,營頭營尾社區活動中心,新市區大營里大營２１３號,大營里,"1-10,22-24"
0601,靈昭宮(左室)豐榮北極殿,新市區大營里大營２１４號,大營里,11-17
0602,(1樓左側長壽會聯誼會館),新市區大營里豐榮５５號,大營里,18-21
0603,東勢北極殿(左室),新市區大社里大社２８８號,大社里,"2-9,15,32,35-3610-14,"
0604,大社社區活動中心,新市區大社里大社１５９號,大社里,"16-21,33-34"
0605,大社國小(會議室),新市區大社里大社３９號,大社里,"1,22-31"
0606,潭頂社區活動中心,新市區潭頂里潭頂２６１－１號,潭頂里,8-14
0607,潭頂里私有車庫,新市區潭頂里潭頂１８４號,潭頂里,1-7
0608,頂港北極殿(左室),新市區港墘里大同街４９號,港墘里,1-6
0609,港墘農民活動中心1樓,新市區港墘里華美街１１－１號,港墘里,7-17
0610,南港北極殿(右室),新市區港墘里華美街１１號,港墘里,18-28
0611,永就番子寮活動中心,新市區永就里永就６號,永就里,1-5
0612,永就社區活動中心(移民寮),新市區永就里永就９４－３號,永就里,6-10
0613,永新社區D區圖書館,新市區永就里永華２街１０號１樓,永就里,11-22
0614,五王國小,永康區五王里中華二路１５０號,五王里,1-11
0615,五王國小,永康區五王里中華二路１５０號,五王里,12-22
0616,五王國小,永康區五王里中華二路１５０號,五王里,"24-28,30"
0617,五王國小,永康區五王里中華二路１５０號,五王里,"23,29,31-42"
0618,五王國小,永康區五王里中華二路１５０號,三合里,1-9
0619,五王國小,永康區五王里中華二路１５０號,三合里,10-19
0620,五王國小,永康區五王里中華二路１５０號,三合里,20-25
0621,高岡屋大樓會客室,永康區六合里新興街２號,六合里,1-4
0622,六合里活動中心,永康區六合里中華二路３５８巷４３號,六合里,5-18
0623,觀雲丙區圖書室,永康區六合里中華二路３４０巷１２號１樓,六合里,19-27
0624,東方公園圖書室,永康區六合里中華二路２６６巷２２號,六合里,28-32
0625,私立愛佳帅兒園,永康區網寮里永大一路３６６號,網寮里,1-11
0626,私立愛佳帅兒園,永康區網寮里永大一路３６６號,網寮里,19-21
0627,五王府(右室),永康區網寮里永二街１２３巷１５號,網寮里,12-18
0628,五王府(左室),永康區網寮里永二街１２３巷１５號,網寮里,22-26
0629,二王廟(右室),永康區二王里永二街３９５號,二王里,1-9
0630,二王廟(左室),永康區二王里永二街３９５號,二王里,11-16
0631,統領國活動中心,永康區二王里中山南路５４４巷４６號對面,二王里,"17,22-29"
0632,二王里活動中心１樓(關懷中心),永康區二王里中山南路６８８號,二王里,"10,18-21,30-37"
0633,長谷桃花源(交誼廳),永康區二王里南工街２２６巷３弄２號,二王里,38-47
0634,永康國小,永康區永康里中山南路６３７號,永康里,1-10
0635,永康國小,永康區永康里中山南路６３７號,永康里,11-21
0636,永康國小,永康區永康里中山南路６３７號,永康里,22-27
0637,永康國小,永康區永康里中山南路６３７號,永康里,28-34
0638,永康國小,永康區永康里中山南路６３７號,永康里,35-37
0639,永康國小,永康區永康里中山南路６３７號,永康里,38-42
0640,聖龍宮,永康區埔園里中山路１２０巷１號,埔園里,1-11
0641,慈聖宮,永康區埔園里龍埔街４８８號,埔園里,"12-14,29-30"
0642,中正廟,永康區埔園里自強路４６８巷內,埔園里,"15,19-25,28"
0643,南天宮(右室),永康區埔園里龍埔街２８７號,埔園里,"26,32-34,39"
0644,南天宮(左室),永康區埔園里龍埔街２８７號,埔園里,"27,35-38"
0645,永康駕訓班,永康區埔園里中山路４５２號,埔園里,"16-18,31"
0646,永康國中,永康區正強里中山路４３號,正強里,1-9
0647,永康國中,永康區正強里中山路４３號,正強里,10-17
0648,永康國中,永康區正強里中山路４３號,正強里,18-27
0649,永康國中,永康區正強里中山路４３號,正強里,"28-34,44"
0650,永康國中,永康區正強里中山路４３號,正強里,"35-43,45-48"
0651,大橋國小,永康區大橋里大橋三街１７３號,大橋里,1-6
0652,大橋國小,永康區大橋里大橋三街１７３號,大橋里,7-13
0653,大橋國小,永康區大橋里大橋三街１７３號,大橋里,14-21
0654,大橋國小,永康區大橋里大橋三街１７３號,大橋里,22-30
0655,大橋國中,永康區東橋里東橋十街１號,東橋里,1-9
0656,大橋國中,永康區東橋里東橋十街１號,東橋里,10-15
0657,清義宮,永康區東橋里中正路２１７巷１５號,東橋里,18-27
0658,大橋國中,永康區東橋里大橋十街１號,東橋里,16-17
0659,英靈廟(西橋里活動中心),永康區西橋里中山南路４３巷７號,西橋里,1-12
0660,大橋里集會所,永康區大橋里中華路８９８之１號,西橋里,13-25
0661,安康里活動中心,永康區安康里中華西街１２２巷６２號,安康里,"3,7-17"
0662,安康里活動中心,永康區安康里中華西街１２２巷６２號,安康里,18-25
0663,長億城D區管理室,永康區安康里大橋一街４７號,安康里,"1-2,4-6,26"
0664,三老爺宮社教中心,永康區蔦松里蔦松一街９６之１號,蔦松里,1-4
0665,三老爺宮中山堂,永康區蔦松里蔦松一街９６號,蔦松里,5-9
0666,三民社區活動中心,永康區三民里三民街１０８號,三民里,1-10
0667,順靈殿,永康區三民里和平路２１２巷４號,三民里,11-14
0668,塩行文化會館,永康區塩行里正南八街１號,塩行里,"1-3,22-27"
0669,塩行文化會館,永康區塩行里正南八街１號,塩行里,"11-21,43-45"
0670,三村國小,永康區塩洲里塩行路２號,塩行里,31-36
0671,三村國小,永康區塩洲里塩行路２號,塩行里,"37-38,41-42"
0672,竹安宮(辦公室),永康區塩行里竹林街１９號,塩行里,"28-30,39-40"
0673,南極殿(後面倉庫),永康區塩行里新行街５４號,塩行里,"4-10,46-48"
0674,三村國小,永康區塩洲里塩行路２號,塩洲里,"1-6,38"
0675,三村國小,永康區塩洲里塩行路２號,塩洲里,"7,10,36-37"
0676,禹帝宮,永康區塩洲里塩行路２７號,塩洲里,"8-9,11-22,39"
0677,保寧宮,永康區塩洲里洲尾街７８號,塩洲里,"23-35,40"
0678,甲頂里活動中心,永康區甲頂里中華路９２０號之１,甲頂里,"1-2,8-9,11-15"
0679,甲頂里運動公園(長壽會),永康區甲頂里中正南路５２巷６８弄口,甲頂里,"3-7,10,16-20"
0680,開以宮,永康區甲頂里中央路３２號,甲頂里,21-30
0681,姑婆廟,永康區尚頂里正南一街１４６號,尚頂里,"1-1516-18,"
0682,鎮南宮,永康區尚頂里中正南路２３５巷１號,尚頂里,"24-28,30-35"
0683,尚頂里活動中心,永康區尚頂里中華路９２０號,尚頂里,"19-23,29"
0684,龍潭國小,永康區龍潭里龍潭街２１４號,龍潭里,"2-9,24"
