投(開)票所名稱,投(開)票所地點,所轄村里或鄰名稱
第0135投開票所,泰和社區活動中心托兒所(一)（泰和路3段364號）,古夷里6、9、10鄰
第0136投開票所,泰和社區活動中心托兒所(二)（泰和路3段364號）,古夷里7、8鄰
第0137投開票所,泰和國小（一）,阿夷里1、19、21、27鄰
第0138投開票所,泰和國小（二）,阿夷里4-6、23、24鄰
第0139投開票所,泰和國小（三）,阿夷里8-10、17鄰
第0140投開票所,泰和國小（四）,阿夷里15、16、25、26鄰
第0141投開票所,泰和國小（五）,阿夷里18、22鄰
第0142投開票所,泰和國小（六）,阿夷里2、3、7、20鄰
第0143投開票所,泰和國小（七）,阿夷里11-14鄰
第0144投開票所,師大附工（一）,和調里1-7鄰
第0145投開票所,師大附工（二）,和調里8-14鄰
第0146投開票所,師大附工（三）,和調里15-20鄰
第0147投開票所,福興保生宮（竹和路200巷35號）,復興里1-4、18、22鄰
第0148投開票所,台灣基督長老教會中山教會（竹和路182號）,復興里5-9鄰
第0149投開票所,朝天堂（竹和路77號）,復興里13-17、23鄰
第0150投開票所,復興社區巡守隊(竹和路176號旁),復興里10-12、19-21鄰
第0151投開票所,清雲寺（中山路3段410巷13號）,中庄里1、7-14鄰
第0152投開票所,福壽廟（中山路3段410巷21號之2旁）,中庄里2-6、15、16鄰
第0153投開票所,啟順宮（三竹路52-6號）,竹中里1、2、8-10號
第0154投開票所,台灣基督長老教會梅鑒霧紀念教會（彰南路2段55巷6號）,竹中里3-7鄰
第0155投開票所,彰德國中（一）,香山里1-6鄰
第0156投開票所,彰德國中（二）,香山里7-12鄰
第0157投開票所,彰德國中（三）,香山里13-16鄰
第0158投開票所,牛埔社區守望相助隊(彰南路3段226號),牛埔里1-5、7鄰
第0159投開票所,牛埔社區活動中心（彰南路3段232號）,牛埔里6、12-21鄰
第0160投開票所,外快官老人會（一德南路31巷29之1號）,牛埔里8-11鄰
第0161投開票所,廣鳳宮後活動中心（互助1街42號）,台鳳里1、3、4、8鄰
第0162投開票所,台鳳社區活動中心（互助1街42號）,台鳳里5-7、9鄰
第0163投開票所,廣鳳宮（互助1街42號）,台鳳里2、10、12、13鄰
第0164投開票所,廣鳳宮文教中心,台鳳里11、14-16鄰
第0165投開票所,國聖國小（一）,國聖里1-4、20-24鄰
第0166投開票所,國聖社區活動中心（國聖路175巷139號）,國聖里5-9鄰
第0167投開票所,國聖國小（二）,國聖里10-19鄰
第0168投開票所,洪宗景民宅（彰南路一段300巷19號）,福山里1-6鄰
第0169投開票所,福壽堂(彰南路1段300巷36號),福山里7-12鄰
第0170投開票所,玉皇宮二樓(一)（福山街168號）(有電梯),福山里13-18鄰
第0171投開票所,玉皇宮一樓（福山街168號）,福山里19-24鄰
第0172投開票所,玉皇宮二樓(二)（福山街168號）(有電梯),福山里25-28鄰
第0173投開票所,福山里民集會所（彰南路一段300巷89號）,福山里29-31鄰
第0174投開票所,台灣新故鄉管委會會議室（安溪路328巷93號）,安溪里1-4、13-14鄰
第0175投開票所,安溪社區活動中心（安溪路81巷5號）,安溪里5-12鄰
第0176投開票所,三村社區活動中心（三村路836巷57號）,三村里
第0177投開票所,大竹國小（一）,大竹里1-6、8鄰
第0178投開票所,大竹國小（二）,大竹里7、9-12鄰
第0179投開票所,大竹國小（三）,大竹里13-17鄰
第0180投開票所,三民國小,田中里
第0181投開票所,大快官藝文館（一）,快官里
第0182投開票所,大快官藝文館（二）,竹巷里
第0183投開票所,福田社區活動中心,福田里
第0184投開票所,石牌國小,石牌里
第0185投開票所,舊福延宮,花壇村1-8、28鄰
第0186投開票所,花壇村（新）福延宮（平和街80號）,花壇村9-20鄰
第0187投開票所,花壇村活動中心,花壇村21-27、29鄰
第0188投開票所,城隍廟,金墩村1-4、15-17鄰
第0189投開票所,金墩村活動中心,金墩村5-9、10-14鄰
第0190投開票所,華南國小,中庄村1-7鄰
第0191投開票所,福安宮辦公處,中庄村8-16鄰
第0192投開票所,崙雅村活動中心,崙雅村
第0193投開票所,文祥國小,劉厝村
第0194投開票所,南口村活動中心,南口村1-3、5、9、11、13鄰
第0195投開票所,興南宮,南口村4、6-8、10、12鄰
第0196投開票所,北口村明德宮（口庄街318號）,北口村1-8、16-18鄰
第0197投開票所,北口村保安宮（內溪1巷1號）,北口村9-15鄰
第0198投開票所,僑愛國小,中口村
第0199投開票所,文德村明聖宮（溪南街66巷16號）,文德村1、4-6、8、13、15鄰
第0200投開票所,彰化縣黃姓宗親會（彰員路2段865號）,文德村2、3、7、17鄰
第0201投開票所,文德村活動中心,文德村9-12、14、16鄰
第0202投開票所,白沙國小（一）,白沙村1-10鄰
第0203投開票所,白沙國小（二）,白沙村11-17鄰
第0204投開票所,白沙社區活動中心（一）,白沙村18-25鄰
第0205投開票所,白沙社區活動中心（二）,白沙村26-35鄰
第0206投開票所,岩竹村活動中心,岩竹村
第0207投開票所,長沙村舊營區,長沙村1-9、12-17鄰
第0208投開票所,花壇國小（一）,長沙村10、11、18-21、26鄰
第0209投開票所,花壇國小（二）,長沙村22-25鄰
第0210投開票所,花壇國小（三）,長沙村27-33鄰
第0211投開票所,橋頭村（新）活動中心,橋頭村1-6、9-13鄰
第0212投開票所,聖惠宮,橋頭村14-16、20、21鄰
第0213投開票所,橋頭村靈安宮（長昇社區內）,橋頭村7、8、17-19鄰
第0214投開票所,灣雅村活動中心,灣雅村
第0215投開票所,灣東村集會所（隴西2巷62號對面）,灣東村
第0216投開票所,三春村活動中心,三春村1-4、6-8鄰
第0217投開票所,三春國小,三春村5、9-13鄰
第0218投開票所,老人文康活動中心（一）,永春村1-9鄰
第0219投開票所,老人文康活動中心（二）,永春村10-14鄰
第0220投開票所,長春村活動中心（一）,長春村1-5鄰
第0221投開票所,長春村活動中心（二）,長春村6-11鄰
第0222投開票所,富山國小（一）,舊社村1-14鄰
第0223投開票所,富山國小（二）,舊社村15-24鄰
第0224投開票所,富山國小（三）,大埔村
第0225投開票所,竹林社區活動中心（太平路77巷12號）,竹林村1-10鄰
第0226投開票所,芬園鄉農會（彰南路4段337號）,竹林村11-19鄰
第0227投開票所,楓坑社區長壽俱樂部（楓林街627號）,楓坑村
第0228投開票所,芬園國小（一）,社口村1-18鄰
第0229投開票所,芬園國小（二）,社口村19-28鄰
第0230投開票所,茄荖國小（一）,茄荖村1-11鄰
第0231投開票所,茄荖國小（二）,茄荖村12-28鄰
第0232投開票所,茄荖嘉興活動中心（芬草路一段93巷126號）,嘉興村1-7鄰
第0233投開票所,永清宮（芬草路一段93巷124號）,嘉興村8-17鄰
第0234投開票所,芬園國小（三）,芬園村
第0235投開票所,縣庄社區活動中心（彰南路2段385巷21號）,縣庄村
第0236投開票所,寶山國小,圳墘村
第0237投開票所,溪頭社區活動中心（碧園路1段23號）,溪頭村1-13鄰
第0238投開票所,靈安宮（碧園路一段21號）,溪頭村14-22鄰
第0239投開票所,進芬社區活動中心（中華路9號）,進芬村
第0240投開票所,安山分校（大彰路三段194號）,同安村
第0241投開票所,同安國小,中崙村
第0242投開票所,文德國小,大竹村
第0243投開票所,洛津國小,大有里
第0244投開票所,兆豐銀行停車場（原鹿港鎮農會舊址）,中興里
第0245投開票所,洛津國小,洛津里
第0246投開票所,鹿港鎮老人安養文康中心（忠孝路403號）,順興里
第0247投開票所,鹿港鎮體育場,埔崙里1-6鄰
第0248投開票所,鹿港鎮體育場,埔崙里7-10、12、13鄰
第0249投開票所,代天府,埔崙里11、18、19、21、22、25鄰
第0250投開票所,鎮天宮,埔崙里14-17、20、23、24、26、27
第0251投開票所,文開國小,新宮里
第0252投開票所,奉天宮（香客大樓）,玉順里
第0253投開票所,鹿港高中,東石里1-14鄰
第0254投開票所,鹿港高中,東石里15-18鄰
第0255投開票所,鹿港高中,東石里19-21鄰
第0256投開票所,鹿港高中,東石里22-25鄰
第0257投開票所,保安宮（永豐路16號）,郭厝里
第0258投開票所,鹿港國中,永安里1-6鄰
第0259投開票所,鹿港國中,永安里7-14鄰
第0260投開票所,鹿港國中,永安里15-22鄰
第0261投開票所,鹿港國中,永安里23-32鄰
第0262投開票所,中山堂（e世代K書中心）,景福里
第0263投開票所,鹿港國中,泰興里
第0264投開票所,鹿港國小,長興里
第0265投開票所,鹿港國小,興化里
第0266投開票所,鹿港國小,龍山里
第0267投開票所,鹿港國小,菜園里
第0268投開票所,街尾里活動中心,街尾里1-4、12-20鄰
第0269投開票所,鹿港鎮立托兒所,街尾里5-11鄰
第0270投開票所,竹安宮（竹圍巷83號）,詔安里1-12鄰
第0271投開票所,玉天宮,詔安里13-20鄰
第0272投開票所,海埔國小,海埔里1-9鄰
第0273投開票所,海埔國小,海埔里10、11、18-22、24鄰
第0274投開票所,海埔里里民集會所（鹿草路2段197號）,海埔里12-17、23鄰
第0275投開票所,洋厝社區福利中心（洋厝巷42-3號）,洋厝里1-6鄰
第0276投開票所,新厝社區活動中心（新厝巷臨51-1號）,洋厝里7-15鄰
第0277投開票所,新厝社區守望相助隊（新厝巷臨51-1號）,洋厝里16-20鄰
第0278投開票所,草港社區活動中心（草港巷104號旁）,草中里1-3、5-10、21鄰
第0279投開票所,慶安宮（慶安街65號）,草中里4、11-14、22、23、25鄰
第0280投開票所,草中社區活動中心（草中巷2-16號）,草中里15-20、24鄰
第0281投開票所,鹿鳴國中,頭南里1-9鄰
第0282投開票所,鹿鳴國中,頭南里10-18鄰
第0283投開票所,山崙社區活動中心,山崙里1-8鄰
第0284投開票所,福崙宮東廂房,山崙里9-16鄰
第0285投開票所,武聖宮,山崙里17-21鄰
第0286投開票所,頂番國小,頂番里1-3、19-23鄰
第0287投開票所,玉鳳宮廂房,頂番里4-13鄰
第0288投開票所,頂番社區活動中心,頂番里14-18鄰
第0289投開票所,萬興宮委員辦公室,頭崙里1-11鄰
第0290投開票所,頭崙里社區長壽俱樂部,頭崙里12-17鄰
第0291投開票所,永順宮,溝墘里1、2、17-19鄰
第0292投開票所,第七鄰溝尾福德正神廟,溝墘里3-8鄰
第0293投開票所,溝墘里棋盤社區活動中心,溝墘里9-14鄰
第0294投開票所,溝墘福德老人會館（溝墘巷）,溝墘里15、16、20-22鄰
第0295投開票所,慈靈宮（廖厝巷8號）,廖厝里1-8鄰
第0296投開票所,新興國小,廖厝里9-14、22鄰
第0297投開票所,樂安宮（楊厝巷41-8號）,廖厝里15-21鄰
第0298投開票所,東興國小,東崎里1-7鄰
第0299投開票所,東興國小,東崎里8-13鄰
第0300投開票所,天和宮（打鐵巷9號）,東崎里15-21鄰
第0301投開票所,富麗大鎮活動中心,東崎里14、22-27鄰
第0302投開票所,鹿東國小,頂厝里1-5、9鄰
第0303投開票所,鹿東國小,頂厝里6-8鄰
第0304投開票所,鹿東國小,頂厝里10-14鄰
第0305投開票所,鹿東國小,頂厝里15-18鄰
第0306投開票所,鹿東國小,頂厝里19-23鄰
第0307投開票所,鹿東國小,頂厝里24-26鄰
第0308投開票所,三汴集會活動中心（彰水路346巷47號）,三汴村
第0309投開票所,閭山天法堂會議室（萬豐村（街）,14-36號）萬豐村
第0310投開票所,元中社區活動中心,元中村
第0311投開票所,外中社區活動中心,外中村
第0312投開票所,大興國小,外埔村
第0313投開票所,大崙社區活動中心,大崙村
第0314投開票所,日新國小,番婆村1-6鄰
第0315投開票所,番婆社區活動中心,番婆村7-12鄰
第0316投開票所,鹿港國中（一）,橋頭村1-5、9鄰
第0317投開票所,鹿港國中（二）,橋頭村6-8、10、11鄰
第0318投開票所,社尾社區活動中心,社尾村
第0319投開票所,永豐國小,番社村
第0320投開票所,西勢國小,西勢村1、2、8鄰
第0321投開票所,西勢社區活動中心,西勢村3-7、9鄰
第0322投開票所,福興國中（一）,同安村1-4鄰
第0323投開票所,福興國中（二）,同安村5-8鄰
第0324投開票所,保安宮（秀厝1街臨342號）,秀厝村1-10鄰
第0325投開票所,秀厝社區活動中心（秀厝2街147號）,秀厝村11-18鄰
第0326投開票所,四村聯合集會所（一）,福興村1-5鄰
第0327投開票所,四村聯合集會所（二）,福興村6-11鄰
第0328投開票所,老人文康中心,福興村12-14鄰
第0329投開票所,福興鄉立西區幼兒園（一）（福興路51巷12號）,福南村1-7鄰
第0330投開票所,福興鄉立西區幼兒園（二）（福興路51巷12號）,福南村8-14鄰
第0331投開票所,文昌國小,鎮平村
第0332投開票所,三和社區活動中心,三和村
第0333投開票所,二港社區活動中心,二港村
第0334投開票所,育新國小,福寶村
第0335投開票所,新頂粘社區活動中心,頂粘村1-7鄰
第0336投開票所,粘灯火宅倉庫（頂粘村（街）299號）,頂粘村8-12鄰
第0337投開票所,管嶼國小,廈粘村1-5鄰
第0338投開票所,廈粘社區活動中心,廈粘村6-13鄰
第0339投開票所,九天寺廟餐廳（一）,麥厝村1-11鄰
第0340投開票所,九天寺廟餐廳（二）,麥厝村12-19鄰
第0341投開票所,華龍國小,秀水村1-15鄰
第0342投開票所,港墘社區活動中心（開南巷87號）,秀水村16-24鄰
第0343投開票所,安溪社區活動中心（安溪街98號）,安溪村1-7、15鄰
第0344投開票所,玄德廟（彰水路1段692巷32號）,安溪村8-14.16.17鄰
第0345投開票所,秀水鄉老人文康中心（中山路99號）,莊雅村1-7、17-20鄰
第0346投開票所,莊雅社區活動中心（秀中街82巷7弄6號旁）,莊雅村8-16鄰
第0347投開票所,陝西社區活動中心（烏面將軍廟旁）,陝西村
第0348投開票所,金興增建社區活動中心（新興街123號）,金興村1-3、10-14鄰
第0349投開票所,金興舊社區活動中心（番花路79巷26號附近）,金興村4-9鄰
第0350投開票所,秀水國小,安東村1-6、28鄰
第0351投開票所,秀水國小,安東村7-10、29、30鄰
第0352投開票所,安東社區長壽俱樂部（枋林巷60號）,安東村11-15、31、32鄰
第0353投開票所,安東社區活動中心（枋林巷60號）,安東村16-27鄰
第0354投開票所,秀水鄉立體育館（瓦磘街17號）,鶴鳴村1-4鄰
第0355投開票所,鶴鳴社區活動中心（明山街182號）,鶴鳴村5-12鄰
第0356投開票所,頭前社區活動中心（永興巷61號）,鶴鳴村13-22鄰
第0357投開票所,馬興國小,馬興村1-11鄰
第0358投開票所,馬興村集會所（雅興街260巷8-1號）,馬興村12-20鄰
第0359投開票所,義興社區活動中心（義興街12號附近）,義興村
第0360投開票所,福安增建社區活動中心（後厝）（長美巷40號附近）,福安村1-6鄰
第0361投開票所,秀水高工教室（一營造）,福安村7-9、11、25鄰
第0362投開票所,福安社區活動中心（清龍岩）（民意街64號）,福安村10、12-14、16-18鄰
第0363投開票所,福安社區活動中心（清龍岩餐廳）,福安村19、24、26-29鄰
第0364投開票所,秀水鄉立幼兒園（復新街7號）,福安村15、20-23、30鄰
第0365投開票所,埔崙社區活動中心（蘇周巷177號）,埔崙村1-8鄰
第0366投開票所,明正國小,埔崙村9-15鄰
第0367投開票所,曾厝社區活動中心（大厝巷66號）,曾厝村1-7鄰
第0368投開票所,林四福堂（西平巷15號）,曾厝村8-13鄰
第0369投開票所,安南府（安南巷100號）,金陵村1-5鄰
第0370投開票所,玉陵宮（番花路450巷46號）,金陵村6-15鄰
第0371投開票所,下崙增建社區活動中心（民生街206號）,下崙村1-12鄰
第0372投開票所,惠來社區活動中心（三聖巷臨15號）,下崙村13-20鄰
第0373投開票所,和東國小(一),竹營里1-9鄰
第0374投開票所,和東國小(二),竹營里11-16、20鄰
第0375投開票所,和東國小(三),竹營里10、17-19、21、22鄰
第0376投開票所,和東國小(四),竹營里23-29鄰
第0377投開票所,和東國小(五),和東里1-3、10鄰
第0378投開票所,和東國小(六),和東里4-9鄰
第0379投開票所,和東國小(七),和東里11-23鄰
第0380投開票所,和東國小(八),和東里24-28鄰
第0381投開票所,和美國小(一),和南里
第0382投開票所,和美國小(二),和北里1-9鄰
第0383投開票所,和美國小(三),和北里10-15鄰
第0384投開票所,和美高中(一),和西里1-11鄰
第0385投開票所,和美高中(二),和西里12-20鄰
第0386投開票所,和美高中(三),和西里21-26鄰
第0387投開票所,法玄宮廟（鎮西路212號）,四張里1-4、15-19鄰
第0388投開票所,四張社區活動中心,四張里5-14鄰
第0389投開票所,頭前社區活動中心（和頭路595號）,頭前里1-7鄰
第0390投開票所,頭前社區活動中心（和頭路595號）,頭前里8-14鄰
第0391投開票所,面前里里民活動中心(和光路360巷36號),面前里1-4、11-15鄰
第0392投開票所,面前社區活動中心(雅安路265號),面前里5-10鄰
第0393投開票所,鎮平里活動中心,鎮平里1-4、6-9鄰
第0394投開票所,鎮平里活動中心,鎮平里5、10-17鄰
第0395投開票所,大嘉國小(一),大霞里1-7鄰
第0396投開票所,大嘉國小(二),大霞里8-14鄰
第0397投開票所,大榮國小(一),源埤里1-7鄰
第0398投開票所,大榮國小(二),源埤里8-13鄰
第0399投開票所,大榮國小(三),南佃里1-9鄰
第0400投開票所,大榮國小(四),南佃里10-16鄰
第0401投開票所,雅溝里活動中心,雅溝里
第0402投開票所,和仁國小(一),山犁里1-6鄰
第0403投開票所,和仁國小(二),山犁里7-12鄰
第0404投開票所,和仁國小(三),山犁里13-18鄰
第0405投開票所,和仁國小(四),山犁里19-27鄰
第0406投開票所,國立和美實驗學校(一),仁愛里1-8鄰
第0407投開票所,國立和美實驗學校(二),仁愛里9-18鄰
第0408投開票所,嘉犁社區活動中心,嘉犁里1-9、15鄰
第0409投開票所,長壽俱樂部,嘉犁里10-14鄰
第0410投開票所,大嘉國小(三),詔安里1-7鄰
第0411投開票所,大嘉國小(四),詔安里8-19鄰
第0412投開票所,鐵山里活動中心,鐵山里1-3、5-12鄰
第0413投開票所,鐵山里保生宮(鎮東路190號),鐵山里4、13-20鄰
第0414投開票所,柑井里活動中心,柑井里1-8鄰
第0415投開票所,長青聯誼活動中心（柑竹路340號）,柑井里9-18鄰
第0416投開票所,武當宮,柑井里19-24鄰
第0417投開票所,竹園里活動中心,竹園里
第0418投開票所,新庄里活動中心（新）,新庄里1-3、12-16鄰
第0419投開票所,新庄里活動中心（舊）,新庄里4-11、17鄰
第0420投開票所,新庄國小(一),犁盛里1-8、20、23鄰
第0421投開票所,犁盛里活動中心,犁盛里9-19、21、22鄰
第0422投開票所,中寮活動中心,中寮里
第0423投開票所,新庄國小(二),中圍里1-12鄰
第0424投開票所,新庄國小(三),中圍里13-24鄰
第0425投開票所,新庄國小(四),中圍里25-28鄰
第0426投開票所,新庄國小(五),糖友里1-5、7-9鄰
第0427投開票所,新庄國小(六),糖友里6、10-18鄰
第0428投開票所,新庄國小(七),糖友里19-27鄰
第0429投開票所,北極宮（北堂路8巷10號）,還社里
第0430投開票所,培英國小(一),塗厝里1-10鄰
