鄉（鎮、市）別,"投（開）票所編號",投（開）票所地點,投（開）票所地點,劃定前往投票之村里鄰別,備註
臺東市,43,豐榮國小（幼稚園）教室,豐榮國小（幼稚園）教室,"豐榮里16鄰至18鄰及31鄰至34鄰
臺東市,44,豐榮民眾活動中心,豐榮民眾活動中心,豐榮里9鄰至15鄰及20鄰至26鄰及28鄰,
臺東市,45,東海國宅閱覽室,東海國宅閱覽室,豐榮里19鄰、27鄰及35鄰,
臺東市,46,豐榮國小（四甲）教室,豐榮國小（四甲）教室,豐谷里1鄰至13鄰,
臺東市,47,豐榮國小（一甲）教室,豐榮國小（一甲）教室,豐谷里14鄰至24鄰,
臺東市,48,豐榮國小（二丁）教室,豐榮國小（二丁）教室,"豐谷里25鄰至32鄰
臺東市,49,豐里國小（左一）教室,豐里國小（左一）教室,豐里里1鄰至10鄰,
臺東市,50,豐里國小（左二）教室,豐里國小（左二）教室,豐里里11鄰至21鄰,
臺東市,51,豐源國小教室,豐源國小教室,豐原里1鄰至18鄰,
臺東市,52,臺東市老人文康活動中心,臺東市老人文康活動中心,富岡里1鄰至25鄰,
臺東市,53,富豐社區活動中心,富豐社區活動中心,富豐里1鄰至16鄰,
臺東市,54,新馬蘭部落聚會所,新馬蘭部落聚會所,南榮里2鄰至14鄰,
臺東市,55,大橋部落聚會所,大橋部落聚會所,南榮里1鄰及15鄰至30鄰,
臺東市,56,岩灣國小學生餐廳,岩灣國小學生餐廳,岩灣里1鄰至19鄰,
臺東市,57,卑南民眾活動中心,卑南民眾活動中心,卑南里1鄰至9鄰,
臺東市,58,卑南國小教室,卑南國小教室,卑南里10鄰至29鄰,
臺東市,59,南王國小（左一）教室,南王國小（左一）教室,南王里1鄰至10鄰,
臺東市,60,南王國小（左二）教室,南王國小（左二）教室,南王里11鄰至20鄰,
臺東市,61,豐田國小教室（右）,豐田國小教室（右）,豐田里1鄰至12鄰,
臺東市,62,豐田國小教室（左）,豐田國小教室（左）,豐田里13鄰至25鄰,
臺東市,63,新園社區活動中心,新園社區活動中心,新園里1鄰至18鄰,
臺東市,64,建和國小教室,建和國小教室,建和里1鄰至32鄰,
臺東市,65,建興里集會所,建興里集會所,建興里1鄰至16鄰,
臺東市,66,建業社區活動中心,建業社區活動中心,建業里1鄰至25鄰,
臺東市,67,知本社區活動中心,知本社區活動中心,知本里1鄰至23鄰,
臺東市,68,榮農社區活動中心,榮農社區活動中心,建農里1鄰至9鄰,
臺東市,69,聖母健康農莊（原知本農場辦公室）,聖母健康農莊（原知本農場辦公室）,建農里10鄰至17鄰,
成功鎮,70,小馬活動中心,小馬活動中心,信義里1鄰至8鄰,
成功鎮,71,都歷活動中心,都歷活動中心,信義里9鄰至21鄰,
成功鎮,72,豐田活動中心,豐田活動中心,信義里22鄰至27鄰,
成功鎮,73,和平里活動中心,和平里活動中心,和平里1鄰至11鄰,
成功鎮,74,麒麟活動中心,麒麟活動中心,忠仁里32鄰至38鄰,
