金門縣金寧鄉第0027投開票所,金鼎國小活動中心,金門縣金寧鄉下堡１２３號,盤山村,17-23,　,,,,,　
金門縣金寧鄉第0028投開票所,后盤村辦公處,金門縣金寧鄉后盤村后盤山３３號,后盤村,全村,,,,,,　
烈嶼鄉選舉區,,,,全村,,,,,,
金門縣烈嶼鄉第0029投開票所,林湖村辦公處,金門縣烈嶼鄉林湖村東林２４號,林湖村,1-10,　,,,,,　
金門縣烈嶼鄉第0030投開票所,林湖村辦公處,金門縣烈嶼鄉林湖村東林２４號,林湖村,11-23,　,,,,,　
金門縣烈嶼鄉第0031投開票所,黃埔村辦公處,金門縣烈嶼鄉黃埔村黃厝４５號,黃埔村,全村,　,,,,,
金門縣烈嶼鄉第0032投開票所,西口村辦公處,金門縣烈嶼鄉西口村西方６之１號,西口村,全村,　,,,,,
金門縣烈嶼鄉第0033投開票所,上林村辦公處,金門縣烈嶼鄉上林村上林７８號,上林村,全村,　,,,,,
金門縣烈嶼鄉第0034投開票所,上岐村辦公處,金門縣烈嶼鄉上林村青岐９２之２號,上岐村,全村,　,,,,,
烏坵鄉選舉區,,,,,,,,,,
金門縣烏坵鄉第0035投開票所,烏坵鄉公所大廳,金門縣烏坵鄉大坵村１鄰１號,大坵村,全村,　,,,,,
金門縣烏坵鄉第0036投開票所,小坵村活動中心,金門縣烏坵鄉小坵村（媽祖廟附近）,小坵村,全村,　,,,,,
金湖鎮選舉區,,,,,,,,,,
金門縣金湖鎮第0037投開票所,新市里辦公處,金門縣金湖鎮新市里林森路６－１號,新市里,1-17,　,,,,,
金門縣金湖鎮第0038投開票所,新市里舊鎮公所,金門縣金湖鎮新市里林森路６號,新市里,1-29,　,,,,,
金門縣金湖鎮第0039投開票所,下莊社區活動中心,金門縣金湖鎮山外里下莊５０號,山外里,9-17,　,,,,,
金門縣金湖鎮第0040投開票所,山外社區活動中心,金門縣金湖鎮山外里８０之１,山外里,"1-8,18-20",　,,,,,
金門縣金湖鎮第0041投開票所,溪湖里辦公處,金門縣金湖鎮溪湖里溪邊８,溪湖里,1-13,　,,,,,
