103年屏東縣地方公職人員選舉投開票所設置地點,,,,
投開票所編號,投開票所名稱,投開票所地址,所屬村里,所屬鄰別
屏東市,,,,
1,中正國小教室,屏東縣屏東市蘇州街７５號,端正里,全里
2,中正國小教室,屏東縣屏東市蘇州街７５號,武廟里,全里
3,都城隍廟對面,屏東縣屏東市南昌街１５號,大同里,全里
4,慎省堂,屏東縣屏東市信義路１０９號,光榮里,全里
5,唐榮國小教室,屏東縣屏東市中山路４１號,民權里,全里
6,中正國小教室,屏東縣屏東市蘇州街７５號,泰安里,全里
7,中正國小教室,屏東縣屏東市蘇州街７５號,文明里,全里
8,屏東縣營造職業工會,屏東縣屏東市重慶路１６１號,維新里,"6-13,22-24"
9,大埔福德祠,屏東縣屏東市和平路３３６巷１號,維新里,"1-5,14-21"
10,屏東市北極殿,屏東縣屏東市民族路３６５號,大埔里,全里
11,東石徐府廟,屏東縣屏東市光復路２３２－１號,必信里,全里
12,唐榮國小教室,屏東縣屏東市中山路４１號,崇禮里,全里
13,唐榮國小教室,屏東縣屏東市中山路４１號,崇智里,全里
14,慶春里福德祠,屏東縣屏東市福德巷３２號,慶春里,全里
15,天后宮,屏東縣屏東市廈門街１４－１號,楠樹里,全里
16,扶風宮,屏東縣屏東市福州街１０８號,扶風里,全里
17,仁愛國小教室,屏東縣屏東市仁愛路９８號,安樂里,全里
18,屏東市老人會,屏東縣屏東市公園路２４－１號,平和里,全里
19,萬年殿辦公室,屏東縣屏東市萬倉街１－２號,金泉里,全里
20,玉皇宮,屏東縣屏東市自由路１４５號,勝豐里,全里
21,民和國小教室,屏東縣屏東市自立路２１３號,橋南里,1-10
22,民和國小教室,屏東縣屏東市自立路２１３號,橋南里,11-19
23,民和國小教室,屏東縣屏東市自立路２１３號,橋北里,全里
24,瑞光國小教室,屏東縣屏東市興豐路８６號,大連里,1-9
25,瑞光國小教室,屏東縣屏東市興豐路８６號,大連里,10-20
26,瑞光國小教室,屏東縣屏東市興豐路８６號,大連里,21-30
27,忠孝國小教室,屏東縣屏東市建豐路２０４號,大連里,31-40
28,忠孝國小教室,屏東縣屏東市建豐路２０４號,大連里,41-52
29,忠孝國小教室,屏東縣屏東市建豐路２０４號,大連里,53-61
30,忠孝國小教室,屏東縣屏東市建豐路２０４號,大連里,62-75
31,忠孝國小教室,屏東縣屏東市建豐路２０４號,豐田里,"5,19-27,30"
32,忠孝國小教室,屏東縣屏東市建豐路２０４號,豐田里,"9-18,32-33"
33,中正國中教室,屏東縣屏東市民學路２號,豐田里,"1-4,6-8,28-29,31"
34,南清宮,屏東縣屏東市民享一路１４６號,豐榮里,"9-11,13-15,18-19"
35,南清宮,屏東縣屏東市民享一路１４６號,豐榮里,"1-8,12,16-17,20-25"
36,中正國中教室,屏東縣屏東市民學路２號,豐源里,1-11
37,中正國中教室,屏東縣屏東市民學路２號,豐源里,12-22
38,屏榮育英館,屏東縣屏東市民學路１００號,豐源里,23-35
39,屏教大實驗附小教室,屏東縣屏東市廣東路２０號,長春里,"1-6,11-14"
40,屏教大實驗附小教室,屏東縣屏東市廣東路２０號,長春里,"7-10,15"
41,萬世聖母宮,屏東縣屏東市菸廠東巷４６號,瑞光里,"3-4,6,9,14-17,28,30-33"
42,瑞光里活動中心(原舊農改場內),屏東縣屏東市瑞中街(原民生路舊農改場內),瑞光里,"1-2,5,7-8,18,29"
43,民生國小教室,屏東縣屏東市安心四橫巷１３９－１號,瑞光里,"10-13,19-23"
44,民生國小教室,屏東縣屏東市安心四橫巷１３９－１號,瑞光里,"24-27,34-44"
45,民生國小教室,屏東縣屏東市安心四橫巷１３９－１號,瑞光里,45-53
46,歸來國小教室,屏東縣屏東市歸國巷１號,湖南里,全里
47,歸來國小教室,屏東縣屏東市歸國巷１號,湖西里,全里
48,歸來國小教室,屏東縣屏東市歸國巷１號,歸心里,全里
49,鶴聲國中活動中心,屏東縣屏東市大武路２２５號,清溪里,"1-21,26"
50,鶴聲國中活動中心,屏東縣屏東市大武路２２５號,清溪里,"22-25,27,30"
51,鶴聲國中活動中心,屏東縣屏東市大武路２２５號,清溪里,"28-29,31-33"
52,復興圖書館,屏東縣屏東市建南路１６２號,大武里,"1-27,42"
53,上以唐幼稚園,屏東縣屏東市武愛街８８巷４號,大武里,28-33
54,武成文康中心,屏東縣屏東市武成街７６號,大武里,34-35
55,美加幼兒園,屏東縣屏東市武威街１７０巷６號,大武里,"36,41"
56,鶴聲國中圖書室,屏東縣屏東市大武路２２５號,大武里,"37-40,44"
57,鶴聲國小教室,屏東縣屏東市建國路１２１號,大武里,"43,45-47"
58,崇大新城L棟文化活動中心右側,屏東縣屏東市華盛街３３號１樓,崇武里,1-8
59,崇大新城L棟文化活動中心左側,屏東縣屏東市華盛街３３號１樓,崇武里,9-17
60,雲鵬社區活動中心,屏東縣屏東市光武一巷４６號,凌雲里,全里
61,大同國小體育館,屏東縣屏東市大同路２號,永昌里,全里
62,大同國小體育館,屏東縣屏東市大同路２號,永順里,全里
63,凌雲國小教室,屏東縣屏東市光大巷６１號,鵬程里,全里
64,大同國小教室,屏東縣屏東市大同路２號,安鎮里,1-12
65,大同國小教室,屏東縣屏東市大同路２號,安鎮里,13-21
66,大同國小體育館,屏東縣屏東市大同路２號,永光里,全里
67,長安宮,屏東縣屏東市光復路３５０巷２５號,長安里,1-9
68,長安宮,屏東縣屏東市光復路３５０巷２５號,長安里,10-24
69,前進國小教室,屏東縣屏東市建國路４０５巷１００弄３９號,前進里,11-24
70,前進社區活動中心,屏東縣屏東市清進巷１４３號,前進里,1-10
71,大洲社區活動中心,屏東縣屏東市大洲６２－１號,大洲里,全里
72,公館社區長壽俱樂部,屏東縣屏東市公興路２２１巷１３號之１,新興里,1-6
73,公正國中教室,屏東縣屏東市公興路１１號,新興里,7-14
74,公館社區活動中心,屏東縣屏東市公興路２２１巷１３號之１,公館里,全里
75,佳佳幼兒園,屏東縣屏東市復興南路一段３５巷１２號,新生里,"1-4,24-27"
76,新生里社區活動中心(天聖宮一樓),屏東縣屏東市復興南路一段１０８巷２１弄２號,新生里,"14-17,23,28-29,36-37"
77,復興新村自治村辦公室,屏東縣屏東市復興南路一段２３１巷４號,新生里,"5-13,20-22"
78,新生里社區活動中心(天聖宮一樓),屏東縣屏東市復興南路一段１０８巷２１弄２號,新生里,"18-19,30-35"
79,頂宅慈鳳宮,屏東縣屏東市頂宅里和生路一段７４２號,頂宅里,全里
80,頂柳社區活動中心,屏東縣屏東市頂柳路５１９號,頂柳里,全里
81,大湖社區活動中心,屏東縣屏東市大湖路３９２號,大湖里,6-11
82,大湖天鳳亭,屏東縣屏東市廣官路１２２號,大湖里,1-5
83,公館國小教室,屏東縣屏東市公華街１８２號,龍華里,1-8
84,公館國小教室,屏東縣屏東市公華街１８２號,龍華里,9-22
85,玉成社區活動中心,屏東縣屏東市公興路６２１號,玉成里,全里
86,代天宮,屏東縣屏東市擇仁里延平一路２號,擇仁里,全里
87,佛光山屏東講堂,屏東縣屏東市建國里建華三街４６號,建國里,全里
88,建國國小教室,屏東縣屏東市建興路３６號,萬年里,全里
89,衛生所,屏東縣屏東市建國路９２號,厚生里,"1-9,23-25,29-33,35"
90,昌賢堂圖書館,屏東縣屏東市延平路８９號,厚生里,"10-22,26-28,34,36"
91,萬福宮,屏東縣屏東市自立路１２３號,一心里,全里
92,屏東市民代表會,屏東縣屏東市台糖二街２１號,義勇里,全里
93,光華里東隆宮,屏東縣屏東市福光街６２號,光華里,全里
94,鶴聲國小教室,屏東縣屏東市建國路１２１號,永安里,"1,14-18,23,25-35"
95,屏東高工仁愛樓1樓,屏東縣屏東市建國路２５號,永安里,"2-5,19-22,24,36-37,39-40"
96,復興國小教室,屏東縣屏東市復興路３７６號,永安里,"6-7,9-12"
97,復興國小教室,屏東縣屏東市復興路３７６號,永安里,"8,38,41-43"
98,復興國小教室,屏東縣屏東市復興路３７６號,永安里,"13,44-47"
99,勝利國小教室,屏東縣屏東市蘭州街２號,崇蘭里,"1,14,20-26,39,42"
100,崇蘭國小教室,屏東縣屏東市廣東路１２５９號,崇蘭里,"4-5,7,9,15,27,43"
101,崇蘭國小教室,屏東縣屏東市廣東路１２５９號,崇蘭里,"12,16-19,28-31"
102,崇蘭國小教室,屏東縣屏東市廣東路１２５９號,崇蘭里,"35-36,44-45"
103,崇蘭國小教室,屏東縣屏東市廣東路１２５９號,崇蘭里,47-54
104,崇蘭國小教室,屏東縣屏東市廣東路１２５９號,崇蘭里,"11,32-33,40-41"
105,崇蘭國小教室,屏東縣屏東市廣東路１２５９號,崇蘭里,"2-3,6,8,10,13,34,37-38,46"
106,大同高中教室,屏東縣屏東市和平路４２９號,潭墘里,1-9
107,大同高中教室,屏東縣屏東市和平路４２９號,潭墘里,10-18
108,大同高中教室,屏東縣屏東市和平路４２９號,潭墘里,19-25
109,大同高中教室,屏東縣屏東市和平路４２９號,潭墘里,26-33
110,大同高中教室,屏東縣屏東市和平路４２９號,潭墘里,34-42
111,大同高中大禮堂,屏東縣屏東市和平路４２９號,潭墘里,43
112,大同高中教室,屏東縣屏東市和平路４２９號,潭墘里,44-48
113,大同高中教室,屏東縣屏東市和平路４２９號,永城里,1-19
114,大同高中教室,屏東縣屏東市和平路４２９號,永城里,20-31
115,北一區里聯合辦公處,屏東縣屏東市中山路７８－５號,空翔里,全里
