103年屏東縣地方公職人員選舉投開票所設置地點,,,,
投開票所編號,投開票所名稱,投開票所地址,所屬村里,所屬鄰別
116,廣興宮右側,屏東縣屏東市廣興９６號,廣興里,1-9
117,廣興宮左側,屏東縣屏東市廣興９６號,廣興里,10-19
118,勝利國小教室,屏東縣屏東市蘭州街２號,勝利里,1-17
119,屏東高中成功大樓,屏東縣屏東市忠孝路２３１號,勝利里,18-25
120,屏東高中成功大樓,屏東縣屏東市忠孝路２３１號,勝利里,26-33
121,屏東高中成功大樓,屏東縣屏東市忠孝路２３１號,勝利里,34-41
122,仁愛國小教室,屏東縣屏東市仁愛路９８號,斯文里,"1-13,16,26"
123,迦南教會,屏東縣屏東市天津街５０號,斯文里,"14-15,17-25,27"
124,和平國小教室,屏東縣屏東市華正路８０號,華山里,"1-4,6,11-13,16-17"
125,大連路基督教會,屏東縣屏東市大連路６０巷１６號,華山里,"8,14-15,20-22,24,26-28"
126,和平國小教室,屏東縣屏東市華正路８０號,華山里,"7,9-10,18-19,23,29-30,34-35"
127,和平國小教室,屏東縣屏東市華正路８０號,華山里,"5,25,31-33,36-38"
128,明正國中大禮堂,屏東縣屏東市大連路７０號,溝美里,"1-2,4,6-10,15-16,18-19,21-23"
129,明正國中大禮堂,屏東縣屏東市大連路７０號,溝美里,"3,5,11-14,17,20,24-28"
130,海豐國小教室,屏東縣屏東市海豐街３號,三山里,全里
131,海豐國小教室,屏東縣屏東市海豐街３號,海豐里,全里
132,海豐國小教室,屏東縣屏東市海豐街３號,仁義里,全里
133,至正國中教室,屏東縣屏東市公裕街３００號,北興里,1-9
134,至正國中教室,屏東縣屏東市公裕街３００號,北興里,10-21
135,至正國中教室,屏東縣屏東市公裕街３００號,北興里,22-28
136,至正國中教室,屏東縣屏東市公裕街３００號,北興里,"29,37-40"
137,信義國小教室,屏東縣屏東市信義路２６２號,北興里,30-36
138,信義國小教室,屏東縣屏東市信義路２６２號,北勢里,1-12
139,信義國小教室,屏東縣屏東市信義路２６２號,北勢里,13-25
140,和平國小教室,屏東縣屏東市華正路８０號,中正里,1-12
141,和平國小教室,屏東縣屏東市華正路８０號,中正里,13-24
142,和平國小教室,屏東縣屏東市華正路８０號,中正里,25-32
143,仁愛國小教室,屏東縣屏東市仁愛路９８號,興樂里,全里
144,屏東縣老人會,屏東縣屏東市中華路中山公園內溜冰場旁,明正里,全里
145,仁愛國小教室,屏東縣屏東市仁愛路９８號,太平里,全里
146,海豐國小教室,屏東縣屏東市海豐街３號,信和里,全里
147,陳東和民宅,屏東縣屏東市和興３９－６號,和興里,全里
148,彌迦教會2樓,屏東縣屏東市公勤街１１１號,仁愛里,1-9
149,彌迦教會1樓停車場,屏東縣屏東市公勤街１１１號,仁愛里,10-18
潮州鎮,,,,
150,潮州三山國王廟會議室,屏東縣潮州鎮同榮里12鄰西市路３３號,潮州里,全里
151,光華國小教室,屏東縣潮州鎮光華里5鄰南進路２號,光華里,16-29
152,光華里社區活動中心,屏東縣潮州鎮光華里6鄰南京路１６３號,光華里,6-15
153,光華國小教室,屏東縣潮州鎮光華里5鄰南進路２號,光華里,"1-5,30-35"
154,青年文康中心一樓〈里聯合辦公處〉,屏東縣潮州鎮同榮里8鄰育英路１８號,同榮里,全里
155,彭城里活動中心,屏東縣潮州鎮彭城里7鄰彭城路２０５號,彭城里,全里
156,潮州鎮老人文康活動中心,屏東縣潮州鎮三星里5鄰三星路３９號,三星里,"1-4,12,13"
157,三星里活動中心,屏東縣潮州鎮三星里三林路１０９號,三星里,6-9
158,潮州國語禮拜堂,屏東縣潮州鎮三星里11鄰三華巷１５號,三星里,14-16
159,潮州鎮運動公園體育館,屏東縣潮州鎮三星里２鄰三城路３０１號,三星里,"5,10-11"
160,潮州國中學生活動中心,屏東縣潮州鎮三共里1鄰文化路６６號,三共里,"1-4,35-37"
161,三共里活動中心,屏東縣潮州鎮三共里24鄰文化路１８９號,三共里,"10-12,16-17,24,30-31"
162,三共里長壽老人會活動中心,屏東縣潮州鎮三共里25鄰振興路５５號,三共里,"25-29,32-34"
163,潮州國中教室,屏東縣潮州鎮三共里１鄰文化路６６號,三共里,"18-23,38"
164,潮昇國小教室〈校長室旁空教室〉,屏東縣潮州鎮三共里9鄰北門路２５號,三共里,"5-9,13-15"
165,三和里活動中心,屏東縣潮州鎮三和里13鄰中興路５７號,三和里,"1-14,17,18"
166,潮和國小家長會辦公室,屏東縣潮州鎮三和15鄰里華巖街１號,三和里,15-16
167,九塊里社區活動中心,屏東縣潮州鎮九塊里6鄰復興路１號,九塊里,3-12
168,潮東國小教室,屏東縣潮州鎮九塊里１２鄰復興路６６號,九塊里,1-2
169,新生里活動中心,屏東縣潮州鎮新生里16鄰平安路６０號,新生里,全里
170,潮州鎮老人活動中心,屏東縣潮州鎮新榮里15鄰清水南路１７之２號,新榮里,全里
171,五魁里活動中心,屏東縣潮州鎮五魁里太平路５２０之１號,五魁里,全里
172,蓬萊里活動中心,屏東縣潮州鎮蓬萊里2鄰榮田路１５５號,蓬萊里,4-6
173,蓬萊里社區巡守隊辦公室,屏東縣潮州鎮蓬萊里2鄰榮田路１５５號,蓬萊里,"1-3,7-14"
174,八爺里活動中心,屏東縣潮州鎮八爺里3鄰環龍路２７號,八爺里,"1,11"
175,妙光禪寺(大雄寶殿),屏東縣潮州鎮八爺里６鄰曲振路１１之２號,八爺里,2-10
176,永春里長壽俱樂部,屏東縣潮州鎮永春里27鄰永定路４２之１號,永春里,19-28
177,玉勅尊王宮管理委員會事務所,屏東縣潮州鎮永春里11鄰光春路１６５號,永春里,"6,10-18"
178,永春里活動中心,屏東縣潮州鎮永春里永康街２３３號,永春里,"1-5,7-9"
179,凰龍山天慈慈惠堂,屏東縣潮州鎮永春里31鄰武昌街２５６號,永春里,29-34
180,悟公慈善會潮州紀念會館,屏東縣潮州鎮永春里３１鄰自由路２５６之１號,永春里,35-39
181,富春里活動中心,屏東縣潮州鎮富春里田新路２９號,富春里,全里
182,光春里活動中心,屏東縣潮州鎮光春里光明路２７之８號,光春里,全里
183,興美里社區活動中心,屏東縣潮州鎮興美里1鄰興中路２之１號,興美里,全里
184,檨子里活動中心,屏東縣潮州鎮檨子里1鄰光復路一段４０巷３７號,檨子里,全里
185,泗林里活動中心,屏東縣潮州鎮泗林里6鄰明倫路１之１號,泗林里,全里
186,四春里活動中心,屏東縣潮州鎮四春里盛春路９之１號,四春里,11-20
187,四春里社區合作社,屏東縣潮州鎮四春里盛春路,四春里,1-10
188,崙東里活動中心,屏東縣潮州鎮崙東里崙新北路５３巷５０號,崙東里,"1-7,10-15"
189,新開寮活動中心,屏東縣潮州鎮崙東里9鄰新開南路１６之１號,崙東里,8-9
東港鎮,,,,
190,神農宮,屏東縣東港鎮新勝里新基街８５巷３１號,新勝里,"1-15,28"
191,鎮靈宮,屏東縣東港鎮新勝里新基街６８號,新勝里,"16-27,29"
192,東隆壇,屏東縣東港鎮頂新里延平路４９號,頂新里,全里
193,共善堂,屏東縣東港鎮頂中里頂中街１６號,頂中里,全里
194,倪惠玲(宅),屏東縣東港鎮東和里博愛街２５０號,東和里,全里
195,太子宮南興堂,屏東縣東港鎮興台里中山路４１號,興台里,全里
196,興東社區活動中心,屏東縣東港鎮興東里興東路４６號,興東里,"1-5,7,13,24"
197,東興國小教室,屏東縣東港鎮興東里興東路４３－１號,興東里,"6,25,36-39"
198,東港國小教室,屏東縣東港鎮興東里中正路一段１０號,興東里,"8,9,11,14-21,26"
199,東港國小教室,屏東縣東港鎮興東里中正路一段１０號,興東里,"10,27-32"
200,東光國小教室,屏東縣東港鎮興東里長春二路１５號,興東里,"12,22,23,33-35"
201,興農里民眾集會所,屏東縣東港鎮興農里興農路２８－１號,興農里,全里
202,東隆國小教室,屏東縣東港鎮共和里共和街４５號,中興里,全里
203,朝隆宮所屬房舍,屏東縣東港鎮朝安里延平路９６號,朝安里,"1-5,15,17-22"
204,東港鎮衛生所,屏東縣東港鎮朝安里新生三路２３號,朝安里,"6-14,16"
205,福安宮管理委員會,屏東縣東港鎮八德里延平路２０３號,八德里,全里
206,東隆宮活動中心,屏東縣東港鎮東隆里東隆街８之７號,東隆里,全里
207,海濱國小學生活動中心,屏東縣東港鎮豐漁里豐漁街３４之２號,豐漁里,全里
208,震靈宮所屬房舍,屏東縣東港鎮盛漁里興漁街８９之２號,盛漁里,全里
209,共心堂,屏東縣東港鎮興漁里興漁街１３４號,興漁里,1-16
210,慈峯宮管理委員會,屏東縣東港鎮興漁里興漁街１６８號,興漁里,17-25
211,鎮海宮,屏東縣東港鎮鎮海里鎮海路４２之５號,鎮海里,1-12
212,大眾老人協進會,屏東縣東港鎮東港段１０５１－３４７號土地暨地上物,鎮海里,13-23
213,金茄萣港開基大清府嘉蓮宮,屏東縣東港鎮嘉蓮里嘉蓮路３０之１號,嘉蓮里,1-7
214,汕尾嘉蓮宮,屏東縣東港鎮嘉蓮里嘉蓮路８０－２號,嘉蓮里,8-15
215,南平里活動中心,屏東縣東港鎮南平里(路)６７之１號,南平里,1-5
216,南興社區活動中心,屏東縣東港鎮南平里南興路７巷１３－１號,南平里,6-18
217,以栗國小教室,屏東縣東港鎮船頭里船頭路２５號,船頭里,"1-3,10-16"
218,以栗國小教室,屏東縣東港鎮船頭里船頭路２５號,船頭里,"17,18,24-28"
219,船頭里福安宮,屏東縣東港鎮船頭里船頭路３３號,船頭里,"4-9,19-23"
220,下廍社區活動中心,屏東縣東港鎮下廍里下廍路１３６號,下廍里,"4-8,14-19"
221,超峰寺,屏東縣東港鎮下廍里下廍路１號,下廍里,"1-3,9-13"
222,大潭社區活動中心,屏東縣東港鎮大潭里大潭路２５號,大潭里,全里
223,興和里里民聯誼活動中心,屏東縣東港鎮興和里興和路１３０－１號,興和里,全里
224,共和社區活動中心,屏東縣東港鎮共和里共和街６０號,共和里,全里
225,大鵬社區活動中心,屏東縣東港鎮大鵬里大鵬五路２巷８號,大鵬里,全里
恆春鎮,,,,
226,恆春國中教室,屏東縣恆春鎮城南里１４鄰文化路７９號,城南里,全里
227,恆春國小教室,屏東縣恆春鎮城北里４鄰北門路３９巷２６號,城北里,1-9
228,恆春國小教室,屏東縣恆春鎮城北里４鄰北門路３９巷２６號,城北里,10-21
229,僑勇國小教室,屏東縣恆春鎮城北里１６鄰西門路１４６號,城西里,全里
230,僑勇國小教室,屏東縣恆春鎮城北里１６鄰西門路１４６號,網紗里,"2,18-25"
231,網紗社區活動中心,屏東縣恆春鎮網紗里３鄰省北路２７２－６號,網紗里,"1,3-17"
232,仁壽社區活動中心,屏東縣恆春鎮仁壽里９鄰仁愛路２２號,仁壽里,全里
233,茄湖社區活動中心,屏東縣恆春鎮茄湖里４鄰茄苳路１６０號,茄湖里,全里
234,大平國小教室,屏東縣恆春鎮頭溝里４鄰頭溝路１６１號,頭溝里,全里
235,屏東縣私立懷恩幼兒園教室,屏東縣恆春鎮四溝里５鄰興北路興東巷４１號,四溝里,全里
236,德和社區活動中心,屏東縣恆春鎮德和里８鄰槺林北路１５５巷１號,德和里,全里
237,龍水社區活動中心,屏東縣恆春鎮龍水里２鄰龍泉路２５８號,龍水里,全里
238,山海國小教室,屏東縣恆春鎮山海里１０鄰山海路８６號,山海里,1-9
239,山海國小教室,屏東縣恆春鎮山海里１０鄰山海路８６號,山海里,10-16
240,大光國小教室,屏東縣恆春鎮大光里１鄰大光路８－６號,大光里,1-10
241,大光國小教室,屏東縣恆春鎮大光里１鄰大光路８－６號,大光里,11-23
242,泉南宮集會所,屏東縣恆春鎮水泉里７鄰下泉路３９－３號,水泉里,6-11
243,水泉社區活動中心,屏東縣恆春鎮水泉里４鄰下泉路１號,水泉里,"1-5,12-20"
244,山腳社區活動中心,屏東縣恆春鎮山腳里３４鄰恆南路１巷６０號,山腳里,"1-4,14-18,20-23"
245,恆春工商教室,屏東縣恆春鎮山腳里２７鄰恆南路３８號,山腳里,"5-13,19"
246,恆春工商教室,屏東縣恆春鎮山腳里２７鄰恆南路３８號,山腳里,24-34
247,南灣分校教室,屏東縣恆春鎮南灣里１３鄰南灣路仁愛巷８７號,南灣里,1-7
248,南灣分校教室,屏東縣恆春鎮南灣里１３鄰南灣路仁愛巷８７號,南灣里,8-15
249,墾丁國小教室,屏東縣恆春鎮墾丁里８鄰墾丁路６５號,墾丁里,全里
250,鵝鑾分校教室,屏東縣恆春鎮鵝鑾里９鄰砂島路２１６號,鵝鑾里,全里
萬丹鄉,,,,
251,香社村集會所,屏東縣萬丹鄉香社村香內路６３號,香社村,全村
252,新庄國小教室,屏東縣萬丹鄉新庄村新鐘路４１０號,新庄村,1-11
253,新庄國小教室,屏東縣萬丹鄉新庄村新鐘路４１０號,新庄村,12-20
254,新鐘村活動中心,屏東縣萬丹鄉新鐘村新鐘路１６５號,新鐘村,1-7
255,萬丹鄉第一老人會,屏東縣萬丹鄉新鐘村新鐘路１６７號,新鐘村,8-15
256,水仙社區活動中心,屏東縣萬丹鄉水仙村大勇路１０５號,水仙村,全村
257,興化國小教室,屏東縣萬丹鄉興全村興國路５２號,興全村,全村
258,興安社區活動中心,屏東縣萬丹鄉興安村興化廍路１０２號,興安村,全村
259,客隆宮,屏東縣萬丹鄉甘棠村新南路４３９號,甘棠村,全村
260,竹惠宮,屏東縣萬丹鄉惠安路１１號,萬惠村,全村
261,四維國小教室,屏東縣萬丹鄉四維村四維東路５６７號,萬全村,"1-7,11-21"
262,四維國小教室,屏東縣萬丹鄉四維村四維東路５６７號,萬全村,22-29
263,第二老人會活動中心,屏東縣萬丹鄉成功街二段１５７號,萬全村,8-10
264,大憲宮會議室,屏東縣萬丹鄉萬後村大憲街２２１號,萬後村,全村
265,萬丹國小教室,屏東縣萬丹鄉寶厝村萬新路１４９７號,萬安村,全村
266,農惠宮,屏東縣萬丹鄉萬生村成功街一段４６巷３２號,萬生村,全村
267,萬丹國小學生活動中心,屏東縣萬丹鄉寶厝村中興路二段７１２號,寶厝村,1-9
268,萬丹國小學生活動中心,屏東縣萬丹鄉寶厝村中興路二段７１２號,寶厝村,10-18
269,四維國小教室,屏東縣萬丹鄉四維村四維東路５６７號,四維村,1-8
270,四維國小教室,屏東縣萬丹鄉四維村四維東路５６７號,四維村,9-16
271,萬丹國小竹林分校教室,屏東縣萬丹鄉竹林村竹林路３５１號,竹林村,全村
272,水泉社區活動中心,屏東縣萬丹鄉水泉村泉利街９５號,水泉村,全村
273,田厝社區活動中心,屏東縣萬丹鄉田厝村寶田路５０８號,田厝村,全村
274,興華國小教室,屏東縣萬丹鄉崙頂村崙頂路８６０號,崙頂村,1-8
275,崙頂社區活動中心,屏東縣萬丹鄉崙頂村惠崙路９７６號,崙頂村,9-14
276,厦北社區活動中心,屏東縣萬丹鄉厦北村普安路２號,厦北村,全村
277,南聖宮,屏東縣萬丹鄉三青路１４６號,厦南村,全村
278,後村村集會所,屏東縣萬丹鄉後村村後庄路１５２號,後村村,全村
279,灣內社區活動中心,屏東縣萬丹鄉灣內村香內路５０３號,灣內村,全村
280,太子宮,屏東縣萬丹鄉上村村社皮路一段２９９號,上村村,全村
281,鳳山寺,屏東縣萬丹鄉加興村社皮路二段１號,加興村,全村
282,社口村活動中心,屏東縣萬丹鄉社口村忠心路３０９號,社口村,全村
283,磚寮社區活動中心,屏東縣萬丹鄉磚寮村慈濟路１０７號旁,磚寮村,全村
284,社皮社區活動中心,屏東縣萬丹鄉社皮村南北路三段１９５號,社皮村,"1-6,11"
285,萬丹鄉老人文康活動中心,屏東縣萬丹鄉社皮村大昌路４９５號,社皮村,"7-10,12-15"
286,建隆宮,屏東縣萬丹鄉社中村社上路３號,社中村,全村
287,社上社區活動中心,屏東縣萬丹鄉社上村土庫路８９號,社上村,全村
288,廣安社區活動中心,屏東縣萬丹鄉廣安村廣安路２１１巷２３號,廣安村,1-6
289,天鳳壇,屏東縣萬丹鄉廣安村廣安路２１１巷１２號,廣安村,7-12
長治鄉,,,,
290,屏東縣長治區長青學苑,屏東縣長治鄉進興村新進巷(長治鄉臨時攤販市場後方),進興村,"1-9,13"
291,長興國小南棟教室,屏東縣長治鄉新潭村潭頭路５０號,進興村,"10-12,14-23"
292,長興國小北棟教室,屏東縣長治鄉新潭村潭頭路５０號,新潭村,"1-11,17,23-25"
293,三座屋三山國王宮集會所,屏東縣長治鄉新潭村仁義巷３３號,新潭村,"12-16,18-22"
294,香潭社區活動中心,屏東縣長治鄉香楊村潭頭路２４２號,潭頭村,1-8
295,香潭社區活動中心,屏東縣長治鄉香楊村潭頭路２４２號,潭頭村,9-16
296,邱增興紀念堂(香潭活動中心右側),屏東縣長治鄉香楊村潭頭路２４２號,香楊村,"1-5,12"
297,帥府宮,屏東縣屏東市瑞光里香楊巷３－９２號,香楊村,"6-11,13-15"
298,長興社區活動中心,屏東縣長治鄉長興村長興路４４９號,長興村,全村
299,崙上舊社區活動中心,屏東縣長治鄉崙上村自強巷５８號,崙上村,全村
300,德榮社區活動中心,屏東縣長治鄉德榮下厝街５３號,德榮村,全村
301,德和社區活動中心,屏東縣長治鄉德和村德和路４７號,德和村,全村
302,復興社區活動中心,屏東縣長治鄉復興村復興路２０５號,復興村,全村
303,國王宮橫屋,屏東縣長治鄉德成村中興路６５４號,德成村,全村
304,德協社區活動中心,屏東縣長治鄉德協村中興路６２９號,德協村,全村
305,繁華國小西棟教室,屏東縣長治鄉繁華村水源路９６號,繁榮村,全村
306,繁華國小南棟教室,屏東縣長治鄉繁華村水源路９６號,繁昌村,1-9
307,繁華國小南棟教室,屏東縣長治鄉繁華村水源路９６號,繁昌村,10-17
308,繁華國小西棟教室,屏東縣長治鄉繁華村水源路９６號,繁隆村,全村
309,繁華國小東棟教室,屏東縣長治鄉繁華村繁華村水源路９６號,繁華村,"1-11,16-19"
310,長治鄉老人文康中心,屏東縣長治鄉繁華村繁華村繁華路１７１號,繁華村,"12-15,20-26"
311,榮華社區活動中心,屏東縣長治鄉榮華村信義路１４５號,榮華村,全村
麟洛鄉,,,,
312,玄聖宮〈社區長壽俱樂部〉,屏東縣麟洛鄉新田村７鄰民族路３１０號,新田村,8-17
313,新田社區活動中心,屏東縣麟洛鄉新田村２鄰民族路２４０號,新田村,"1-7,18-21"
314,麟洛成功圖書館,屏東縣麟洛鄉麟頂村９鄰成功路延平巷３號,麟頂村,全村
315,鄭成功廟,屏東縣麟洛鄉麟頂村９鄰成功路１７０號,麟蹄村,"1-11,22,23"
